"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"20191","Sumner",20,191,"Kansas","Coroner"
"20075","Hamilton",20,75,"Kansas","Coroner"
"20117","Marshall",20,117,"Kansas","Coroner"
"20127","Morris",20,127,"Kansas","Coroner"
"20185","Stafford",20,185,"Kansas","Coroner"
"20079","Harvey",20,79,"Kansas","Coroner"
"20131","Nemaha",20,131,"Kansas","Coroner"
"20035","Cowley",20,35,"Kansas","Coroner"
"20053","Ellsworth",20,53,"Kansas","Coroner"
"20067","Grant",20,67,"Kansas","Coroner"
"20019","Chautauqua",20,19,"Kansas","Coroner"
"20083","Hodgman",20,83,"Kansas","Coroner"
"20129","Morton",20,129,"Kansas","Coroner"
"20139","Osage",20,139,"Kansas","Coroner"
"20059","Franklin",20,59,"Kansas","Coroner"
"20111","Lyon",20,111,"Kansas","Coroner"
"20029","Cloud",20,29,"Kansas","Coroner"
"20013","Brown",20,13,"Kansas","Coroner"
"20023","Cheyenne",20,23,"Kansas","Coroner"
"20091","Johnson",20,91,"Kansas","Coroner"
"20121","Miami",20,121,"Kansas","Coroner"
"20153","Rawlins",20,153,"Kansas","Coroner"
"20193","Thomas",20,193,"Kansas","Coroner"
"20005","Atchison",20,5,"Kansas","Coroner"
"20141","Osborne",20,141,"Kansas","Coroner"
"20085","Jackson",20,85,"Kansas","Coroner"
"20065","Graham",20,65,"Kansas","Coroner"
"20089","Jewell",20,89,"Kansas","Coroner"
"20123","Mitchell",20,123,"Kansas","Coroner"
"20143","Ottawa",20,143,"Kansas","Coroner"
"20179","Sheridan",20,179,"Kansas","Coroner"
"20081","Haskell",20,81,"Kansas","Coroner"
"20017","Chase",20,17,"Kansas","Coroner"
"20149","Pottawatomie",20,149,"Kansas","Coroner"
"20199","Wallace",20,199,"Kansas","Coroner"
"20001","Allen",20,1,"Kansas","Coroner"
"20031","Coffey",20,31,"Kansas","Coroner"
"20101","Lane",20,101,"Kansas","Coroner"
"20187","Stanton",20,187,"Kansas","Coroner"
"20033","Comanche",20,33,"Kansas","Coroner"
"20203","Wichita",20,203,"Kansas","Coroner"
"20157","Republic",20,157,"Kansas","Coroner"
"20147","Phillips",20,147,"Kansas","Coroner"
"20015","Butler",20,15,"Kansas","Coroner"
"20165","Rush",20,165,"Kansas","Coroner"
"20167","Russell",20,167,"Kansas","Coroner"
"20063","Gove",20,63,"Kansas","Coroner"
"20011","Bourbon",20,11,"Kansas","Coroner"
"20173","Sedgwick",20,173,"Kansas","Coroner"
"20195","Trego",20,195,"Kansas","Coroner"
"20077","Harper",20,77,"Kansas","Coroner"
"20159","Rice",20,159,"Kansas","Coroner"
"20105","Lincoln",20,105,"Kansas","Coroner"
"20039","Decatur",20,39,"Kansas","Coroner"
"20099","Labette",20,99,"Kansas","Coroner"
"20175","Seward",20,175,"Kansas","Coroner"
"20197","Wabaunsee",20,197,"Kansas","Coroner"
"20025","Clark",20,25,"Kansas","Coroner"
"20189","Stevens",20,189,"Kansas","Coroner"
"20003","Anderson",20,3,"Kansas","Coroner"
"20045","Douglas",20,45,"Kansas","Coroner"
"20109","Logan",20,109,"Kansas","Coroner"
"20107","Linn",20,107,"Kansas","Coroner"
"20097","Kiowa",20,97,"Kansas","Coroner"
"20133","Neosho",20,133,"Kansas","Coroner"
"20155","Reno",20,155,"Kansas","Coroner"
"20209","Wyandotte",20,209,"Kansas","Coroner"
"20119","Meade",20,119,"Kansas","Coroner"
"20201","Washington",20,201,"Kansas","Coroner"
"20057","Ford",20,57,"Kansas","Coroner"
"20151","Pratt",20,151,"Kansas","Coroner"
"20145","Pawnee",20,145,"Kansas","Coroner"
"20047","Edwards",20,47,"Kansas","Coroner"
"20171","Scott",20,171,"Kansas","Coroner"
"20041","Dickinson",20,41,"Kansas","Coroner"
"20115","Marion",20,115,"Kansas","Coroner"
"20055","Finney",20,55,"Kansas","Coroner"
"20113","McPherson",20,113,"Kansas","Coroner"
"20183","Smith",20,183,"Kansas","Coroner"
"20135","Ness",20,135,"Kansas","Coroner"
"20043","Doniphan",20,43,"Kansas","Coroner"
"20163","Rooks",20,163,"Kansas","Coroner"
"20009","Barton",20,9,"Kansas","Coroner"
"20087","Jefferson",20,87,"Kansas","Coroner"
"20095","Kingman",20,95,"Kansas","Coroner"
"20161","Riley",20,161,"Kansas","Coroner"
"20027","Clay",20,27,"Kansas","Coroner"
"20177","Shawnee",20,177,"Kansas","Coroner"
"20061","Geary",20,61,"Kansas","Coroner"
"20205","Wilson",20,205,"Kansas","Coroner"
"20207","Woodson",20,207,"Kansas","Coroner"
"20051","Ellis",20,51,"Kansas","Coroner"
"20021","Cherokee",20,21,"Kansas","Coroner"
"20169","Saline",20,169,"Kansas","Coroner"
"20007","Barber",20,7,"Kansas","Coroner"
"20137","Norton",20,137,"Kansas","Coroner"
"20181","Sherman",20,181,"Kansas","Coroner"
"20071","Greeley",20,71,"Kansas","Coroner"
"20073","Greenwood",20,73,"Kansas","Coroner"
"20093","Kearny",20,93,"Kansas","Coroner"
"20103","Leavenworth",20,103,"Kansas","Coroner"
"20037","Crawford",20,37,"Kansas","Coroner"
"20069","Gray",20,69,"Kansas","Coroner"
"20049","Elk",20,49,"Kansas","Coroner"
"20125","Montgomery",20,125,"Kansas","Coroner"
