"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"21095","Harlan",21,95,"Kentucky","Coroner"
"21167","Mercer",21,167,"Kentucky","Coroner"
"21197","Powell",21,197,"Kentucky","Coroner"
"21023","Bracken",21,23,"Kentucky","Coroner"
"21057","Cumberland",21,57,"Kentucky","Coroner"
"21211","Shelby",21,211,"Kentucky","Coroner"
"21041","Carroll",21,41,"Kentucky","Coroner"
"21009","Barren",21,9,"Kentucky","Coroner"
"21083","Graves",21,83,"Kentucky","Coroner"
"21137","Lincoln",21,137,"Kentucky","Coroner"
"21181","Nicholas",21,181,"Kentucky","Coroner"
"21065","Estill",21,65,"Kentucky","Coroner"
"21029","Bullitt",21,29,"Kentucky","Coroner"
"21127","Lawrence",21,127,"Kentucky","Coroner"
"21165","Menifee",21,165,"Kentucky","Coroner"
"21173","Montgomery",21,173,"Kentucky","Coroner"
"21201","Robertson",21,201,"Kentucky","Coroner"
"21237","Wolfe",21,237,"Kentucky","Coroner"
"21007","Ballard",21,7,"Kentucky","Coroner"
"21079","Garrard",21,79,"Kentucky","Coroner"
"21071","Floyd",21,71,"Kentucky","Coroner"
"21101","Henderson",21,101,"Kentucky","Coroner"
"21141","Logan",21,141,"Kentucky","Coroner"
"21015","Boone",21,15,"Kentucky","Coroner"
"21003","Allen",21,3,"Kentucky","Coroner"
"21157","Marshall",21,157,"Kentucky","Coroner"
"21221","Trigg",21,221,"Kentucky","Coroner"
"21033","Caldwell",21,33,"Kentucky","Coroner"
"21133","Letcher",21,133,"Kentucky","Coroner"
"21109","Jackson",21,109,"Kentucky","Coroner"
"21233","Webster",21,233,"Kentucky","Coroner"
"21017","Bourbon",21,17,"Kentucky","Coroner"
"21077","Gallatin",21,77,"Kentucky","Coroner"
"21199","Pulaski",21,199,"Kentucky","Coroner"
"21191","Pendleton",21,191,"Kentucky","Coroner"
"21177","Muhlenberg",21,177,"Kentucky","Coroner"
"21097","Harrison",21,97,"Kentucky","Coroner"
"21235","Whitley",21,235,"Kentucky","Coroner"
"21131","Leslie",21,131,"Kentucky","Coroner"
"21183","Ohio",21,183,"Kentucky","Coroner"
"21231","Wayne",21,231,"Kentucky","Coroner"
"21229","Washington",21,229,"Kentucky","Coroner"
"21099","Hart",21,99,"Kentucky","Coroner"
"21219","Todd",21,219,"Kentucky","Coroner"
"21115","Johnson",21,115,"Kentucky","Coroner"
"21239","Woodford",21,239,"Kentucky","Coroner"
"21105","Hickman",21,105,"Kentucky","Coroner"
"21087","Green",21,87,"Kentucky","Coroner"
"21075","Fulton",21,75,"Kentucky","Coroner"
"21051","Clay",21,51,"Kentucky","Coroner"
"21111","Jefferson",21,111,"Kentucky","Coroner"
"21217","Taylor",21,217,"Kentucky","Coroner"
"21169","Metcalfe",21,169,"Kentucky","Coroner"
"21061","Edmonson",21,61,"Kentucky","Coroner"
"21027","Breckinridge",21,27,"Kentucky","Coroner"
"21049","Clark",21,49,"Kentucky","Coroner"
"21103","Henry",21,103,"Kentucky","Coroner"
"21093","Hardin",21,93,"Kentucky","Coroner"
"21189","Owsley",21,189,"Kentucky","Coroner"
"21151","Madison",21,151,"Kentucky","Coroner"
"21067","Fayette",21,67,"Kentucky","Coroner"
"21045","Casey",21,45,"Kentucky","Coroner"
"21037","Campbell",21,37,"Kentucky","Coroner"
"21223","Trimble",21,223,"Kentucky","Coroner"
"21215","Spencer",21,215,"Kentucky","Coroner"
"21119","Knott",21,119,"Kentucky","Coroner"
"21117","Kenton",21,117,"Kentucky","Coroner"
"21035","Calloway",21,35,"Kentucky","Coroner"
"21055","Crittenden",21,55,"Kentucky","Coroner"
"21085","Grayson",21,85,"Kentucky","Coroner"
"21053","Clinton",21,53,"Kentucky","Coroner"
"21187","Owen",21,187,"Kentucky","Coroner"
"21143","Lyon",21,143,"Kentucky","Coroner"
"21063","Elliott",21,63,"Kentucky","Coroner"
"21025","Breathitt",21,25,"Kentucky","Coroner"
"21209","Scott",21,209,"Kentucky","Coroner"
"21195","Pike",21,195,"Kentucky","Coroner"
"21145","McCracken",21,145,"Kentucky","Coroner"
"21193","Perry",21,193,"Kentucky","Coroner"
"21021","Boyle",21,21,"Kentucky","Coroner"
"21163","Meade",21,163,"Kentucky","Coroner"
"21155","Marion",21,155,"Kentucky","Coroner"
"21171","Monroe",21,171,"Kentucky","Coroner"
"21107","Hopkins",21,107,"Kentucky","Coroner"
"21147","McCreary",21,147,"Kentucky","Coroner"
"21123","Larue",21,123,"Kentucky","Coroner"
"21059","Daviess",21,59,"Kentucky","Coroner"
"21113","Jessamine",21,113,"Kentucky","Coroner"
"21203","Rockcastle",21,203,"Kentucky","Coroner"
"21159","Martin",21,159,"Kentucky","Coroner"
"21175","Morgan",21,175,"Kentucky","Coroner"
"21213","Simpson",21,213,"Kentucky","Coroner"
"21225","Union",21,225,"Kentucky","Coroner"
"21011","Bath",21,11,"Kentucky","Coroner"
"21019","Boyd",21,19,"Kentucky","Coroner"
"21031","Butler",21,31,"Kentucky","Coroner"
"21043","Carter",21,43,"Kentucky","Coroner"
"21039","Carlisle",21,39,"Kentucky","Coroner"
"21227","Warren",21,227,"Kentucky","Coroner"
"21139","Livingston",21,139,"Kentucky","Coroner"
"21149","McLean",21,149,"Kentucky","Coroner"
"21153","Magoffin",21,153,"Kentucky","Coroner"
"21179","Nelson",21,179,"Kentucky","Coroner"
"21185","Oldham",21,185,"Kentucky","Coroner"
"21013","Bell",21,13,"Kentucky","Coroner"
"21001","Adair",21,1,"Kentucky","Coroner"
"21069","Fleming",21,69,"Kentucky","Coroner"
"21205","Rowan",21,205,"Kentucky","Coroner"
"21005","Anderson",21,5,"Kentucky","Coroner"
"21207","Russell",21,207,"Kentucky","Coroner"
"21161","Mason",21,161,"Kentucky","Coroner"
"21047","Christian",21,47,"Kentucky","Coroner"
"21089","Greenup",21,89,"Kentucky","Coroner"
"21091","Hancock",21,91,"Kentucky","Coroner"
"21073","Franklin",21,73,"Kentucky","Coroner"
"21081","Grant",21,81,"Kentucky","Coroner"
"21125","Laurel",21,125,"Kentucky","Coroner"
"21121","Knox",21,121,"Kentucky","Coroner"
"21129","Lee",21,129,"Kentucky","Coroner"
"21135","Lewis",21,135,"Kentucky","Coroner"
