"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"22089","St. Charles",22,89,"Louisiana","Coroner"
"22111","Union",22,111,"Louisiana","Coroner"
"22125","West Feliciana",22,125,"Louisiana","Coroner"
"22081","Red River",22,81,"Louisiana","Coroner"
"22013","Bienville",22,13,"Louisiana","Coroner"
"22119","Webster",22,119,"Louisiana","Coroner"
"22093","St. James",22,93,"Louisiana","Coroner"
"22019","Calcasieu",22,19,"Louisiana","Coroner"
"22031","De Soto",22,31,"Louisiana","Coroner"
"22091","St. Helena",22,91,"Louisiana","Coroner"
"22061","Lincoln",22,61,"Louisiana","Coroner"
"22105","Tangipahoa",22,105,"Louisiana","Coroner"
"22021","Caldwell",22,21,"Louisiana","Coroner"
"22083","Richland",22,83,"Louisiana","Coroner"
"22049","Jackson",22,49,"Louisiana","Coroner"
"22067","Morehouse",22,67,"Louisiana","Coroner"
"22101","St. Mary",22,101,"Louisiana","Coroner"
"22123","West Carroll",22,123,"Louisiana","Coroner"
"22017","Caddo",22,17,"Louisiana","Coroner"
"22033","East Baton Rouge",22,33,"Louisiana","Coroner"
"22073","Ouachita",22,73,"Louisiana","Coroner"
"22003","Allen",22,3,"Louisiana","Coroner"
"22045","Iberia",22,45,"Louisiana","Coroner"
"22099","St. Martin",22,99,"Louisiana","Coroner"
"22001","Acadia",22,1,"Louisiana","Coroner"
"22079","Rapides",22,79,"Louisiana","Coroner"
"22053","Jefferson Davis",22,53,"Louisiana","Coroner"
"22009","Avoyelles",22,9,"Louisiana","Coroner"
"22047","Iberville",22,47,"Louisiana","Coroner"
"22095","St. John the Baptist",22,95,"Louisiana","Coroner"
"22041","Franklin",22,41,"Louisiana","Coroner"
"22051","Jefferson",22,51,"Louisiana","Coroner"
"22103","St. Tammany",22,103,"Louisiana","Coroner"
"22069","Natchitoches",22,69,"Louisiana","Coroner"
"22113","Vermilion",22,113,"Louisiana","Coroner"
"22059","La Salle",22,59,"Louisiana","Coroner"
"22055","Lafayette",22,55,"Louisiana","Coroner"
"22109","Terrebonne",22,109,"Louisiana","Coroner"
"22039","Evangeline",22,39,"Louisiana","Coroner"
"22063","Livingston",22,63,"Louisiana","Coroner"
"22115","Vernon",22,115,"Louisiana","Coroner"
"22015","Bossier",22,15,"Louisiana","Coroner"
"22037","East Feliciana",22,37,"Louisiana","Coroner"
"22025","Catahoula",22,25,"Louisiana","Coroner"
"22027","Claiborne",22,27,"Louisiana","Coroner"
"22029","Concordia",22,29,"Louisiana","Coroner"
"22085","Sabine",22,85,"Louisiana","Coroner"
"22065","Madison",22,65,"Louisiana","Coroner"
"22035","East Carroll",22,35,"Louisiana","Coroner"
"22071","Orleans",22,71,"Louisiana","Coroner"
"22075","Plaquemines",22,75,"Louisiana","Coroner"
"22077","Pointe Coupee",22,77,"Louisiana","Coroner"
"22023","Cameron",22,23,"Louisiana","Coroner"
"22107","Tensas",22,107,"Louisiana","Coroner"
"22097","St. Landry",22,97,"Louisiana","Coroner"
"22057","Lafourche",22,57,"Louisiana","Coroner"
"22043","Grant",22,43,"Louisiana","Coroner"
"22117","Washington",22,117,"Louisiana","Coroner"
"22011","Beauregard",22,11,"Louisiana","Coroner"
"22087","St. Bernard",22,87,"Louisiana","Coroner"
"22005","Ascension",22,5,"Louisiana","Coroner"
"22007","Assumption",22,7,"Louisiana","Coroner"
"22127","Winn",22,127,"Louisiana","Coroner"
"22121","West Baton Rouge",22,121,"Louisiana","Coroner"
