"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"24019","Dorchester",24,19,"Maryland","Medical Examiner"
"24001","Allegany",24,1,"Maryland","Medical Examiner"
"24013","Carroll",24,13,"Maryland","Medical Examiner"
"24025","Harford",24,25,"Maryland","Medical Examiner"
"24037","St. Mary's",24,37,"Maryland","Medical Examiner"
"24017","Charles",24,17,"Maryland","Medical Examiner"
"24005","Baltimore (county)",24,5,"Maryland","Medical Examiner"
"24011","Caroline",24,11,"Maryland","Medical Examiner"
"24033","Prince George's",24,33,"Maryland","Medical Examiner"
"24039","Somerset",24,39,"Maryland","Medical Examiner"
"24041","Talbot",24,41,"Maryland","Medical Examiner"
"24015","Cecil",24,15,"Maryland","Medical Examiner"
"24021","Frederick",24,21,"Maryland","Medical Examiner"
"24023","Garrett",24,23,"Maryland","Medical Examiner"
"24009","Calvert",24,9,"Maryland","Medical Examiner"
"24035","Queen Anne's",24,35,"Maryland","Medical Examiner"
"24003","Anne Arundel",24,3,"Maryland","Medical Examiner"
"24027","Howard",24,27,"Maryland","Medical Examiner"
"24029","Kent",24,29,"Maryland","Medical Examiner"
"24031","Montgomery",24,31,"Maryland","Medical Examiner"
"24043","Washington",24,43,"Maryland","Medical Examiner"
"24047","Worcester",24,47,"Maryland","Medical Examiner"
"24510","Baltimore (city)",24,510,"Maryland","Medical Examiner"
"24045","Wicomico",24,45,"Maryland","Medical Examiner"
