"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"26105","Mason",26,105,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26051","Gladwin",26,51,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26005","Allegan",26,5,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26143","Roscommon",26,143,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26019","Benzie",26,19,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26129","Ogemaw",26,129,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26149","St. Joseph",26,149,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26157","Tuscola",26,157,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26093","Livingston",26,93,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26141","Presque Isle",26,141,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26009","Antrim",26,9,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26137","Otsego",26,137,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26063","Huron",26,63,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26023","Branch",26,23,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26037","Clinton",26,37,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26045","Eaton",26,45,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26057","Gratiot",26,57,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26065","Ingham",26,65,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26075","Jackson",26,75,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26081","Kent",26,81,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26133","Osceola",26,133,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26099","Macomb",26,99,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26011","Arenac",26,11,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26055","Grand Traverse",26,55,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26067","Ionia",26,67,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26101","Manistee",26,101,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26119","Montmorency",26,119,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26085","Lake",26,85,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26021","Berrien",26,21,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26161","Washtenaw",26,161,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26039","Crawford",26,39,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26155","Shiawassee",26,155,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26015","Barry",26,15,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26107","Mecosta",26,107,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26159","Van Buren",26,159,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26079","Kalkaska",26,79,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26151","Sanilac",26,151,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26087","Lapeer",26,87,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26115","Monroe",26,115,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26073","Isabella",26,73,"Michigan","County/district-based medical examiner offices","Medical Examiner"
"26117","Montcalm",26,117,"Michigan","County/district-based medical examiner offices","Medical Examiner"
