"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"27039","Dodge",27,39,"Minnesota","Medical Examiner"
"27099","Mower",27,99,"Minnesota","Medical Examiner"
"27127","Redwood",27,127,"Minnesota","Medical Examiner"
"27161","Waseca",27,161,"Minnesota","Medical Examiner"
"27103","Nicollet",27,103,"Minnesota","Medical Examiner"
"27117","Pipestone",27,117,"Minnesota","Coroner"
"27083","Lyon",27,83,"Minnesota","Coroner"
"27019","Carver",27,19,"Minnesota","Medical Examiner"
"27121","Pope",27,121,"Minnesota","Coroner"
"27047","Freeborn",27,47,"Minnesota","Medical Examiner"
"27013","Blue Earth",27,13,"Minnesota","Medical Examiner"
"27081","Lincoln",27,81,"Minnesota","Coroner"
"27091","Martin",27,91,"Minnesota","Medical Examiner"
"27107","Norman",27,107,"Minnesota","Medical Examiner"
"27089","Marshall",27,89,"Minnesota","Medical Examiner"
"27059","Isanti",27,59,"Minnesota","Medical Examiner"
"27149","Stevens",27,149,"Minnesota","Coroner"
"27109","Olmsted",27,109,"Minnesota","Medical Examiner"
"27171","Wright",27,171,"Minnesota","Medical Examiner"
"27145","Stearns",27,145,"Minnesota","Medical Examiner"
"27017","Carlton",27,17,"Minnesota","Medical Examiner"
"27057","Hubbard",27,57,"Minnesota","Medical Examiner"
"27169","Winona",27,169,"Minnesota","Medical Examiner"
"27023","Chippewa",27,23,"Minnesota","Medical Examiner"
"27025","Chisago",27,25,"Minnesota","Medical Examiner"
"27153","Todd",27,153,"Minnesota","Medical Examiner"
"27131","Rice",27,131,"Minnesota","Coroner"
"27035","Crow Wing",27,35,"Minnesota","Medical Examiner"
"27155","Traverse",27,155,"Minnesota","Coroner"
"27123","Ramsey",27,123,"Minnesota","Medical Examiner"
"27041","Douglas",27,41,"Minnesota","Medical Examiner"
"27143","Sibley",27,143,"Minnesota","Medical Examiner"
"27065","Kanabec",27,65,"Minnesota","Medical Examiner"
"27085","McLeod",27,85,"Minnesota","Medical Examiner"
"27087","Mahnomen",27,87,"Minnesota","Medical Examiner"
"27105","Nobles",27,105,"Minnesota","Medical Examiner"
"27063","Jackson",27,63,"Minnesota","Coroner"
"27027","Clay",27,27,"Minnesota","Medical Examiner"
"27007","Beltrami",27,7,"Minnesota","Medical Examiner"
"27159","Wadena",27,159,"Minnesota","Medical Examiner"
"27093","Meeker",27,93,"Minnesota","Medical Examiner"
"27151","Swift",27,151,"Minnesota","Medical Examiner"
"27101","Murray",27,101,"Minnesota","Medical Examiner"
"27001","Aitkin",27,1,"Minnesota","Medical Examiner"
"27053","Hennepin",27,53,"Minnesota","Medical Examiner"
"27135","Roseau",27,135,"Minnesota","Medical Examiner"
"27051","Grant",27,51,"Minnesota","Coroner"
"27115","Pine",27,115,"Minnesota","Medical Examiner"
"27137","St. Louis",27,137,"Minnesota","Medical Examiner"
"27029","Clearwater",27,29,"Minnesota","Medical Examiner"
"27005","Becker",27,5,"Minnesota","Coroner"
"27079","Le Sueur",27,79,"Minnesota","Medical Examiner"
"27133","Rock",27,133,"Minnesota","Coroner"
"27165","Watonwan",27,165,"Minnesota","Coroner"
"27049","Goodhue",27,49,"Minnesota","Medical Examiner"
"27037","Dakota",27,37,"Minnesota","Medical Examiner"
"27071","Koochiching",27,71,"Minnesota","Medical Examiner"
"27009","Benton",27,9,"Minnesota","Medical Examiner"
"27077","Lake of the Woods",27,77,"Minnesota","Medical Examiner"
"27055","Houston",27,55,"Minnesota","Medical Examiner"
"27113","Pennington",27,113,"Minnesota","Medical Examiner"
"27111","Otter Tail",27,111,"Minnesota","Coroner"
"27033","Cottonwood",27,33,"Minnesota","Coroner"
"27139","Scott",27,139,"Minnesota","Medical Examiner"
"27119","Polk",27,119,"Minnesota","Medical Examiner"
"27097","Morrison",27,97,"Minnesota","Medical Examiner"
"27073","Lac Qui Parle",27,73,"Minnesota","Coroner"
"27167","Wilkin",27,167,"Minnesota","Medical Examiner"
"27095","Mille Lacs",27,95,"Minnesota","Medical Examiner"
"27173","Yellow Medicine",27,173,"Minnesota","Medical Examiner"
"27157","Wabasha",27,157,"Minnesota","Medical Examiner"
"27011","Big Stone",27,11,"Minnesota","Medical Examiner"
"27003","Anoka",27,3,"Minnesota","Medical Examiner"
"27021","Cass",27,21,"Minnesota","Medical Examiner"
"27069","Kittson",27,69,"Minnesota","Medical Examiner"
"27075","Lake",27,75,"Minnesota","Medical Examiner"
"27067","Kandiyohi",27,67,"Minnesota","Medical Examiner"
"27043","Faribault",27,43,"Minnesota","Coroner"
"27129","Renville",27,129,"Minnesota","Medical Examiner"
"27031","Cook",27,31,"Minnesota","Medical Examiner"
"27147","Steele",27,147,"Minnesota","Coroner"
"27163","Washington",27,163,"Minnesota","Medical Examiner"
"27125","Red Lake",27,125,"Minnesota","Medical Examiner"
"27061","Itasca",27,61,"Minnesota","Coroner"
"27015","Brown",27,15,"Minnesota","Coroner"
"27141","Sherburne",27,141,"Minnesota","Medical Examiner"
"27045","Fillmore",27,45,"Minnesota","Medical Examiner"
