"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"28153","Wayne",28,153,"Mississippi","Coroner"
"28017","Chickasaw",28,17,"Mississippi","Coroner"
"28009","Benton",28,9,"Mississippi","Coroner"
"28139","Tippah",28,139,"Mississippi","Coroner"
"28019","Choctaw",28,19,"Mississippi","Coroner"
"28003","Alcorn",28,3,"Mississippi","Coroner"
"28137","Tate",28,137,"Mississippi","Coroner"
"28091","Marion",28,91,"Mississippi","Coroner"
"28151","Washington",28,151,"Mississippi","Coroner"
"28117","Prentiss",28,117,"Mississippi","Coroner"
"28155","Webster",28,155,"Mississippi","Coroner"
"28121","Rankin",28,121,"Mississippi","Coroner"
"28097","Montgomery",28,97,"Mississippi","Coroner"
"28115","Pontotoc",28,115,"Mississippi","Coroner"
"28161","Yalobusha",28,161,"Mississippi","Coroner"
"28157","Wilkinson",28,157,"Mississippi","Coroner"
"28005","Amite",28,5,"Mississippi","Coroner"
"28013","Calhoun",28,13,"Mississippi","Coroner"
"28035","Forrest",28,35,"Mississippi","Coroner"
"28101","Newton",28,101,"Mississippi","Coroner"
"28111","Perry",28,111,"Mississippi","Coroner"
"28099","Neshoba",28,99,"Mississippi","Coroner"
"28071","Lafayette",28,71,"Mississippi","Coroner"
"28131","Stone",28,131,"Mississippi","Coroner"
"28119","Quitman",28,119,"Mississippi","Coroner"
"28063","Jefferson",28,63,"Mississippi","Coroner"
"28057","Itawamba",28,57,"Mississippi","Coroner"
"28029","Copiah",28,29,"Mississippi","Coroner"
"28145","Union",28,145,"Mississippi","Coroner"
"28159","Winston",28,159,"Mississippi","Coroner"
"28069","Kemper",28,69,"Mississippi","Coroner"
"28081","Lee",28,81,"Mississippi","Coroner"
"28087","Lowndes",28,87,"Mississippi","Coroner"
"28079","Leake",28,79,"Mississippi","Coroner"
"28103","Noxubee",28,103,"Mississippi","Coroner"
"28031","Covington",28,31,"Mississippi","Coroner"
"28073","Lamar",28,73,"Mississippi","Coroner"
"28127","Simpson",28,127,"Mississippi","Coroner"
"28065","Jefferson Davis",28,65,"Mississippi","Coroner"
"28059","Jackson",28,59,"Mississippi","Coroner"
"28107","Panola",28,107,"Mississippi","Coroner"
"28163","Yazoo",28,163,"Mississippi","Coroner"
"28047","Harrison",28,47,"Mississippi","Coroner"
"28149","Warren",28,149,"Mississippi","Coroner"
"28125","Sharkey",28,125,"Mississippi","Coroner"
"28135","Tallahatchie",28,135,"Mississippi","Coroner"
"28025","Clay",28,25,"Mississippi","Coroner"
"28093","Marshall",28,93,"Mississippi","Coroner"
"28043","Grenada",28,43,"Mississippi","Coroner"
"28077","Lawrence",28,77,"Mississippi","Coroner"
"28133","Sunflower",28,133,"Mississippi","Coroner"
"28051","Holmes",28,51,"Mississippi","Coroner"
"28095","Monroe",28,95,"Mississippi","Coroner"
"28015","Carroll",28,15,"Mississippi","Coroner"
"28061","Jasper",28,61,"Mississippi","Coroner"
"28041","Greene",28,41,"Mississippi","Coroner"
"28075","Lauderdale",28,75,"Mississippi","Coroner"
"28123","Scott",28,123,"Mississippi","Coroner"
"28129","Smith",28,129,"Mississippi","Coroner"
"28147","Walthall",28,147,"Mississippi","Coroner"
"28055","Issaquena",28,55,"Mississippi","Coroner"
"28141","Tishomingo",28,141,"Mississippi","Coroner"
"28109","Pearl River",28,109,"Mississippi","Coroner"
"28023","Clarke",28,23,"Mississippi","Coroner"
"28045","Hancock",28,45,"Mississippi","Coroner"
"28037","Franklin",28,37,"Mississippi","Coroner"
"28049","Hinds",28,49,"Mississippi","Coroner"
"28007","Attala",28,7,"Mississippi","Coroner"
"28083","Leflore",28,83,"Mississippi","Coroner"
"28053","Humphreys",28,53,"Mississippi","Coroner"
"28143","Tunica",28,143,"Mississippi","Coroner"
"28001","Adams",28,1,"Mississippi","Coroner"
"28113","Pike",28,113,"Mississippi","Coroner"
"28011","Bolivar",28,11,"Mississippi","Coroner"
"28021","Claiborne",28,21,"Mississippi","Coroner"
"28033","De Soto",28,33,"Mississippi","Coroner"
"28067","Jones",28,67,"Mississippi","Coroner"
"28085","Lincoln",28,85,"Mississippi","Coroner"
"28039","George",28,39,"Mississippi","Coroner"
"28027","Coahoma",28,27,"Mississippi","Coroner"
"28105","Oktibbeha",28,105,"Mississippi","Coroner"
"28089","Madison",28,89,"Mississippi","Coroner"
