"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"29039","Cedar",29,39,"Missouri","Coroner"
"29161","Phelps",29,161,"Missouri","Coroner"
"29137","Monroe",29,137,"Missouri","Coroner"
"29025","Caldwell",29,25,"Missouri","Coroner"
"29091","Howell",29,91,"Missouri","Coroner"
"29125","Maries",29,125,"Missouri","Coroner"
"29063","DeKalb",29,63,"Missouri","Coroner"
"29109","Lawrence",29,109,"Missouri","Coroner"
"29011","Barton",29,11,"Missouri","Coroner"
"29181","Ripley",29,181,"Missouri","Coroner"
"29031","Cape Girardeau",29,31,"Missouri","Coroner"
"29201","Scott",29,201,"Missouri","Coroner"
"29055","Crawford",29,55,"Missouri","Coroner"
"29057","Dade",29,57,"Missouri","Coroner"
"29073","Gasconade",29,73,"Missouri","Coroner"
"29103","Knox",29,103,"Missouri","Coroner"
"29047","Clay",29,47,"Missouri","Medical Examiner"
"29061","Daviess",29,61,"Missouri","Coroner"
"29209","Stone",29,209,"Missouri","Coroner"
"29219","Warren",29,219,"Missouri","Coroner"
"29115","Linn",29,115,"Missouri","Coroner"
"29129","Mercer",29,129,"Missouri","Coroner"
"29197","Schuyler",29,197,"Missouri","Coroner"
"29019","Boone",29,19,"Missouri","Medical Examiner"
"29015","Benton",29,15,"Missouri","Coroner"
"29013","Bates",29,13,"Missouri","Coroner"
"29067","Douglas",29,67,"Missouri","Coroner"
"29093","Iron",29,93,"Missouri","Coroner"
"29223","Wayne",29,223,"Missouri","Coroner"
"29179","Reynolds",29,179,"Missouri","Coroner"
"29185","St. Clair",29,185,"Missouri","Coroner"
"29169","Pulaski",29,169,"Missouri","Coroner"
"29111","Lewis",29,111,"Missouri","Coroner"
"29005","Atchison",29,5,"Missouri","Coroner"
"29121","Macon",29,121,"Missouri","Coroner"
"29205","Shelby",29,205,"Missouri","Coroner"
"29131","Miller",29,131,"Missouri","Coroner"
"29147","Nodaway",29,147,"Missouri","Coroner"
"29083","Henry",29,83,"Missouri","Coroner"
"29145","Newton",29,145,"Missouri","Coroner"
"29043","Christian",29,43,"Missouri","Coroner"
"29085","Hickory",29,85,"Missouri","Coroner"
"29175","Randolph",29,175,"Missouri","Coroner"
"29215","Texas",29,215,"Missouri","Coroner"
"29149","Oregon",29,149,"Missouri","Coroner"
"29167","Polk",29,167,"Missouri","Coroner"
"29227","Worth",29,227,"Missouri","Coroner"
"29221","Washington",29,221,"Missouri","Coroner"
"29153","Ozark",29,153,"Missouri","Coroner"
"29049","Clinton",29,49,"Missouri","Coroner"
"29155","Pemiscot",29,155,"Missouri","Coroner"
"29101","Johnson",29,101,"Missouri","Coroner"
"29123","Madison",29,123,"Missouri","Coroner"
"29229","Wright",29,229,"Missouri","Coroner"
"29071","Franklin",29,71,"Missouri","Medical Examiner"
"29117","Livingston",29,117,"Missouri","Coroner"
"29017","Bollinger",29,17,"Missouri","Coroner"
"29075","Gentry",29,75,"Missouri","Coroner"
"29151","Osage",29,151,"Missouri","Coroner"
"29001","Adair",29,1,"Missouri","Coroner"
"29003","Andrew",29,3,"Missouri","Coroner"
"29225","Webster",29,225,"Missouri","Coroner"
"29033","Carroll",29,33,"Missouri","Coroner"
"29053","Cooper",29,53,"Missouri","Coroner"
"29035","Carter",29,35,"Missouri","Coroner"
"29089","Howard",29,89,"Missouri","Coroner"
"29217","Vernon",29,217,"Missouri","Coroner"
"29087","Holt",29,87,"Missouri","Coroner"
"29107","Lafayette",29,107,"Missouri","Coroner"
"29186","Ste. Genevieve",29,186,"Missouri","Coroner"
"29069","Dunklin",29,69,"Missouri","Coroner"
"29141","Morgan",29,141,"Missouri","Coroner"
"29195","Saline",29,195,"Missouri","Coroner"
"29079","Grundy",29,79,"Missouri","Coroner"
"29165","Platte",29,165,"Missouri","Medical Examiner"
"29510","St. Louis (city)",29,510,"Missouri","Medical Examiner"
"29029","Camden",29,29,"Missouri","Medical Examiner"
"29177","Ray",29,177,"Missouri","Coroner"
"29045","Clark",29,45,"Missouri","Coroner"
"29007","Audrain",29,7,"Missouri","Coroner"
"29213","Taney",29,213,"Missouri","Coroner"
"29113","Lincoln",29,113,"Missouri","Coroner"
"29207","Stoddard",29,207,"Missouri","Coroner"
"29105","Laclede",29,105,"Missouri","Coroner"
"29119","McDonald",29,119,"Missouri","Coroner"
"29163","Pike",29,163,"Missouri","Coroner"
"29157","Perry",29,157,"Missouri","Coroner"
"29135","Moniteau",29,135,"Missouri","Coroner"
"29099","Jefferson",29,99,"Missouri","Medical Examiner"
"29127","Marion",29,127,"Missouri","Coroner"
"29037","Cass",29,37,"Missouri","Medical Examiner"
"29065","Dent",29,65,"Missouri","Coroner"
"29203","Shannon",29,203,"Missouri","Coroner"
"29187","St. Francois",29,187,"Missouri","Coroner"
"29027","Callaway",29,27,"Missouri","Medical Examiner"
"29009","Barry",29,9,"Missouri","Coroner"
"29173","Ralls",29,173,"Missouri","Coroner"
"29023","Butler",29,23,"Missouri","Coroner"
"29097","Jasper",29,97,"Missouri","Coroner"
"29041","Chariton",29,41,"Missouri","Coroner"
"29051","Cole",29,51,"Missouri","Medical Examiner"
"29059","Dallas",29,59,"Missouri","Coroner"
"29171","Putnam",29,171,"Missouri","Coroner"
"29077","Greene",29,77,"Missouri","Medical Examiner"
"29095","Jackson",29,95,"Missouri","Medical Examiner"
"29133","Mississippi",29,133,"Missouri","Coroner"
"29139","Montgomery",29,139,"Missouri","Coroner"
"29143","New Madrid",29,143,"Missouri","Coroner"
"29021","Buchanan",29,21,"Missouri","Medical Examiner"
"29199","Scotland",29,199,"Missouri","Coroner"
"29159","Pettis",29,159,"Missouri","Coroner"
"29081","Harrison",29,81,"Missouri","Coroner"
"29189","St. Louis (county)",29,189,"Missouri","Medical Examiner"
"29211","Sullivan",29,211,"Missouri","Coroner"
"29183","St. Charles",29,183,"Missouri","Medical Examiner"
