"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"30055","McCone",30,55,"Montana","Coroner"
"30051","Liberty",30,51,"Montana","Coroner"
"30037","Golden Valley",30,37,"Montana","Coroner"
"30107","Wheatland",30,107,"Montana","Coroner"
"30109","Wibaux",30,109,"Montana","Coroner"
"30011","Carter",30,11,"Montana","Coroner"
"30091","Sheridan",30,91,"Montana","Coroner"
"30041","Hill",30,41,"Montana","Coroner"
"30065","Musselshell",30,65,"Montana","Coroner"
"30093","Silver Bow",30,93,"Montana","Coroner"
"30083","Richland",30,83,"Montana","Coroner"
"30005","Blaine",30,5,"Montana","Coroner"
"30021","Dawson",30,21,"Montana","Coroner"
"30031","Gallatin",30,31,"Montana","Coroner"
"30079","Prairie",30,79,"Montana","Coroner"
"30071","Phillips",30,71,"Montana","Coroner"
"30059","Meagher",30,59,"Montana","Coroner"
"30003","Big Horn",30,3,"Montana","Coroner"
"30095","Stillwater",30,95,"Montana","Coroner"
"30017","Custer",30,17,"Montana","Coroner"
"30047","Lake",30,47,"Montana","Coroner"
"30023","Deer Lodge",30,23,"Montana","Coroner"
"30007","Broadwater",30,7,"Montana","Coroner"
"30035","Glacier",30,35,"Montana","Coroner"
"30057","Madison",30,57,"Montana","Coroner"
"30043","Jefferson",30,43,"Montana","Coroner"
"30105","Valley",30,105,"Montana","Coroner"
"30103","Treasure",30,103,"Montana","Coroner"
"30081","Ravalli",30,81,"Montana","Coroner"
"30015","Chouteau",30,15,"Montana","Coroner"
"30039","Granite",30,39,"Montana","Coroner"
"30001","Beaverhead",30,1,"Montana","Coroner"
"30045","Judith Basin",30,45,"Montana","Coroner"
"30013","Cascade",30,13,"Montana","Coroner"
"30027","Fergus",30,27,"Montana","Coroner"
"30077","Powell",30,77,"Montana","Coroner"
"30031","Gallatin",30,31,"Montana","Coroner"
"30031","Gallatin",30,31,"Montana","Coroner"
"30025","Fallon",30,25,"Montana","Coroner"
"30073","Pondera",30,73,"Montana","Coroner"
"30069","Petroleum",30,69,"Montana","Coroner"
"30075","Powder River",30,75,"Montana","Coroner"
"30111","Yellowstone",30,111,"Montana","Coroner"
"30053","Lincoln",30,53,"Montana","Coroner"
"30089","Sanders",30,89,"Montana","Coroner"
"30029","Flathead",30,29,"Montana","Coroner"
"30063","Missoula",30,63,"Montana","Coroner"
"30009","Carbon",30,9,"Montana","Coroner"
"30033","Garfield",30,33,"Montana","Coroner"
"30061","Mineral",30,61,"Montana","Coroner"
"30097","Sweet Grass",30,97,"Montana","Coroner"
"30049","Lewis and Clark",30,49,"Montana","Coroner"
"30101","Toole",30,101,"Montana","Coroner"
"30099","Teton",30,99,"Montana","Coroner"
"30019","Daniels",30,19,"Montana","Coroner"
"30085","Roosevelt",30,85,"Montana","Coroner"
"30087","Rosebud",30,87,"Montana","Coroner"
