"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"32011","Eureka",32,11,"Nevada","County/district-based coroner offices","Coroner"
"32029","Storey",32,29,"Nevada","County/district-based coroner offices","Coroner"
"32009","Esmeralda",32,9,"Nevada","County/district-based coroner offices","Coroner"
"32033","White Pine",32,33,"Nevada","County/district-based coroner offices","Coroner"
"32027","Pershing",32,27,"Nevada","County/district-based coroner offices","Coroner"
"32003","Clark",32,3,"Nevada","County/district-based medical examiner offices","Medical Examiner"
"32017","Lincoln",32,17,"Nevada","County/district-based coroner offices","Coroner"
"32005","Douglas",32,5,"Nevada","County/district-based coroner offices","Coroner"
"32021","Mineral",32,21,"Nevada","County/district-based coroner offices","Coroner"
"32019","Lyon",32,19,"Nevada","County/district-based coroner offices","Coroner"
"32001","Churchill",32,1,"Nevada","County/district-based coroner offices","Coroner"
"32013","Humboldt",32,13,"Nevada","County/district-based coroner offices","Coroner"
"32015","Lander",32,15,"Nevada","County/district-based coroner offices","Coroner"
"32510","Carson City (city)",32,510,"Nevada","County/district-based coroner offices","Coroner"
"32023","Nye",32,23,"Nevada","County/district-based coroner offices","Coroner"
"32031","Washoe",32,31,"Nevada","County/district-based medical examiner offices","Medical Examiner"
"32007","Elko",32,7,"Nevada","County/district-based coroner offices","Coroner"
