"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"33001","Belknap",33,1,"New Hampshire","Medical Examiner"
"33003","Carroll",33,3,"New Hampshire","Medical Examiner"
"33017","Strafford",33,17,"New Hampshire","Medical Examiner"
"33019","Sullivan",33,19,"New Hampshire","Medical Examiner"
"33013","Merrimack",33,13,"New Hampshire","Medical Examiner"
"33011","Hillsborough",33,11,"New Hampshire","Medical Examiner"
"33005","Cheshire",33,5,"New Hampshire","Medical Examiner"
"33009","Grafton",33,9,"New Hampshire","Medical Examiner"
"33007","Coos",33,7,"New Hampshire","Medical Examiner"
"33015","Rockingham",33,15,"New Hampshire","Medical Examiner"
