"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"34013","Essex",34,13,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34001","Atlantic",34,1,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34029","Ocean",34,29,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34027","Morris",34,27,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34009","Cape May",34,9,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34011","Cumberland",34,11,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34021","Mercer",34,21,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34015","Gloucester",34,15,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34039","Union",34,39,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34007","Camden",34,7,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34041","Warren",34,41,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34037","Sussex",34,37,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34035","Somerset",34,35,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34003","Bergen",34,3,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34005","Burlington",34,5,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34023","Middlesex",34,23,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34031","Passaic",34,31,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34017","Hudson",34,17,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34033","Salem",34,33,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34025","Monmouth",34,25,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
"34019","Hunterdon",34,19,"New Jersey","County/district-based medical examiner offices","Medical Examiner"
