"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"37165","Scotland",37,165,"North Carolina","Medical Examiner"
"37127","Nash",37,127,"North Carolina","Medical Examiner"
"37001","Alamance",37,1,"North Carolina","Medical Examiner"
"37185","Warren",37,185,"North Carolina","Medical Examiner"
"37103","Jones",37,103,"North Carolina","Medical Examiner"
"37171","Surry",37,171,"North Carolina","Medical Examiner"
"37135","Orange",37,135,"North Carolina","Medical Examiner"
"37065","Edgecombe",37,65,"North Carolina","Medical Examiner"
"37111","McDowell",37,111,"North Carolina","Medical Examiner"
"37025","Cabarrus",37,25,"North Carolina","Medical Examiner"
"37071","Gaston",37,71,"North Carolina","Medical Examiner"
"37167","Stanly",37,167,"North Carolina","Medical Examiner"
"37153","Richmond",37,153,"North Carolina","Medical Examiner"
"37009","Ashe",37,9,"North Carolina","Medical Examiner"
"37077","Granville",37,77,"North Carolina","Medical Examiner"
"37197","Yadkin",37,197,"North Carolina","Medical Examiner"
"37169","Stokes",37,169,"North Carolina","Medical Examiner"
"37075","Graham",37,75,"North Carolina","Medical Examiner"
"37133","Onslow",37,133,"North Carolina","Medical Examiner"
"37083","Halifax",37,83,"North Carolina","Medical Examiner"
"37179","Union",37,179,"North Carolina","Medical Examiner"
"37149","Polk",37,149,"North Carolina","Medical Examiner"
"37041","Chowan",37,41,"North Carolina","Medical Examiner"
"37089","Henderson",37,89,"North Carolina","Medical Examiner"
"37159","Rowan",37,159,"North Carolina","Medical Examiner"
"37143","Perquimans",37,143,"North Carolina","Medical Examiner"
"37183","Wake",37,183,"North Carolina","Medical Examiner"
"37027","Caldwell",37,27,"North Carolina","Medical Examiner"
"37005","Alleghany",37,5,"North Carolina","Medical Examiner"
"37195","Wilson",37,195,"North Carolina","Medical Examiner"
"37031","Carteret",37,31,"North Carolina","Medical Examiner"
"37045","Cleveland",37,45,"North Carolina","Medical Examiner"
"37113","Macon",37,113,"North Carolina","Medical Examiner"
"37057","Davidson",37,57,"North Carolina","Medical Examiner"
"37061","Duplin",37,61,"North Carolina","Medical Examiner"
"37059","Davie",37,59,"North Carolina","Medical Examiner"
"37029","Camden",37,29,"North Carolina","Medical Examiner"
"37187","Washington",37,187,"North Carolina","Medical Examiner"
"37039","Cherokee",37,39,"North Carolina","Medical Examiner"
"37069","Franklin",37,69,"North Carolina","Medical Examiner"
"37121","Mitchell",37,121,"North Carolina","Medical Examiner"
"37157","Rockingham",37,157,"North Carolina","Medical Examiner"
"37079","Greene",37,79,"North Carolina","Medical Examiner"
"37017","Bladen",37,17,"North Carolina","Medical Examiner"
"37107","Lenoir",37,107,"North Carolina","Medical Examiner"
"37043","Clay",37,43,"North Carolina","Medical Examiner"
"37145","Person",37,145,"North Carolina","Medical Examiner"
"37131","Northampton",37,131,"North Carolina","Medical Examiner"
"37003","Alexander",37,3,"North Carolina","Medical Examiner"
"37175","Transylvania",37,175,"North Carolina","Medical Examiner"
"37137","Pamlico",37,137,"North Carolina","Medical Examiner"
"37013","Beaufort",37,13,"North Carolina","Medical Examiner"
"37109","Lincoln",37,109,"North Carolina","Medical Examiner"
"37141","Pender",37,141,"North Carolina","Medical Examiner"
"37181","Vance",37,181,"North Carolina","Medical Examiner"
"37087","Haywood",37,87,"North Carolina","Medical Examiner"
"37007","Anson",37,7,"North Carolina","Medical Examiner"
"37099","Jackson",37,99,"North Carolina","Medical Examiner"
"37081","Guilford",37,81,"North Carolina","Medical Examiner"
"37139","Pasquotank",37,139,"North Carolina","Medical Examiner"
"37051","Cumberland",37,51,"North Carolina","Medical Examiner"
"37097","Iredell",37,97,"North Carolina","Medical Examiner"
"37015","Bertie",37,15,"North Carolina","Medical Examiner"
"37011","Avery",37,11,"North Carolina","Medical Examiner"
"37063","Durham",37,63,"North Carolina","Medical Examiner"
"37019","Brunswick",37,19,"North Carolina","Medical Examiner"
"37095","Hyde",37,95,"North Carolina","Medical Examiner"
"37085","Harnett",37,85,"North Carolina","Medical Examiner"
"37037","Chatham",37,37,"North Carolina","Medical Examiner"
"37193","Wilkes",37,193,"North Carolina","Medical Examiner"
