"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"38075","Renville",38,75,"North Dakota","Coroner"
"38013","Burke",38,13,"North Dakota","Coroner"
"38031","Foster",38,31,"North Dakota","Coroner"
"38065","Oliver",38,65,"North Dakota","Coroner"
"38063","Nelson",38,63,"North Dakota","Coroner"
"38045","LaMoure",38,45,"North Dakota","Coroner"
"38069","Pierce",38,69,"North Dakota","Coroner"
"38103","Wells",38,103,"North Dakota","Coroner"
"38089","Stark",38,89,"North Dakota","Coroner"
"38071","Ramsey",38,71,"North Dakota","Coroner"
"38019","Cavalier",38,19,"North Dakota","Coroner"
"38051","McIntosh",38,51,"North Dakota","Coroner"
"38047","Logan",38,47,"North Dakota","Coroner"
"38003","Barnes",38,3,"North Dakota","Coroner"
"38081","Sargent",38,81,"North Dakota","Coroner"
"38093","Stutsman",38,93,"North Dakota","Coroner"
"38083","Sheridan",38,83,"North Dakota","Coroner"
"38079","Rolette",38,79,"North Dakota","Coroner"
"38015","Burleigh",38,15,"North Dakota","Coroner"
"38023","Divide",38,23,"North Dakota","Coroner"
"38017","Cass",38,17,"North Dakota","Coroner"
"38097","Traill",38,97,"North Dakota","Coroner"
"38001","Adams",38,1,"North Dakota","Coroner"
"38029","Emmons",38,29,"North Dakota","Coroner"
"38101","Ward",38,101,"North Dakota","Coroner"
"38021","Dickey",38,21,"North Dakota","Coroner"
"38091","Steele",38,91,"North Dakota","Coroner"
"38027","Eddy",38,27,"North Dakota","Coroner"
"38087","Slope",38,87,"North Dakota","Coroner"
"38033","Golden Valley",38,33,"North Dakota","Coroner"
"38105","Williams",38,105,"North Dakota","Coroner"
"38067","Pembina",38,67,"North Dakota","Coroner"
"38099","Walsh",38,99,"North Dakota","Coroner"
"38053","McKenzie",38,53,"North Dakota","Coroner"
"38085","Sioux",38,85,"North Dakota","Coroner"
"38005","Benson",38,5,"North Dakota","Coroner"
"38035","Grand Forks",38,35,"North Dakota","Medical Examiner"
"38049","McHenry",38,49,"North Dakota","Coroner"
"38055","McLean",38,55,"North Dakota","Coroner"
"38025","Dunn",38,25,"North Dakota","Coroner"
"38077","Richland",38,77,"North Dakota","Coroner"
"38009","Bottineau",38,9,"North Dakota","Coroner"
"38059","Morton",38,59,"North Dakota","Coroner"
"38061","Mountrail",38,61,"North Dakota","Coroner"
"38095","Towner",38,95,"North Dakota","Coroner"
"38007","Billings",38,7,"North Dakota","Coroner"
"38039","Griggs",38,39,"North Dakota","Coroner"
"38043","Kidder",38,43,"North Dakota","Coroner"
"38073","Ransom",38,73,"North Dakota","Coroner"
"38011","Bowman",38,11,"North Dakota","Coroner"
"38037","Grant",38,37,"North Dakota","Coroner"
"38041","Hettinger",38,41,"North Dakota","Coroner"
"38057","Mercer",38,57,"North Dakota","Coroner"
