"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"39125","Paulding",39,125,"Ohio","Coroner"
"39003","Allen",39,3,"Ohio","Coroner"
"39063","Hancock",39,63,"Ohio","Coroner"
"39007","Ashtabula",39,7,"Ohio","Coroner"
"39085","Lake",39,85,"Ohio","Coroner"
"39163","Vinton",39,163,"Ohio","Coroner"
"39127","Perry",39,127,"Ohio","Coroner"
"39135","Preble",39,135,"Ohio","Coroner"
"39065","Hardin",39,65,"Ohio","Coroner"
"39083","Knox",39,83,"Ohio","Coroner"
"39173","Wood",39,173,"Ohio","Coroner"
"39097","Madison",39,97,"Ohio","Coroner"
"39101","Marion",39,101,"Ohio","Coroner"
"39137","Putnam",39,137,"Ohio","Coroner"
"39143","Sandusky",39,143,"Ohio","Coroner"
"39153","Summit",39,153,"Ohio","Medical Examiner"
"39155","Trumbull",39,155,"Ohio","Coroner"
"39169","Wayne",39,169,"Ohio","Coroner"
"39027","Clinton",39,27,"Ohio","Coroner"
"39055","Geauga",39,55,"Ohio","Coroner"
"39013","Belmont",39,13,"Ohio","Coroner"
"39041","Delaware",39,41,"Ohio","Coroner"
"39107","Mercer",39,107,"Ohio","Coroner"
"39005","Ashland",39,5,"Ohio","Coroner"
"39115","Morgan",39,115,"Ohio","Coroner"
"39165","Warren",39,165,"Ohio","Coroner"
"39069","Henry",39,69,"Ohio","Coroner"
"39037","Darke",39,37,"Ohio","Coroner"
"39067","Harrison",39,67,"Ohio","Coroner"
"39109","Miami",39,109,"Ohio","Coroner"
"39103","Medina",39,103,"Ohio","Coroner"
"39157","Tuscarawas",39,157,"Ohio","Coroner"
"39029","Columbiana",39,29,"Ohio","Coroner"
"39079","Jackson",39,79,"Ohio","Coroner"
"39121","Noble",39,121,"Ohio","Coroner"
"39133","Portage",39,133,"Ohio","Coroner"
"39023","Clark",39,23,"Ohio","Coroner"
"39073","Hocking",39,73,"Ohio","Coroner"
"39145","Scioto",39,145,"Ohio","Coroner"
"39081","Jefferson",39,81,"Ohio","Coroner"
"39019","Carroll",39,19,"Ohio","Coroner"
"39021","Champaign",39,21,"Ohio","Coroner"
"39053","Gallia",39,53,"Ohio","Coroner"
"39061","Hamilton",39,61,"Ohio","Coroner"
"39167","Washington",39,167,"Ohio","Coroner"
"39119","Muskingum",39,119,"Ohio","Coroner"
"39025","Clermont",39,25,"Ohio","Coroner"
"39147","Seneca",39,147,"Ohio","Coroner"
"39077","Huron",39,77,"Ohio","Coroner"
"39071","Highland",39,71,"Ohio","Coroner"
"39001","Adams",39,1,"Ohio","Coroner"
"39009","Athens",39,9,"Ohio","Coroner"
"39039","Defiance",39,39,"Ohio","Coroner"
"39035","Cuyahoga",39,35,"Ohio","Medical Examiner"
"39161","Van Wert",39,161,"Ohio","Coroner"
"39047","Fayette",39,47,"Ohio","Coroner"
"39045","Fairfield",39,45,"Ohio","Coroner"
"39131","Pike",39,131,"Ohio","Coroner"
"39123","Ottawa",39,123,"Ohio","Coroner"
"39151","Stark",39,151,"Ohio","Coroner"
"39033","Crawford",39,33,"Ohio","Coroner"
"39087","Lawrence",39,87,"Ohio","Coroner"
"39049","Franklin",39,49,"Ohio","Coroner"
"39057","Greene",39,57,"Ohio","Coroner"
"39149","Shelby",39,149,"Ohio","Coroner"
"39093","Lorain",39,93,"Ohio","Coroner"
"39117","Morrow",39,117,"Ohio","Coroner"
"39139","Richland",39,139,"Ohio","Coroner"
"39141","Ross",39,141,"Ohio","Coroner"
"39051","Fulton",39,51,"Ohio","Coroner"
"39175","Wyandot",39,175,"Ohio","Coroner"
"39011","Auglaize",39,11,"Ohio","Coroner"
"39059","Guernsey",39,59,"Ohio","Coroner"
"39017","Butler",39,17,"Ohio","Coroner"
"39031","Coshocton",39,31,"Ohio","Coroner"
"39113","Montgomery",39,113,"Ohio","Coroner"
"39043","Erie",39,43,"Ohio","Coroner"
"39105","Meigs",39,105,"Ohio","Coroner"
"39111","Monroe",39,111,"Ohio","Coroner"
"39095","Lucas",39,95,"Ohio","Coroner"
"39129","Pickaway",39,129,"Ohio","Coroner"
"39015","Brown",39,15,"Ohio","Coroner"
"39171","Williams",39,171,"Ohio","Coroner"
"39075","Holmes",39,75,"Ohio","Coroner"
"39089","Licking",39,89,"Ohio","Coroner"
"39159","Union",39,159,"Ohio","Coroner"
"39099","Mahoning",39,99,"Ohio","Coroner"
"39091","Logan",39,91,"Ohio","Coroner"
