"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"41053","Polk",41,53,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41067","Washington",41,67,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41029","Jackson",41,29,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41049","Morrow",41,49,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41057","Tillamook",41,57,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41055","Sherman",41,55,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41011","Coos",41,11,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41035","Klamath",41,35,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41047","Marion",41,47,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41009","Columbia",41,9,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41015","Curry",41,15,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41025","Harney",41,25,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41063","Wallowa",41,63,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41071","Yamhill",41,71,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41065","Wasco",41,65,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41041","Lincoln",41,41,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41013","Crook",41,13,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41003","Benton",41,3,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41045","Malheur",41,45,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41059","Umatilla",41,59,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41031","Jefferson",41,31,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41017","Deschutes",41,17,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41037","Lake",41,37,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41001","Baker",41,1,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41019","Douglas",41,19,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41069","Wheeler",41,69,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41039","Lane",41,39,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41043","Linn",41,43,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41061","Union",41,61,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41005","Clackamas",41,5,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41033","Josephine",41,33,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41023","Grant",41,23,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41051","Multnomah",41,51,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41007","Clatsop",41,7,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41021","Gilliam",41,21,"Oregon","Centralized state medical examiner office","Medical Examiner"
"41027","Hood River",41,27,"Oregon","Centralized state medical examiner office","Medical Examiner"
