"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"42011","Berks",42,11,"Pennsylvania","Coroner"
"42067","Juniata",42,67,"Pennsylvania","Coroner"
"42061","Huntingdon",42,61,"Pennsylvania","Coroner"
"42007","Beaver",42,7,"Pennsylvania","Coroner"
"42117","Tioga",42,117,"Pennsylvania","Coroner"
"42057","Fulton",42,57,"Pennsylvania","Coroner"
"42085","Mercer",42,85,"Pennsylvania","Coroner"
"42019","Butler",42,19,"Pennsylvania","Coroner"
"42123","Warren",42,123,"Pennsylvania","Coroner"
"42113","Sullivan",42,113,"Pennsylvania","Coroner"
"42075","Lebanon",42,75,"Pennsylvania","Coroner"
"42125","Washington",42,125,"Pennsylvania","Coroner"
"42027","Centre",42,27,"Pennsylvania","Coroner"
"42031","Clarion",42,31,"Pennsylvania","Coroner"
"42039","Crawford",42,39,"Pennsylvania","Coroner"
"42053","Forest",42,53,"Pennsylvania","Coroner"
"42079","Luzerne",42,79,"Pennsylvania","Coroner"
"42093","Montour",42,93,"Pennsylvania","Coroner"
"42049","Erie",42,49,"Pennsylvania","Coroner"
"42069","Lackawanna",42,69,"Pennsylvania","Coroner"
"42121","Venango",42,121,"Pennsylvania","Coroner"
"42131","Wyoming",42,131,"Pennsylvania","Coroner"
"42035","Clinton",42,35,"Pennsylvania","Coroner"
"42021","Cambria",42,21,"Pennsylvania","Coroner"
"42129","Westmoreland",42,129,"Pennsylvania","Coroner"
"42005","Armstrong",42,5,"Pennsylvania","Coroner"
"42127","Wayne",42,127,"Pennsylvania","Coroner"
"42043","Dauphin",42,43,"Pennsylvania","Coroner"
"42097","Northumberland",42,97,"Pennsylvania","Coroner"
"42099","Perry",42,99,"Pennsylvania","Coroner"
"42119","Union",42,119,"Pennsylvania","Coroner"
"42047","Elk",42,47,"Pennsylvania","Coroner"
"42063","Indiana",42,63,"Pennsylvania","Coroner"
"42065","Jefferson",42,65,"Pennsylvania","Coroner"
"42017","Bucks",42,17,"Pennsylvania","Coroner"
"42051","Fayette",42,51,"Pennsylvania","Coroner"
"42115","Susquehanna",42,115,"Pennsylvania","Coroner"
"42013","Blair",42,13,"Pennsylvania","Coroner"
"42055","Franklin",42,55,"Pennsylvania","Coroner"
"42037","Columbia",42,37,"Pennsylvania","Coroner"
"42095","Northampton",42,95,"Pennsylvania","Coroner"
"42025","Carbon",42,25,"Pennsylvania","Coroner"
"42081","Lycoming",42,81,"Pennsylvania","Coroner"
"42111","Somerset",42,111,"Pennsylvania","Coroner"
"42103","Pike",42,103,"Pennsylvania","Coroner"
"42003","Allegheny",42,3,"Pennsylvania","Medical Examiner"
"42107","Schuylkill",42,107,"Pennsylvania","Coroner"
"42071","Lancaster",42,71,"Pennsylvania","Coroner"
"42091","Montgomery",42,91,"Pennsylvania","Coroner"
"42001","Adams",42,1,"Pennsylvania","Coroner"
"42009","Bedford",42,9,"Pennsylvania","Coroner"
"42015","Bradford",42,15,"Pennsylvania","Coroner"
"42023","Cameron",42,23,"Pennsylvania","Coroner"
"42045","Delaware",42,45,"Pennsylvania","Medical Examiner"
"42089","Monroe",42,89,"Pennsylvania","Coroner"
"42059","Greene",42,59,"Pennsylvania","Coroner"
"42073","Lawrence",42,73,"Pennsylvania","Coroner"
"42077","Lehigh",42,77,"Pennsylvania","Coroner"
"42083","McKean",42,83,"Pennsylvania","Coroner"
"42087","Mifflin",42,87,"Pennsylvania","Coroner"
"42033","Clearfield",42,33,"Pennsylvania","Coroner"
"42029","Chester",42,29,"Pennsylvania","Coroner"
"42041","Cumberland",42,41,"Pennsylvania","Coroner"
"42105","Potter",42,105,"Pennsylvania","Coroner"
"42101","Philadelphia",42,101,"Pennsylvania","Medical Examiner"
"42109","Snyder",42,109,"Pennsylvania","Coroner"
"42133","York",42,133,"Pennsylvania","Coroner"
