"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"45091","York",45,91,"South Carolina","Coroner"
"45035","Dorchester",45,35,"South Carolina","Coroner"
"45081","Saluda",45,81,"South Carolina","Coroner"
"45087","Union",45,87,"South Carolina","Coroner"
"45001","Abbeville",45,1,"South Carolina","Coroner"
"45011","Barnwell",45,11,"South Carolina","Coroner"
"45017","Calhoun",45,17,"South Carolina","Coroner"
"45025","Chesterfield",45,25,"South Carolina","Coroner"
"45037","Edgefield",45,37,"South Carolina","Coroner"
"45089","Williamsburg",45,89,"South Carolina","Coroner"
"45021","Cherokee",45,21,"South Carolina","Coroner"
"45067","Marion",45,67,"South Carolina","Coroner"
"45005","Allendale",45,5,"South Carolina","Coroner"
"45055","Kershaw",45,55,"South Carolina","Coroner"
"45061","Lee",45,61,"South Carolina","Coroner"
"45009","Bamberg",45,9,"South Carolina","Coroner"
"45003","Aiken",45,3,"South Carolina","Coroner"
"45077","Pickens",45,77,"South Carolina","Coroner"
"45019","Charleston",45,19,"South Carolina","Coroner"
"45059","Laurens",45,59,"South Carolina","Coroner"
"45073","Oconee",45,73,"South Carolina","Coroner"
"45027","Clarendon",45,27,"South Carolina","Coroner"
"45023","Chester",45,23,"South Carolina","Coroner"
"45053","Jasper",45,53,"South Carolina","Coroner"
"45085","Sumter",45,85,"South Carolina","Coroner"
"45083","Spartanburg",45,83,"South Carolina","Coroner"
"45013","Beaufort",45,13,"South Carolina","Coroner"
"45069","Marlboro",45,69,"South Carolina","Coroner"
"45043","Georgetown",45,43,"South Carolina","Coroner"
"45007","Anderson",45,7,"South Carolina","Coroner"
"45057","Lancaster",45,57,"South Carolina","Coroner"
"45065","McCormick",45,65,"South Carolina","Coroner"
"45015","Berkeley",45,15,"South Carolina","Coroner"
"45047","Greenwood",45,47,"South Carolina","Coroner"
"45031","Darlington",45,31,"South Carolina","Coroner"
"45039","Fairfield",45,39,"South Carolina","Coroner"
"45049","Hampton",45,49,"South Carolina","Coroner"
"45051","Horry",45,51,"South Carolina","Coroner"
"45063","Lexington",45,63,"South Carolina","Coroner"
"45075","Orangeburg",45,75,"South Carolina","Coroner"
"45079","Richland",45,79,"South Carolina","Coroner"
"45071","Newberry",45,71,"South Carolina","Coroner"
"45033","Dillon",45,33,"South Carolina","Coroner"
"45045","Greenville",45,45,"South Carolina","Coroner"
"45029","Colleton",45,29,"South Carolina","Coroner"
"45041","Florence",45,41,"South Carolina","Coroner"
