"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"46061","Hanson",46,61,"South Dakota","Coroner"
"46011","Brookings",46,11,"South Dakota","Coroner"
"46119","Sully",46,119,"South Dakota","Coroner"
"46043","Douglas",46,43,"South Dakota","Coroner"
"46013","Brown",46,13,"South Dakota","Coroner"
"46107","Potter",46,107,"South Dakota","Coroner"
"46091","Marshall",46,91,"South Dakota","Coroner"
"46111","Sanborn",46,111,"South Dakota","Coroner"
"46115","Spink",46,115,"South Dakota","Coroner"
"46135","Yankton",46,135,"South Dakota","Coroner"
"46079","Lake",46,79,"South Dakota","Coroner"
"46027","Clay",46,27,"South Dakota","Coroner"
"46093","Meade",46,93,"South Dakota","Coroner"
"46101","Moody",46,101,"South Dakota","Coroner"
"46105","Perkins",46,105,"South Dakota","Coroner"
"46005","Beadle",46,5,"South Dakota","Coroner"
"46095","Mellette",46,95,"South Dakota","Coroner"
"46019","Butte",46,19,"South Dakota","Coroner"
"46059","Hand",46,59,"South Dakota","Coroner"
"46057","Hamlin",46,57,"South Dakota","Coroner"
"46073","Jerauld",46,73,"South Dakota","Coroner"
"46023","Charles Mix",46,23,"South Dakota","Coroner"
"46045","Edmunds",46,45,"South Dakota","Coroner"
"46069","Hyde",46,69,"South Dakota","Coroner"
"46037","Day",46,37,"South Dakota","Coroner"
"46125","Turner",46,125,"South Dakota","Coroner"
"46121","Todd",46,121,"South Dakota","Coroner"
"46129","Walworth",46,129,"South Dakota","Coroner"
"46097","Miner",46,97,"South Dakota","Coroner"
"46099","Minnehaha",46,99,"South Dakota","Coroner"
"46117","Stanley",46,117,"South Dakota","Coroner"
"46081","Lawrence",46,81,"South Dakota","Coroner"
"46123","Tripp",46,123,"South Dakota","Coroner"
"46055","Haakon",46,55,"South Dakota","Coroner"
"46109","Roberts",46,109,"South Dakota","Coroner"
"46025","Clark",46,25,"South Dakota","Coroner"
"46015","Brule",46,15,"South Dakota","Coroner"
"46071","Jackson",46,71,"South Dakota","Coroner"
"46021","Campbell",46,21,"South Dakota","Coroner"
"46065","Hughes",46,65,"South Dakota","Coroner"
"46039","Deuel",46,39,"South Dakota","Coroner"
"46017","Buffalo",46,17,"South Dakota","Coroner"
"46049","Faulk",46,49,"South Dakota","Coroner"
"46007","Bennett",46,7,"South Dakota","Coroner"
"46087","McCook",46,87,"South Dakota","Coroner"
"46041","Dewey",46,41,"South Dakota","Coroner"
"46075","Jones",46,75,"South Dakota","Coroner"
"46031","Corson",46,31,"South Dakota","Coroner"
"46003","Aurora",46,3,"South Dakota","Coroner"
"46053","Gregory",46,53,"South Dakota","Coroner"
"46051","Grant",46,51,"South Dakota","Coroner"
"46083","Lincoln",46,83,"South Dakota","Coroner"
"46127","Union",46,127,"South Dakota","Coroner"
"46067","Hutchinson",46,67,"South Dakota","Coroner"
"46009","Bon Homme",46,9,"South Dakota","Coroner"
"46033","Custer",46,33,"South Dakota","Coroner"
"46047","Fall River",46,47,"South Dakota","Coroner"
"46077","Kingsbury",46,77,"South Dakota","Coroner"
"46103","Pennington",46,103,"South Dakota","Coroner"
"46089","McPherson",46,89,"South Dakota","Coroner"
"46035","Davison",46,35,"South Dakota","Coroner"
"46102","Southwest Central South Dakota",46,102,"South Dakota","Coroner"
"46137","Ziebach",46,137,"South Dakota","Coroner"
"46063","Harding",46,63,"South Dakota","Coroner"
"46085","Lyman",46,85,"South Dakota","Coroner"
"46029","Codington",46,29,"South Dakota","Coroner"
