"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"47171","Unicoi",47,171,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47051","Franklin",47,51,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47127","Moore",47,127,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47125","Montgomery",47,125,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47047","Fayette",47,47,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47067","Hancock",47,67,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47021","Cheatham",47,21,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47041","DeKalb",47,41,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47129","Morgan",47,129,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47015","Cannon",47,15,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47027","Clay",47,27,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47133","Overton",47,133,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47149","Rutherford",47,149,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47017","Carroll",47,17,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47043","Dickson",47,43,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47077","Henderson",47,77,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47083","Houston",47,83,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47093","Knox",47,93,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47101","Lewis",47,101,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47135","Perry",47,135,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47161","Stewart",47,161,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47107","McMinn",47,107,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47045","Dyer",47,45,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47061","Grundy",47,61,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47173","Union",47,173,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47183","Weakley",47,183,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47141","Putnam",47,141,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47087","Jackson",47,87,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47177","Warren",47,177,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47163","Sullivan",47,163,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47075","Haywood",47,75,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47153","Sequatchie",47,153,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47031","Coffee",47,31,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47007","Bledsoe",47,7,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47113","Madison",47,113,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47187","Williamson",47,187,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47115","Marion",47,115,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47063","Hamblen",47,63,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47049","Fentress",47,49,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47119","Maury",47,119,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47011","Bradley",47,11,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47013","Campbell",47,13,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47005","Benton",47,5,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47167","Tipton",47,167,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47121","Meigs",47,121,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47181","Wayne",47,181,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47109","McNairy",47,109,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47033","Crockett",47,33,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47179","Washington",47,179,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47189","Wilson",47,189,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47157","Shelby",47,157,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47073","Hawkins",47,73,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47081","Hickman",47,81,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47023","Chester",47,23,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
"47057","Grainger",47,57,"Tennessee","County/district-based medical examiner offices","Medical Examiner"
