"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"48063","Camp",48,63,"Texas","County/district-based coroner offices","Coroner"
"48087","Collingsworth",48,87,"Texas","County/district-based coroner offices","Coroner"
"48259","Kendall",48,259,"Texas","County/district-based coroner offices","Coroner"
"48123","DeWitt",48,123,"Texas","County/district-based coroner offices","Coroner"
"48413","Schleicher",48,413,"Texas","County/district-based coroner offices","Coroner"
"48033","Borden",48,33,"Texas","County/district-based coroner offices","Coroner"
"48447","Throckmorton",48,447,"Texas","County/district-based coroner offices","Coroner"
"48297","Live Oak",48,297,"Texas","County/district-based coroner offices","Coroner"
"48049","Brown",48,49,"Texas","County/district-based coroner offices","Coroner"
"48441","Taylor",48,441,"Texas","County/district-based coroner offices","Coroner"
"48115","Dawson",48,115,"Texas","County/district-based coroner offices","Coroner"
"48475","Ward",48,475,"Texas","County/district-based coroner offices","Coroner"
"48009","Archer",48,9,"Texas","County/district-based coroner offices","Coroner"
"48359","Oldham",48,359,"Texas","County/district-based coroner offices","Coroner"
"48003","Andrews",48,3,"Texas","County/district-based coroner offices","Coroner"
"48369","Parmer",48,369,"Texas","County/district-based coroner offices","Coroner"
"48139","Ellis",48,139,"Texas","County/district-based coroner offices","Coroner"
"48155","Foard",48,155,"Texas","County/district-based coroner offices","Coroner"
"48075","Childress",48,75,"Texas","County/district-based coroner offices","Coroner"
"48095","Concho",48,95,"Texas","County/district-based coroner offices","Coroner"
"48109","Culberson",48,109,"Texas","County/district-based coroner offices","Coroner"
"48117","Deaf Smith",48,117,"Texas","County/district-based coroner offices","Coroner"
"48127","Dimmit",48,127,"Texas","County/district-based coroner offices","Coroner"
"48131","Duval",48,131,"Texas","County/district-based coroner offices","Coroner"
"48153","Floyd",48,153,"Texas","County/district-based coroner offices","Coroner"
"48255","Karnes",48,255,"Texas","County/district-based coroner offices","Coroner"
"48161","Freestone",48,161,"Texas","County/district-based coroner offices","Coroner"
"48111","Dallam",48,111,"Texas","County/district-based coroner offices","Coroner"
"48141","El Paso",48,141,"Texas","County/district-based medical examiner offices","Medical Examiner"
"48281","Lampasas",48,281,"Texas","County/district-based coroner offices","Coroner"
"48021","Bastrop",48,21,"Texas","County/district-based coroner offices","Coroner"
"48193","Hamilton",48,193,"Texas","County/district-based coroner offices","Coroner"
"48197","Hardeman",48,197,"Texas","County/district-based coroner offices","Coroner"
"48205","Hartley",48,205,"Texas","County/district-based coroner offices","Coroner"
"48217","Hill",48,217,"Texas","County/district-based coroner offices","Coroner"
"48271","Kinney",48,271,"Texas","County/district-based coroner offices","Coroner"
"48283","La Salle",48,283,"Texas","County/district-based coroner offices","Coroner"
"48309","McLennan",48,309,"Texas","County/district-based coroner offices","Coroner"
"48385","Real",48,385,"Texas","County/district-based coroner offices","Coroner"
"48399","Runnels",48,399,"Texas","County/district-based coroner offices","Coroner"
"48421","Sherman",48,421,"Texas","County/district-based coroner offices","Coroner"
"48481","Wharton",48,481,"Texas","County/district-based coroner offices","Coroner"
"48483","Wheeler",48,483,"Texas","County/district-based coroner offices","Coroner"
"48501","Yoakum",48,501,"Texas","County/district-based coroner offices","Coroner"
"48503","Young",48,503,"Texas","County/district-based coroner offices","Coroner"
"48321","Matagorda",48,321,"Texas","County/district-based coroner offices","Coroner"
"48397","Rockwall",48,397,"Texas","County/district-based coroner offices","Coroner"
"48429","Stephens",48,429,"Texas","County/district-based coroner offices","Coroner"
"48275","Knox",48,275,"Texas","County/district-based coroner offices","Coroner"
"48345","Motley",48,345,"Texas","County/district-based coroner offices","Coroner"
"48027","Bell",48,27,"Texas","County/district-based coroner offices","Coroner"
"48267","Kimble",48,267,"Texas","County/district-based coroner offices","Coroner"
"48383","Reagan",48,383,"Texas","County/district-based coroner offices","Coroner"
"48485","Wichita",48,485,"Texas","County/district-based coroner offices","Coroner"
"48495","Winkler",48,495,"Texas","County/district-based coroner offices","Coroner"
"48173","Glasscock",48,173,"Texas","County/district-based coroner offices","Coroner"
"48417","Shackelford",48,417,"Texas","County/district-based coroner offices","Coroner"
"48339","Montgomery",48,339,"Texas","County/district-based coroner offices","Coroner"
"48407","San Jacinto",48,407,"Texas","County/district-based coroner offices","Coroner"
"48319","Mason",48,319,"Texas","County/district-based coroner offices","Coroner"
"48375","Potter",48,375,"Texas","County/district-based coroner offices","Coroner"
"48093","Comanche",48,93,"Texas","County/district-based coroner offices","Coroner"
"48293","Limestone",48,293,"Texas","County/district-based coroner offices","Coroner"
"48471","Walker",48,471,"Texas","County/district-based coroner offices","Coroner"
"48315","Marion",48,315,"Texas","County/district-based coroner offices","Coroner"
"48103","Crane",48,103,"Texas","County/district-based coroner offices","Coroner"
"48311","McMullen",48,311,"Texas","County/district-based coroner offices","Coroner"
"48089","Colorado",48,89,"Texas","County/district-based coroner offices","Coroner"
"48023","Baylor",48,23,"Texas","County/district-based coroner offices","Coroner"
"48323","Maverick",48,323,"Texas","County/district-based coroner offices","Coroner"
"48403","Sabine",48,403,"Texas","County/district-based coroner offices","Coroner"
"48405","San Augustine",48,405,"Texas","County/district-based coroner offices","Coroner"
