"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"50019","Orleans",50,19,"Vermont","Medical Examiner"
"50023","Washington",50,23,"Vermont","Medical Examiner"
"50017","Orange",50,17,"Vermont","Medical Examiner"
"50001","Addison",50,1,"Vermont","Medical Examiner"
"50021","Rutland",50,21,"Vermont","Medical Examiner"
"50015","Lamoille",50,15,"Vermont","Medical Examiner"
"50013","Grand Isle",50,13,"Vermont","Medical Examiner"
"50005","Caledonia",50,5,"Vermont","Medical Examiner"
"50011","Franklin",50,11,"Vermont","Medical Examiner"
"50027","Windsor",50,27,"Vermont","Medical Examiner"
"50009","Essex",50,9,"Vermont","Medical Examiner"
"50025","Windham",50,25,"Vermont","Medical Examiner"
"50003","Bennington",50,3,"Vermont","Medical Examiner"
"50007","Chittenden",50,7,"Vermont","Medical Examiner"
