"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"51103","Lancaster",51,103,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51690","Martinsville (city)",51,690,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51109","Louisa",51,109,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51083","Halifax",51,83,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51183","Sussex",51,183,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51033","Caroline",51,33,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51011","Appomattox",51,11,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51049","Cumberland",51,49,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51105","Lee",51,105,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51111","Lunenburg",51,111,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51133","Northumberland",51,133,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51141","Patrick",51,141,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51191","Washington",51,191,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51197","Wythe",51,197,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51510","Alexandria (city)",51,510,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51590","Danville (city)",51,590,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51790","Staunton (city)",51,790,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51051","Dickenson",51,51,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51073","Gloucester",51,73,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51021","Bland",51,21,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51101","King William",51,101,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51023","Botetourt",51,23,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51580","Covington (city)",51,580,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51810","Virginia Beach (city)",51,810,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51830","Williamsburg (city)",51,830,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51740","Portsmouth (city)",51,740,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51800","Suffolk (city)",51,800,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51113","Madison",51,113,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51187","Warren",51,187,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51065","Fluvanna",51,65,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51067","Franklin (county)",51,67,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51775","Salem (city)",51,775,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51630","Fredericksburg (city)",51,630,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51061","Fauquier",51,61,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51029","Buckingham",51,29,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51013","Arlington",51,13,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51167","Russell",51,167,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51600","Fairfax (city)",51,600,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51678","Lexington (city)",51,678,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51685","Manassas Park (city)",51,685,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51165","Rockingham",51,165,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51770","Roanoke (city)",51,770,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51137","Orange",51,137,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51157","Rappahannock",51,157,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51047","Culpeper",51,47,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51043","Clarke",51,43,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51159","Richmond (county)",51,159,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51660","Harrisonburg (city)",51,660,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51840","Winchester (city)",51,840,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51139","Page",51,139,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51171","Shenandoah",51,171,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51131","Northampton",51,131,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51037","Charlotte",51,37,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51115","Mathews",51,115,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51820","Waynesboro (city)",51,820,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51683","Manassas (city)",51,683,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51720","Norton (city)",51,720,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51169","Scott",51,169,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51005","Alleghany",51,5,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51680","Lynchburg (city)",51,680,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51079","Greene",51,79,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51173","Smyth",51,173,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51099","King George",51,99,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51125","Nelson",51,125,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51085","Hanover",51,85,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51041","Chesterfield",51,41,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51089","Henry",51,89,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51003","Albemarle",51,3,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51019","Bedford (county)",51,19,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51035","Carroll",51,35,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51143","Pittsylvania",51,143,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51177","Spotsylvania",51,177,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51121","Montgomery",51,121,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51163","Rockbridge",51,163,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51119","Middlesex",51,119,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51620","Franklin (city)",51,620,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51091","Highland",51,91,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51540","Charlottesville (city)",51,540,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51009","Amherst",51,9,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51153","Prince William",51,153,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51069","Frederick",51,69,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51155","Pulaski",51,155,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51185","Tazewell",51,185,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51750","Radford (city)",51,750,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51199","York",51,199,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51595","Emporia (city)",51,595,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51570","Colonial Heights (city)",51,570,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51015","Augusta",51,15,"Virginia","Centralized state medical examiner office","Medical Examiner"
"51735","Poquoson (city)",51,735,"Virginia","Centralized state medical examiner office","Medical Examiner"
