"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"53023","Garfield",53,23,"Washington","County/district-based coroner offices","Coroner"
"53063","Spokane",53,63,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53073","Whatcom",53,73,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53001","Adams",53,1,"Washington","County/district-based coroner offices","Coroner"
"53049","Pacific",53,49,"Washington","County/district-based coroner offices","Coroner"
"53043","Lincoln",53,43,"Washington","County/district-based coroner offices","Coroner"
"53061","Snohomish",53,61,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53015","Cowlitz",53,15,"Washington","County/district-based coroner offices","Coroner"
"53059","Skamania",53,59,"Washington","County/district-based coroner offices","Coroner"
"53057","Skagit",53,57,"Washington","County/district-based coroner offices","Coroner"
"53005","Benton",53,5,"Washington","County/district-based coroner offices","Coroner"
"53075","Whitman",53,75,"Washington","County/district-based coroner offices","Coroner"
"53071","Walla Walla",53,71,"Washington","County/district-based coroner offices","Coroner"
"53017","Douglas",53,17,"Washington","County/district-based coroner offices","Coroner"
"53027","Grays Harbor",53,27,"Washington","County/district-based coroner offices","Coroner"
"53047","Okanogan",53,47,"Washington","County/district-based coroner offices","Coroner"
"53035","Kitsap",53,35,"Washington","County/district-based coroner offices","Coroner"
"53019","Ferry",53,19,"Washington","County/district-based coroner offices","Coroner"
"53037","Kittitas",53,37,"Washington","County/district-based coroner offices","Coroner"
"53031","Jefferson",53,31,"Washington","County/district-based coroner offices","Coroner"
"53029","Island",53,29,"Washington","County/district-based coroner offices","Coroner"
"53039","Klickitat",53,39,"Washington","County/district-based coroner offices","Coroner"
"53013","Columbia",53,13,"Washington","County/district-based coroner offices","Coroner"
"53011","Clark",53,11,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53003","Asotin",53,3,"Washington","County/district-based coroner offices","Coroner"
"53021","Franklin",53,21,"Washington","County/district-based coroner offices","Coroner"
"53025","Grant",53,25,"Washington","County/district-based coroner offices","Coroner"
"53033","King",53,33,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53053","Pierce",53,53,"Washington","County/district-based medical examiner offices","Medical Examiner"
"53009","Clallam",53,9,"Washington","County/district-based coroner offices","Coroner"
"53045","Mason",53,45,"Washington","County/district-based coroner offices","Coroner"
"53007","Chelan",53,7,"Washington","County/district-based coroner offices","Coroner"
"53051","Pend Oreille",53,51,"Washington","County/district-based coroner offices","Coroner"
"53065","Stevens",53,65,"Washington","County/district-based coroner offices","Coroner"
"53067","Thurston",53,67,"Washington","County/district-based coroner offices","Coroner"
"53041","Lewis",53,41,"Washington","County/district-based coroner offices","Coroner"
"53055","San Juan",53,55,"Washington","County/district-based coroner offices","Coroner"
"53077","Yakima",53,77,"Washington","County/district-based coroner offices","Coroner"
"53069","Wahkiakum",53,69,"Washington","County/district-based coroner offices","Coroner"
