"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"54005","Boone",54,5,"West Virginia","Medical Examiner"
"54087","Roane",54,87,"West Virginia","Medical Examiner"
"54089","Summers",54,89,"West Virginia","Medical Examiner"
"54069","Ohio",54,69,"West Virginia","Medical Examiner"
"54011","Cabell",54,11,"West Virginia","Medical Examiner"
"54043","Lincoln",54,43,"West Virginia","Medical Examiner"
"54013","Calhoun",54,13,"West Virginia","Medical Examiner"
"54059","Mingo",54,59,"West Virginia","Medical Examiner"
"54103","Wetzel",54,103,"West Virginia","Medical Examiner"
"54049","Marion",54,49,"West Virginia","Medical Examiner"
"54101","Webster",54,101,"West Virginia","Medical Examiner"
"54019","Fayette",54,19,"West Virginia","Medical Examiner"
"54055","Mercer",54,55,"West Virginia","Medical Examiner"
"54063","Monroe",54,63,"West Virginia","Medical Examiner"
"54067","Nicholas",54,67,"West Virginia","Medical Examiner"
"54109","Wyoming",54,109,"West Virginia","Medical Examiner"
"54051","Marshall",54,51,"West Virginia","Medical Examiner"
"54029","Hancock",54,29,"West Virginia","Medical Examiner"
"54003","Berkeley",54,3,"West Virginia","Medical Examiner"
"54001","Barbour",54,1,"West Virginia","Medical Examiner"
"54065","Morgan",54,65,"West Virginia","Medical Examiner"
"54071","Pendleton",54,71,"West Virginia","Medical Examiner"
"54053","Mason",54,53,"West Virginia","Medical Examiner"
"54031","Hardy",54,31,"West Virginia","Medical Examiner"
"54083","Randolph",54,83,"West Virginia","Medical Examiner"
"54009","Brooke",54,9,"West Virginia","Medical Examiner"
"54085","Ritchie",54,85,"West Virginia","Medical Examiner"
"54099","Wayne",54,99,"West Virginia","Medical Examiner"
"54047","McDowell",54,47,"West Virginia","Medical Examiner"
"54093","Tucker",54,93,"West Virginia","Medical Examiner"
"54033","Harrison",54,33,"West Virginia","Medical Examiner"
"54027","Hampshire",54,27,"West Virginia","Medical Examiner"
"54007","Braxton",54,7,"West Virginia","Medical Examiner"
"54025","Greenbrier",54,25,"West Virginia","Medical Examiner"
"54045","Logan",54,45,"West Virginia","Medical Examiner"
"54097","Upshur",54,97,"West Virginia","Medical Examiner"
"54041","Lewis",54,41,"West Virginia","Medical Examiner"
"54079","Putnam",54,79,"West Virginia","Medical Examiner"
"54107","Wood",54,107,"West Virginia","Medical Examiner"
"54057","Mineral",54,57,"West Virginia","Medical Examiner"
"54061","Monongalia",54,61,"West Virginia","Medical Examiner"
"54073","Pleasants",54,73,"West Virginia","Medical Examiner"
"54015","Clay",54,15,"West Virginia","Medical Examiner"
"54039","Kanawha",54,39,"West Virginia","Medical Examiner"
"54035","Jackson",54,35,"West Virginia","Medical Examiner"
"54095","Tyler",54,95,"West Virginia","Medical Examiner"
"54017","Doddridge",54,17,"West Virginia","Medical Examiner"
"54091","Taylor",54,91,"West Virginia","Medical Examiner"
"54105","Wirt",54,105,"West Virginia","Medical Examiner"
"54021","Gilmer",54,21,"West Virginia","Medical Examiner"
"54077","Preston",54,77,"West Virginia","Medical Examiner"
"54023","Grant",54,23,"West Virginia","Medical Examiner"
"54037","Jefferson",54,37,"West Virginia","Medical Examiner"
"54075","Pocahontas",54,75,"West Virginia","Medical Examiner"
"54081","Raleigh",54,81,"West Virginia","Medical Examiner"
