"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"55077","Marquette",55,77,"Wisconsin","County/district-based coroner offices","Coroner"
"55139","Winnebago",55,139,"Wisconsin","County/district-based coroner offices","Coroner"
"55141","Wood",55,141,"Wisconsin","County/district-based coroner offices","Coroner"
"55069","Lincoln",55,69,"Wisconsin","County/district-based coroner offices","Coroner"
"55019","Clark",55,19,"Wisconsin","County/district-based coroner offices","Coroner"
"55087","Outagamie",55,87,"Wisconsin","County/district-based coroner offices","Coroner"
"55113","Sawyer",55,113,"Wisconsin","County/district-based coroner offices","Coroner"
"55047","Green Lake",55,47,"Wisconsin","County/district-based coroner offices","Coroner"
"55135","Waupaca",55,135,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55049","Iowa",55,49,"Wisconsin","County/district-based coroner offices","Coroner"
"55055","Jefferson",55,55,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55105","Rock",55,105,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55107","Rusk",55,107,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55081","Monroe",55,81,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55125","Vilas",55,125,"Wisconsin","County/district-based coroner offices","Coroner"
"55129","Washburn",55,129,"Wisconsin","County/district-based coroner offices","Coroner"
"55041","Forest",55,41,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55071","Manitowoc",55,71,"Wisconsin","County/district-based coroner offices","Coroner"
"55039","Fond du Lac",55,39,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55051","Iron",55,51,"Wisconsin","County/district-based coroner offices","Coroner"
"55005","Barron",55,5,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55121","Trempealeau",55,121,"Wisconsin","County/district-based coroner offices","Coroner"
"55101","Racine",55,101,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55067","Langlade",55,67,"Wisconsin","County/district-based coroner offices","Coroner"
"55037","Florence",55,37,"Wisconsin","County/district-based coroner offices","Coroner"
"55085","Oneida",55,85,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55119","Taylor",55,119,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55091","Pepin",55,91,"Wisconsin","County/district-based coroner offices","Coroner"
"55099","Price",55,99,"Wisconsin","County/district-based coroner offices","Coroner"
"55133","Waukesha",55,133,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55035","Eau Claire",55,35,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55001","Adams",55,1,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55123","Vernon",55,123,"Wisconsin","County/district-based coroner offices","Coroner"
"55137","Waushara",55,137,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55057","Juneau",55,57,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55097","Portage",55,97,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55053","Jackson",55,53,"Wisconsin","County/district-based coroner offices","Coroner"
"55073","Marathon",55,73,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55029","Door",55,29,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55033","Dunn",55,33,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
"55045","Green",55,45,"Wisconsin","County/district-based coroner offices","Coroner"
"55109","St. Croix",55,109,"Wisconsin","County/district-based medical examiner offices","Medical Examiner"
