"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"56025","Natrona",56,25,"Wyoming","Coroner"
"56033","Sheridan",56,33,"Wyoming","Coroner"
"56031","Platte",56,31,"Wyoming","Coroner"
"56015","Goshen",56,15,"Wyoming","Coroner"
"56027","Niobrara",56,27,"Wyoming","Coroner"
"56011","Crook",56,11,"Wyoming","Coroner"
"56041","Uinta",56,41,"Wyoming","Coroner"
"56037","Sweetwater",56,37,"Wyoming","Coroner"
"56005","Campbell",56,5,"Wyoming","Coroner"
"56039","Teton",56,39,"Wyoming","Coroner"
"56029","Park",56,29,"Wyoming","Coroner"
"56023","Lincoln",56,23,"Wyoming","Coroner"
"56045","Weston",56,45,"Wyoming","Coroner"
"56021","Laramie",56,21,"Wyoming","Coroner"
"56007","Carbon",56,7,"Wyoming","Coroner"
"56001","Albany",56,1,"Wyoming","Coroner"
"56017","Hot Springs",56,17,"Wyoming","Coroner"
"56043","Washakie",56,43,"Wyoming","Coroner"
"56035","Sublette",56,35,"Wyoming","Coroner"
"56003","Big Horn",56,3,"Wyoming","Coroner"
"56009","Converse",56,9,"Wyoming","Coroner"
"56019","Johnson",56,19,"Wyoming","Coroner"
"56013","Fremont",56,13,"Wyoming","Coroner"
