"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"04021","Pinal",4,21,"Arizona",0.492117888965045,0.497964721845319
"04011","Greenlee",4,11,"Arizona",0.0,0.4
"04003","Cochise",4,3,"Arizona",0.251396648044693,0.357466063348416
"04009","Graham",4,9,"Arizona",0.320388349514563,0.493827160493827
"04015","Mohave",4,15,"Arizona",0.340035481963335,0.337729627885068
"04023","Santa Cruz",4,23,"Arizona",0.239795918367347,0.378048780487805
"04001","Apache",4,1,"Arizona",0.342507645259939,0.582366589327146
"04027","Yuma",4,27,"Arizona",0.344517184942717,0.43002915451895
"04005","Coconino",4,5,"Arizona",0.206521739130435,0.455645161290323
"04017","Navajo",4,17,"Arizona",0.387856257744734,0.555555555555556
"04025","Yavapai",4,25,"Arizona",0.378254211332312,0.27330779054917
"04007","Gila",4,7,"Arizona",0.255605381165919,0.347732181425486
"04019","Pima",4,19,"Arizona",0.359183022179671,0.448543689320388
"04012","Yuma",4,12,"Arizona",0.344517184942717,0.43002915451895
"04013","Maricopa",4,13,"Arizona",0.349064722134155,0.423634105960265
