"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"05121","Randolph",5,121,"Arkansas",0.0,0.0
"05039","Dallas",5,39,"Arkansas",0.514285714285714,0.6
"05113","Polk",5,113,"Arkansas",0.0,0.172413793103448
"05087","Madison",5,87,"Arkansas",0.0,0.166666666666667
"05019","Clark",5,19,"Arkansas",0.433962264150943,0.395833333333333
"05129","Searcy",5,129,"Arkansas",0.0,0.520833333333333
"05029","Conway",5,29,"Arkansas",0.0,0.0
"05077","Lee",5,77,"Arkansas",0.640625,0.107142857142857
"05097","Montgomery",5,97,"Arkansas",0.153846153846154,0.15625
"05043","Drew",5,43,"Arkansas",0.5875,0.0
"05115","Pope",5,115,"Arkansas",0.473988439306358,0.290909090909091
"05051","Garland",5,51,"Arkansas",0.029126213592233,0.0948275862068966
"05111","Poinsett",5,111,"Arkansas",0.329545454545455,0.497267759562842
"05109","Pike",5,109,"Arkansas",0.0,0.538461538461538
"05123","St. Francis",5,123,"Arkansas",0.375,0.594339622641509
"05031","Craighead",5,31,"Arkansas",0.423728813559322,0.29559748427673
"05147","Woodruff",5,147,"Arkansas",0.612903225806452,0.0
"05009","Boone",5,9,"Arkansas",0.296296296296296,0.172043010752688
"05001","Arkansas (county)",5,1,"Arkansas",0.644736842105263,0.65979381443299
"05027","Columbia",5,27,"Arkansas",0.591836734693878,0.0
"05045","Faulkner",5,45,"Arkansas",0.279220779220779,0.278688524590164
"05083","Logan",5,83,"Arkansas",0.627450980392157,0.607476635514019
"05141","Van Buren",5,141,"Arkansas",0.0,0.627906976744186
"05017","Chicot",5,17,"Arkansas",0.0,0.416666666666667
"05085","Lonoke",5,85,"Arkansas",0.0,0.214876033057851
"05117","Prairie",5,117,"Arkansas",0.476190476190476,0.454545454545455
"05015","Carroll",5,15,"Arkansas",0.0,0.253968253968254
"05091","Miller",5,91,"Arkansas",0.141509433962264,0.405228758169935
"05079","Lincoln",5,79,"Arkansas",0.0,0.222222222222222
"05067","Jackson",5,67,"Arkansas",0.491228070175439,0.3
"05065","Izard",5,65,"Arkansas",0.305555555555556,0.357142857142857
"05069","Jefferson",5,69,"Arkansas",0.34375,0.491228070175439
"05131","Sebastian",5,131,"Arkansas",0.412790697674419,0.437403400309119
"05053","Grant",5,53,"Arkansas",0.461538461538462,0.565789473684211
"05103","Ouachita",5,103,"Arkansas",0.359550561797753,0.274509803921569
"05003","Ashley",5,3,"Arkansas",0.288461538461538,0.647727272727273
"05057","Hempstead",5,57,"Arkansas",0.222222222222222,0.451612903225806
"05049","Fulton",5,49,"Arkansas",0.0,0.446153846153846
"05099","Nevada",5,99,"Arkansas",0.0,0.0
"05055","Greene",5,55,"Arkansas",0.0,0.0740740740740741
"05023","Cleburne",5,23,"Arkansas",0.258823529411765,0.0
"05033","Crawford",5,33,"Arkansas",0.51338199513382,0.497695852534562
"05047","Franklin",5,47,"Arkansas",0.515151515151515,0.0833333333333334
"05107","Phillips",5,107,"Arkansas",0.448275862068966,0.404494382022472
"05035","Crittenden",5,35,"Arkansas",0.476744186046512,0.477987421383648
"05089","Marion",5,89,"Arkansas",0.1,0.12962962962963
"05011","Bradley",5,11,"Arkansas",0.254901960784314,0.0
"05139","Union",5,139,"Arkansas",0.208,0.078125
"05105","Perry",5,105,"Arkansas",0.0,0.129032258064516
"05101","Newton",5,101,"Arkansas",0.666666666666667,0.6875
"05125","Saline",5,125,"Arkansas",0.0,0.557377049180328
"05013","Calhoun",5,13,"Arkansas","",""
"05095","Monroe",5,95,"Arkansas",0.384615384615385,0.0
"05093","Mississippi",5,93,"Arkansas",0.456043956043956,0.163461538461538
"05075","Lawrence",5,75,"Arkansas",0.0,0.0
"05021","Clay",5,21,"Arkansas",0.0,0.102564102564103
"05005","Baxter",5,5,"Arkansas",0.278571428571429,0.465020576131687
"05059","Hot Spring",5,59,"Arkansas",0.329896907216495,0.4
"05137","Stone",5,137,"Arkansas",0.680555555555556,0.553846153846154
"05007","Benton",5,7,"Arkansas",0.0,0.0625
"05143","Washington",5,143,"Arkansas",0.0,0.100418410041841
"05025","Cleveland",5,25,"Arkansas",0.254237288135593,0.705882352941176
"05071","Johnson",5,71,"Arkansas",0.372549019607843,0.421052631578947
"05073","Lafayette",5,73,"Arkansas",0.65,""
"05119","Pulaski",5,119,"Arkansas",0.373283395755306,0.385386819484241
"05041","Desha",5,41,"Arkansas",0.107142857142857,0.333333333333333
"05037","Cross",5,37,"Arkansas",0.0,0.0
"05127","Scott",5,127,"Arkansas",0.53125,0.434782608695652
"05133","Sevier",5,133,"Arkansas",0.387096774193548,0.260869565217391
"05061","Howard",5,61,"Arkansas",0.0,0.0
"05063","Independence",5,63,"Arkansas",0.198347107438017,0.386554621848739
"05081","Little River",5,81,"Arkansas",0.365384615384615,0.0
"05145","White",5,145,"Arkansas",0.527173913043478,0.465346534653465
"05135","Sharp",5,135,"Arkansas",0.0,0.0
"05149","Yell",5,149,"Arkansas",0.0689655172413793,0.0
