"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"08069","Larimer",8,69,"Colorado",0.208144796380091,0.0
"08073","Lincoln",8,73,"Colorado","",""
"08041","El Paso",8,41,"Colorado",0.393682225365394,0.405868776788658
"08055","Huerfano",8,55,"Colorado",0.777777777777778,0.754385964912281
"08025","Crowley",8,25,"Colorado","",0.666666666666667
"08105","Rio Grande",8,105,"Colorado","",0.411764705882353
"08037","Eagle",8,37,"Colorado",0.0,0.0
"08017","Cheyenne",8,17,"Colorado","",""
"08011","Bent",8,11,"Colorado",0.65,0.55
"08019","Clear Creek",8,19,"Colorado","",""
"08047","Gilpin",8,47,"Colorado","",""
"08109","Saguache",8,109,"Colorado","",""
"08085","Montrose",8,85,"Colorado",0.0208333333333334,0.314814814814815
"08103","Rio Blanco",8,103,"Colorado","",0.59375
"08021","Conejos",8,21,"Colorado",0.615384615384615,0.433734939759036
"08053","Hinsdale",8,53,"Colorado","",""
"08097","Pitkin",8,97,"Colorado","",""
"08123","Jefferson",8,123,"Colorado",0.203365384615385,0.262915129151292
"08119","Teller",8,119,"Colorado",0.758620689655172,0.611650485436893
"08039","Elbert",8,39,"Colorado",0.0714285714285714,0.444444444444444
"08095","Phillips",8,95,"Colorado",0.76,""
"08063","Kit Carson",8,63,"Colorado","",0.673469387755102
"08125","Yuma",8,125,"Colorado",0.578947368421053,""
"08035","Douglas",8,35,"Colorado",0.508997429305913,0.620408163265306
"08009","Baca",8,9,"Colorado","",""
"08113","San Miguel",8,113,"Colorado","",""
"08117","Summit",8,117,"Colorado","",""
"08045","Garfield",8,45,"Colorado",0.173913043478261,0.0
"08005","Arapahoe",8,5,"Colorado",0.366480446927374,0.532139093782929
"08007","Archuleta",8,7,"Colorado","",0.682926829268293
"08051","Gunnison",8,51,"Colorado","",""
"08099","Prowers",8,99,"Colorado",0.615384615384615,0.527272727272727
"08033","Dolores",8,33,"Colorado","",""
"08121","Washington",8,121,"Colorado",0.594594594594595,0.605263157894737
"08091","Ouray",8,91,"Colorado","",""
"08015","Chaffee",8,15,"Colorado",0.392857142857143,0.0
"08014","Jefferson",8,14,"Colorado",0.203365384615385,0.262915129151292
"08013","Jefferson",8,13,"Colorado",0.203365384615385,0.262915129151292
"08089","Otero",8,89,"Colorado",0.189655172413793,0.109375
"08115","Sedgwick",8,115,"Colorado","",""
"08061","Kiowa",8,61,"Colorado","",""
"08087","Morgan",8,87,"Colorado",0.0,0.0
"08083","Montezuma",8,83,"Colorado",0.465116279069767,0.355555555555556
"08071","Las Animas",8,71,"Colorado","",0.484375
"08003","Alamosa",8,3,"Colorado",0.0,0.357142857142857
"08075","Logan",8,75,"Colorado",0.346938775510204,0.262295081967213
"08077","Mesa",8,77,"Colorado",0.361111111111111,0.140161725067385
"08081","Moffat",8,81,"Colorado",0.622950819672131,0.410714285714286
"08001","Jefferson",8,1,"Colorado",0.203365384615385,0.262915129151292
"08031","Denver",8,31,"Colorado",0.268664296597258,0.285289747399703
"08027","Custer",8,27,"Colorado","",0.25
"08101","Pueblo",8,101,"Colorado",0.4140625,0.35258358662614
"08111","San Juan",8,111,"Colorado","",""
"08023","Costilla",8,23,"Colorado","",0.5
"08067","La Plata",8,67,"Colorado",0.597560975609756,0.634615384615385
"08093","Park",8,93,"Colorado","",0.0
"08107","Routt",8,107,"Colorado",0.0,""
"08043","Fremont",8,43,"Colorado",0.161290322580645,0.28
"08065","Lake",8,65,"Colorado","",""
"08029","Delta",8,29,"Colorado",0.0,0.324074074074074
"08049","Grand",8,49,"Colorado","",0.0
"08079","Mineral",8,79,"Colorado","",""
"08059","Jefferson",8,59,"Colorado",0.203365384615385,0.262915129151292
"08057","Jackson",8,57,"Colorado","",""
