"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"12043","Glades",12,43,"Florida",0.46950085,0.662159876
"12013","Calhoun",12,13,"Florida",0.381237465,0.270327749
"12083","Marion",12,83,"Florida",0.302287317,0.16573542
"12027","DeSoto",12,27,"Florida",0.3659876,0.335370886
"12015","Charlotte",12,15,"Florida",0.309893666,0.076660286
"12079","Madison",12,79,"Florida",0.529486048,0.230972934
"12041","Gilchrist",12,41,"Florida",0.304033584,0.518460351
"12085","Martin",12,85,"Florida",0.522286773,0.491671158
"12023","Columbia",12,23,"Florida",0.240824244,0.392964101
"12039","Gadsden",12,39,"Florida",0.43658071,0.5007291
"12053","Hernando",12,53,"Florida",0.106616658,0.138023765
"12131","Walton",12,131,"Florida",0,0
"12111","St. Lucie",12,111,"Florida",0.201836831,0.278488665
"12035","Flagler",12,35,"Florida",0.611543466,0.255573088
"12121","Suwannee",12,121,"Florida",0.303347573,0.118478898
"12119","Sumter",12,119,"Florida",0.627581006,0.478219586
"12045","Gulf",12,45,"Florida",0.495522695,0.368338018
"12091","Okaloosa",12,91,"Florida",0.280759826,0.163729718
"12067","Lafayette",12,67,"Florida",0.479574911,0.377775343
"12093","Okeechobee",12,93,"Florida",0.343993031,0.443340039
"12107","Putnam",12,107,"Florida",0.495518948,0.397307618
"12007","Bradford",12,7,"Florida",0,0
"12099","Palm Beach",12,99,"Florida",0.195377542,0.121851333
"12005","Bay",12,5,"Florida",0.216395059,0.263692121
"12109","St. Johns",12,109,"Florida",0,0
"12047","Hamilton",12,47,"Florida",0.507877854,0.427908578
"12037","Franklin",12,37,"Florida",0.146242441,0
"12073","Leon",12,73,"Florida",0.597750826,0.381679073
"12033","Escambia",12,33,"Florida",0.430855004,0.370005894
"12021","Collier",12,21,"Florida",0.293705572,0.347606694
"12019","Clay",12,19,"Florida",0.434858772,0.386383479
"12087","Monroe",12,87,"Florida",0,0
"12105","Polk",12,105,"Florida",0.225453951,0.188642523
"12051","Hendry",12,51,"Florida",0.065359213,0.494303905
"12057","Hillsborough",12,57,"Florida",0.395998121,0.350176091
"12055","Highlands",12,55,"Florida",0.261607579,0.41668234
"12017","Citrus",12,17,"Florida",0.489770823,0.297311781
"12003","Baker",12,3,"Florida",0,0.145435909
"12075","Levy",12,75,"Florida",0.472558755,0.211050453
"12049","Hardee",12,49,"Florida",0.411460048,0.423142078
"12095","Orange",12,95,"Florida",0.268936871,0.119534391
"12133","Washington",12,133,"Florida",0,0
"12113","Santa Rosa",12,113,"Florida",0.117201754,0
"12129","Wakulla",12,129,"Florida",0.49530048,0.280795646
"12009","Brevard",12,9,"Florida",0.070136192,0.127736461
"12001","Alachua",12,1,"Florida",0.285927457,0
"12089","Nassau",12,89,"Florida",0.041492571,0
"12065","Jefferson",12,65,"Florida",0.578156113,0.154792621
"12115","Sarasota",12,115,"Florida",0.483300132,0.210245969
"12031","Duval",12,31,"Florida",0.329716664,0.159970407
"12097","Osceola",12,97,"Florida",0.127136129,0.152144268
"12101","Pasco",12,101,"Florida",0.252642734,0
"12011","Broward",12,11,"Florida",0.269156125,0.086850666
"12081","Manatee",12,81,"Florida",0.196112445,0.0892018449999999
"12086","Miami-Dade",12,86,"Florida",0.26615889,0.221540227
"12069","Lake",12,69,"Florida",0.151840744,0
"12063","Jackson",12,63,"Florida",0.204156174,0
"12123","Taylor",12,123,"Florida",0.519148925,0.201436331
"12059","Holmes",12,59,"Florida",0.420554406,0.319312101
"12077","Liberty",12,77,"Florida",0.222774082,0.62359337
"12117","Seminole",12,117,"Florida",0.239988982,0.201128253
"12127","Volusia",12,127,"Florida",0.35379903,0.258921847
"12125","Union",12,125,"Florida",0,0
"12029","Dixie",12,29,"Florida",0.284792934,0.33734011
"12061","Indian River",12,61,"Florida",0.297235718,0.21789654
"12103","Pinellas",12,103,"Florida",0.32266011,0.253891882
"12071","Lee",12,71,"Florida",0.318976311,0.287711859
