"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"13179","Liberty",13,179,"Georgia",0.25,0.513368983957219
"13023","Bleckley",13,23,"Georgia",0.310344827586207,0.104166666666667
"13165","Jenkins",13,165,"Georgia",0.0303030303030303,0.527777777777778
"13177","Lee",13,177,"Georgia",0.210526315789474,0.106382978723404
"13073","Columbia",13,73,"Georgia",0.422145328719723,0.423664122137405
"13123","Gilmer",13,123,"Georgia",0.298969072164949,0.247524752475248
"13273","Terrell",13,273,"Georgia",0.204545454545455,0.407407407407407
"13157","Jackson",13,157,"Georgia",0.152173913043478,0.0
"13139","Hall",13,139,"Georgia",0.424460431654676,0.112582781456954
"13161","Jeff Davis",13,161,"Georgia",0.288461538461538,0.225
"13191","McIntosh",13,191,"Georgia",0.768115942028985,0.752688172043011
"13219","Oconee",13,219,"Georgia",0.224137931034483,0.403846153846154
"13319","Wilkinson",13,319,"Georgia",0.557692307692308,0.683333333333333
"13267","Tattnall",13,267,"Georgia",0.298701298701299,0.36734693877551
"13005","Bacon",13,5,"Georgia",0.0975609756097561,0.288888888888889
"13053","Chattahoochee",13,53,"Georgia",0.0,0.0
"13149","Heard",13,149,"Georgia",0.380952380952381,0.277777777777778
"13209","Montgomery",13,209,"Georgia",0.384615384615385,0.439024390243902
"13063","Clayton",13,63,"Georgia",0.438511326860841,0.472527472527473
"13003","Atkinson",13,3,"Georgia",0.166666666666667,0.490196078431373
"13277","Tift",13,277,"Georgia",0.099009900990099,0.0617283950617284
"13271","Telfair",13,271,"Georgia",0.554545454545455,0.333333333333333
"13193","Macon",13,193,"Georgia",0.225806451612903,0.421052631578947
"13249","Schley",13,249,"Georgia",0.414462705,0.909372733
"13241","Rabun",13,241,"Georgia",0.389830508474576,0.24
"13187","Lumpkin",13,187,"Georgia",0.352601156069364,0.32258064516129
"13075","Cook",13,75,"Georgia",0.333333333333333,0.311111111111111
"13131","Grady",13,131,"Georgia",0.120689655172414,0.160714285714286
"13077","Coweta",13,77,"Georgia",0.4,0.487528344671202
"13237","Putnam",13,237,"Georgia",0.448275862068966,0.477777777777778
"13047","Catoosa",13,47,"Georgia",0.28030303030303,0.24
"13013","Barrow",13,13,"Georgia",0.029126213592233,0.467032967032967
"13217","Newton",13,217,"Georgia",0.457516339869281,0.309701492537313
"13113","Fayette",13,113,"Georgia",0.166077738515901,0.400900900900901
"13105","Elbert",13,105,"Georgia",0.49,0.568965517241379
