"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"17139","Moultrie",17,139,"Illinois",0,0
"17073","Henry",17,73,"Illinois",0.507545809,0.159653676
"17023","Clark",17,23,"Illinois",0.376694414,0.217438092
"17039","De Witt",17,39,"Illinois",0.406537954,0.0928503470000001
"17069","Hardin",17,69,"Illinois",0.141153027,0.50759025
"17143","Peoria",17,143,"Illinois",0.371289348,0.239297103
"17019","Champaign",17,19,"Illinois",0.56651861,0.47558208
"17191","Wayne",17,191,"Illinois",0.266959032,0.14033866
"17117","Macoupin",17,117,"Illinois",0.332464336,0.098683503
"17123","Marshall",17,123,"Illinois",0,0
"17151","Pope",17,151,"Illinois",0,0.476683311
"17159","Richland",17,159,"Illinois",0.407083941,0.252969427
"17003","Alexander",17,3,"Illinois",0.642232372,0.458579859
"17103","Lee",17,103,"Illinois",0.022865875,0
"17169","Schuyler",17,169,"Illinois",0,0.776049155
"17163","St. Clair",17,163,"Illinois",0.36525842,0.287621556
"17189","Washington",17,189,"Illinois",0,0
"17037","DeKalb",17,37,"Illinois",0.630396481,0.536784475
"17053","Ford",17,53,"Illinois",0.235153768,0.267540627
"17055","Franklin",17,55,"Illinois",0.341535555,0.299771968
"17065","Hamilton",17,65,"Illinois",0.49741371,0
"17077","Jackson",17,77,"Illinois",0.559419988,0.560644886
"17145","Perry",17,145,"Illinois",0.185271559,0.346867866
"17087","Johnson",17,87,"Illinois",0.17298015,0
"17075","Iroquois",17,75,"Illinois",0.302510141,0
"17105","Livingston",17,105,"Illinois",0,0
"17175","Stark",17,175,"Illinois",0.18200063,0.813268593
"17179","Tazewell",17,179,"Illinois",0.532747692,0.405985809
"17057","Fulton",17,57,"Illinois",0.491208164,0
"17171","Scott",17,171,"Illinois",0.585991646,0.348270277
"17155","Putnam",17,155,"Illinois",0,0.364388744
"17081","Jefferson",17,81,"Illinois",0.432086626,0.300910912
"17135","Montgomery",17,135,"Illinois",0.523094409,0.275977636
"17187","Warren",17,187,"Illinois",0.444270795,0
"17007","Boone",17,7,"Illinois",0,0.369203367
"17063","Grundy",17,63,"Illinois",0.550413875,0.192395683
"17109","McDonough",17,109,"Illinois",0.563970049,0
"17129","Menard",17,129,"Illinois",0,0.572503283
"17101","Lawrence",17,101,"Illinois",0,0
"17025","Clay",17,25,"Illinois",0,0
"17177","Stephenson",17,177,"Illinois",0.42782275,0.015656139
"17011","Bureau",17,11,"Illinois",0.222469857,0
"17079","Jasper",17,79,"Illinois",0,0.493369113
"17045","Edgar",17,45,"Illinois",0.27335709,0.084970239
"17035","Cumberland",17,35,"Illinois",0,0.566735469
"17141","Ogle",17,141,"Illinois",0.259020801,0
"17047","Edwards",17,47,"Illinois",0.532871811,0.021728494
"17153","Pulaski",17,153,"Illinois",0,0.429736939
"17133","Monroe",17,133,"Illinois",0,0
"17097","Lake",17,97,"Illinois",0.141431309,0
"17173","Shelby",17,173,"Illinois",0.121502372,0.381161391
"17017","Cass",17,17,"Illinois",0,0
"17067","Hancock",17,67,"Illinois",0.462739837,0.00475385500000003
"17149","Pike",17,149,"Illinois",0.176224226,0
"17201","Winnebago",17,201,"Illinois",0.183559232,0.311859024
"17001","Adams",17,1,"Illinois",0,0.058080241
"17059","Gallatin",17,59,"Illinois",0.830575495,0.932910716
"17041","Douglas",17,41,"Illinois",0.087207715,0.578157228
"17015","Carroll",17,15,"Illinois",0.435234505,0
"17131","Mercer",17,131,"Illinois",0.192877571,0
"17021","Christian",17,21,"Illinois",0,0.179484391
"17091","Kankakee",17,91,"Illinois",0.364624322,0.387738113
"17009","Brown",17,9,"Illinois",0.855975698,0.128270916
"17029","Coles",17,29,"Illinois",0.597185192,0.419796017
"17137","Morgan",17,137,"Illinois",0.289609447,0
"17161","Rock Island",17,161,"Illinois",0.337511725,0
"17203","Woodford",17,203,"Illinois",0.201794203,0
"17095","Knox",17,95,"Illinois",0.151724193,0
"17089","Kane",17,89,"Illinois",0.396648198,0.371890038
"17125","Mason",17,125,"Illinois",0.141296813,0.422996762
"17049","Effingham",17,49,"Illinois",0.385685533,0.058486868
"17147","Piatt",17,147,"Illinois",0.826006687,0.571481195
"17167","Sangamon",17,167,"Illinois",0.129679577,0
"17119","Madison",17,119,"Illinois",0.334327301,0.106480883
"17085","Jo Daviess",17,85,"Illinois",0.439554599,0
"17193","White",17,193,"Illinois",0,0
"17121","Marion",17,121,"Illinois",0.603559472,0
"17111","McHenry",17,111,"Illinois",0.288556721,0.277624174
"17031","Cook",17,31,"Illinois",0.212306392,0.040543415
"17115","Macon",17,115,"Illinois",0.285267694,0.181101908
"17071","Henderson",17,71,"Illinois",0.429232215,0.603667809
"17043","DuPage",17,43,"Illinois",0.256480761,0
"17061","Greene",17,61,"Illinois",0.068907084,0
"17157","Randolph",17,157,"Illinois",0.247371743,0.417307205
"17181","Union",17,181,"Illinois",0.309898517,0.0953388630000001
"17005","Bond",17,5,"Illinois",0.286657059,0.241862845
"17033","Crawford",17,33,"Illinois",0,0
"17195","Whiteside",17,195,"Illinois",0,0
"17199","Williamson",17,199,"Illinois",0.291702935,0.133581337
"17197","Will",17,197,"Illinois",0.316913578,0.115970198
"17127","Massac",17,127,"Illinois",0,0
"17027","Clinton",17,27,"Illinois",0.266610828,0
"17093","Kendall",17,93,"Illinois",0.249086387,0.404704475
"17165","Saline",17,165,"Illinois",0,0
"17013","Calhoun",17,13,"Illinois",0.734116421,0.896570645
"17107","Logan",17,107,"Illinois",0.235610318,0
"17183","Vermilion",17,183,"Illinois",0.360436456,0.292632667
"17051","Fayette",17,51,"Illinois",0.036619673,0
"17083","Jersey",17,83,"Illinois",0.074951335,0.12174183
"17185","Wabash",17,185,"Illinois",0.106250227,0
"17099","La Salle",17,99,"Illinois",0,0
"17113","McLean",17,113,"Illinois",0.438571701,0
