"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"18109","Morgan",18,109,"Indiana",0.02507409,0.138698568
"18175","Washington",18,175,"Indiana",0.128576979,0.338505706
"18003","Allen",18,3,"Indiana",0.165583412,0
"18005","Bartholomew",18,5,"Indiana",0,0.272933866
"18095","Madison",18,95,"Indiana",0.114083798,0.252951644
"18027","Daviess",18,27,"Indiana",0,0
"18183","Whitley",18,183,"Indiana",0.082671327,0.104316008
"18031","Decatur",18,31,"Indiana",0.294096019,0
"18009","Blackford",18,9,"Indiana",0.191821958,0
"18105","Monroe",18,105,"Indiana",0.479036442,0.337038886
"18139","Rush",18,139,"Indiana",0,0
"18081","Johnson",18,81,"Indiana",0.109371031,0.154765975
"18065","Henry",18,65,"Indiana",0.423022528,0
"18001","Adams",18,1,"Indiana",0.345896857,0
"18025","Crawford",18,25,"Indiana",0.444906438,0.316952936
"18157","Tippecanoe",18,157,"Indiana",0.377632446,0.243136959
"18023","Clinton",18,23,"Indiana",0.50287202,0.022662757
"18161","Union",18,161,"Indiana",0.967610952,0
"18151","Steuben",18,151,"Indiana",0,0
"18167","Vigo",18,167,"Indiana",0.280065303,0.335037717
"18017","Cass",18,17,"Indiana",0.195007417,0
"18169","Wabash",18,169,"Indiana",0.03897907,0.10739522
"18107","Montgomery",18,107,"Indiana",0,0
"18141","St. Joseph",18,141,"Indiana",0.190619264,0
"18041","Fayette",18,41,"Indiana",0.302946557,0
"18083","Knox",18,83,"Indiana",0.349571081,0.129282405
"18053","Grant",18,53,"Indiana",0.286919322,0.390696238
"18099","Marshall",18,99,"Indiana",0.401827514,0
"18163","Vanderburgh",18,163,"Indiana",0.278647423,0.154652215
"18165","Vermillion",18,165,"Indiana",0,0
"18093","Lawrence",18,93,"Indiana",0.014745759,0.360390595
"18059","Hancock",18,59,"Indiana",0,0.375975597
"18121","Parke",18,121,"Indiana",0,0
"18137","Ripley",18,137,"Indiana",0.36942072,0.23157481
"18057","Hamilton",18,57,"Indiana",0.17864383,0.263026859
"18181","White",18,181,"Indiana",0,0.743532933
"18089","Lake",18,89,"Indiana",0.274754379,0.032876792
"18035","Delaware",18,35,"Indiana",0.507726181,0.102215276
"18069","Huntington",18,69,"Indiana",0.37394207,0.144993169
"18131","Pulaski",18,131,"Indiana",0,0.0733751929999999
"18159","Tipton",18,159,"Indiana",0,0
"18087","LaGrange",18,87,"Indiana",0,0
"18143","Scott",18,143,"Indiana",0.291455839,0.422098158
"18039","Elkhart",18,39,"Indiana",0,0.158952135
"18173","Warrick",18,173,"Indiana",0.358895745,0
"18067","Howard",18,67,"Indiana",0.043778665,0.108728097
"18147","Spencer",18,147,"Indiana",0.545446041,0.428062674
"18177","Wayne",18,177,"Indiana",0.236976397,0
"18021","Clay",18,21,"Indiana",0.471752719,0.071746191
"18013","Brown",18,13,"Indiana",0.309157377,0.069763337
"18119","Owen",18,119,"Indiana",0.565978688,0
"18135","Randolph",18,135,"Indiana",0.160245976,0.433433763
"18007","Benton",18,7,"Indiana",0.505025682,0.365604728
"18075","Jay",18,75,"Indiana",0,0.311071422
"18043","Floyd",18,43,"Indiana",0.202687888,0
"18033","DeKalb",18,33,"Indiana",0.335750788,0
"18037","Dubois",18,37,"Indiana",0.00270443200000003,0.358311145
"18155","Switzerland",18,155,"Indiana",0,0.117369839
"18153","Sullivan",18,153,"Indiana",0.076856966,0.204735447
"18051","Gibson",18,51,"Indiana",0.072062804,0
"18073","Jasper",18,73,"Indiana",0.542851451,0.11809612
"18103","Miami",18,103,"Indiana",0.315605539,0.302185292
"18171","Warren",18,171,"Indiana",0.758189166,0
"18123","Perry",18,123,"Indiana",0,0
"18029","Dearborn",18,29,"Indiana",0,0
"18101","Martin",18,101,"Indiana",0,0.735164288
"18115","Ohio",18,115,"Indiana",0,0.898588923
"18077","Jefferson",18,77,"Indiana",0.139773864,0
"18113","Noble",18,113,"Indiana",0,0.121250078
"18061","Harrison",18,61,"Indiana",0.211744836,0.344983564
"18015","Carroll",18,15,"Indiana",0,0.115014841
"18179","Wells",18,179,"Indiana",0.167602471,0
"18117","Orange",18,117,"Indiana",0.432973236,0.377421372
"18071","Jackson",18,71,"Indiana",0,0
"18063","Hendricks",18,63,"Indiana",0,0
"18079","Jennings",18,79,"Indiana",0.228336524,0
"18047","Franklin",18,47,"Indiana",0.524148801,0
"18019","Clark",18,19,"Indiana",0.056444013,0
"18127","Porter",18,127,"Indiana",0.323576327,0.223790463
"18129","Posey",18,129,"Indiana",0.066790596,0
"18011","Boone",18,11,"Indiana",0,0
"18125","Pike",18,125,"Indiana",0,0.270758553
"18111","Newton",18,111,"Indiana",0,0.307507957
"18145","Shelby",18,145,"Indiana",0.271412661,0
"18055","Greene",18,55,"Indiana",0,0.273535032
"18149","Starke",18,149,"Indiana",0.193626195,0.505839015
"18045","Fountain",18,45,"Indiana",0.336026564,0
"18091","LaPorte",18,91,"Indiana",0.384220194,0
"18085","Kosciusko",18,85,"Indiana",0,0.367828022
"18049","Fulton",18,49,"Indiana",0,0
"18097","Marion",18,97,"Indiana",0.210110265,0.323624666
"18133","Putnam",18,133,"Indiana",0.291510431,0.12329384
