"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"19047","Crawford",19,47,"Iowa",0,0
"19135","Monroe",19,135,"Iowa",0.095424365,0
"19021","Buena Vista",19,21,"Iowa",0,0
"19117","Lucas",19,117,"Iowa",0,0
"19131","Mitchell",19,131,"Iowa",0,0.748734566
"19123","Mahaska",19,123,"Iowa",0.181554833,0
"19081","Hancock",19,81,"Iowa",0.017703665,0.500130878
"19107","Keokuk",19,107,"Iowa",0.10920966,0.492468455
"19097","Jackson",19,97,"Iowa",0.042649845,0.291950221
"19095","Iowa (county)",19,95,"Iowa",0.104305242,0
"19023","Butler",19,23,"Iowa",0,0
"19189","Winnebago",19,189,"Iowa",0.121488061,0
"19143","Osceola",19,143,"Iowa",0.063428564,0.763571577
"19007","Appanoose",19,7,"Iowa",0,0
"19165","Shelby",19,165,"Iowa",0.195388271,0
"19175","Union",19,175,"Iowa",0,0.143367759
"19191","Winneshiek",19,191,"Iowa",0,0
"19067","Floyd",19,67,"Iowa",0.385725163,0
"19195","Worth",19,195,"Iowa",0,0.495247548
"19151","Pocahontas",19,151,"Iowa",0,0
"19079","Hamilton",19,79,"Iowa",0,0
"19125","Marion",19,125,"Iowa",0,0
"19161","Sac",19,161,"Iowa",0,0
"19153","Polk",19,153,"Iowa",0.268315418,0.103518892
"19197","Wright",19,197,"Iowa",0,0
"19139","Muscatine",19,139,"Iowa",0,0.124617525
"19015","Boone",19,15,"Iowa",0.544099356,0
"19037","Chickasaw",19,37,"Iowa",0.417933823,0
"19173","Taylor",19,173,"Iowa",0.720215457,0.639387469
"19157","Poweshiek",19,157,"Iowa",0,0
"19013","Black Hawk",19,13,"Iowa",0.054881747,0.12716437
"19051","Davis",19,51,"Iowa",0,0
"19031","Cedar",19,31,"Iowa",0.33279021,0.800876308
"19167","Sioux",19,167,"Iowa",0.057895426,0
"19187","Webster",19,187,"Iowa",0.291857407,0.068134602
"19087","Henry",19,87,"Iowa",0.383447046,0
"19083","Hardin",19,83,"Iowa",0.008211423,0.709592497
"19137","Montgomery",19,137,"Iowa",0,0
"19035","Cherokee",19,35,"Iowa",0,0
"19109","Kossuth",19,109,"Iowa",0,0.17788562
"19171","Tama",19,171,"Iowa",0,0
"19003","Adams",19,3,"Iowa",0,0.659519628
"19089","Howard",19,89,"Iowa",0,0.259679431
"19073","Greene",19,73,"Iowa",0,0.069499463
"19179","Wapello",19,179,"Iowa",0.039898157,0
"19027","Carroll",19,27,"Iowa",0,0.691587924
"19147","Palo Alto",19,147,"Iowa",0.018974549,0
"19055","Delaware",19,55,"Iowa",0.138343323,0
"19001","Adair",19,1,"Iowa",0,0.010333197
"19049","Dallas",19,49,"Iowa",0.17932468,0
"19159","Ringgold",19,159,"Iowa",0.730326771,0
"19183","Washington",19,183,"Iowa",0.322991481,0
"19057","Des Moines",19,57,"Iowa",0.049917437,0.154693069
"19093","Ida",19,93,"Iowa",0,0
"19141","O'Brien",19,141,"Iowa",0,0
"19009","Audubon",19,9,"Iowa",0,0
"19011","Benton",19,11,"Iowa",0.266055103,0
"19085","Harrison",19,85,"Iowa",0.094058167,0
"19091","Humboldt",19,91,"Iowa",0,0
"19177","Van Buren",19,177,"Iowa",0,0
"19193","Woodbury",19,193,"Iowa",0.182419765,0
"19045","Clinton",19,45,"Iowa",0,0
"19155","Pottawattamie",19,155,"Iowa",0.409481577,0.243111843
"19041","Clay",19,41,"Iowa",0.301204657,0
"19033","Cerro Gordo",19,33,"Iowa",0.215768925,0
"19113","Linn",19,113,"Iowa",0.254556944,0
"19185","Wayne",19,185,"Iowa",0.192351609,0
"19017","Bremer",19,17,"Iowa",0.375231896,0
"19101","Jefferson",19,101,"Iowa",0.410960549,0.176100291
"19105","Jones",19,105,"Iowa",0,0.542975211
"19111","Lee",19,111,"Iowa",0.562234432,0
"19103","Johnson",19,103,"Iowa",0.311002471,0.31418943
"19145","Page",19,145,"Iowa",0,0
"19133","Monona",19,133,"Iowa",0.535779171,0
"19121","Madison",19,121,"Iowa",0,0
"19019","Buchanan",19,19,"Iowa",0,0
"19169","Story",19,169,"Iowa",0,0
"19115","Louisa",19,115,"Iowa",0,0
"19129","Mills",19,129,"Iowa",0.361297086,0.248485052
"19025","Calhoun",19,25,"Iowa",0,0
"19069","Franklin",19,69,"Iowa",0.447199498,0.62235672
"19099","Jasper",19,99,"Iowa",0,0.19734385
"19005","Allamakee",19,5,"Iowa",0,0
"19043","Clayton",19,43,"Iowa",0,0.292138779
"19149","Plymouth",19,149,"Iowa",0,0
"19077","Guthrie",19,77,"Iowa",0.327220678,0
"19071","Fremont",19,71,"Iowa",0,0
"19075","Grundy",19,75,"Iowa",0,0
"19181","Warren",19,181,"Iowa",0,0
"19119","Lyon",19,119,"Iowa",0,0
"19127","Marshall",19,127,"Iowa",0,0.20223209
"19059","Dickinson",19,59,"Iowa",0,0
"19063","Emmet",19,63,"Iowa",0,0
"19029","Cass",19,29,"Iowa",0,0
"19039","Clarke",19,39,"Iowa",0,0.446630809
"19163","Scott",19,163,"Iowa",0.346956929,0.340515349
"19053","Decatur",19,53,"Iowa",0.695325572,0
"19061","Dubuque",19,61,"Iowa",0,0
"19065","Fayette",19,65,"Iowa",0.369812756,0
