"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"20191","Sumner",20,191,"Kansas",0,0.183552419
"20075","Hamilton",20,75,"Kansas",0,0
"20117","Marshall",20,117,"Kansas",0,0
"20127","Morris",20,127,"Kansas",0.011980341,0
"20185","Stafford",20,185,"Kansas",0.147479248,0.198019054
"20079","Harvey",20,79,"Kansas",0,0.346397812
"20131","Nemaha",20,131,"Kansas",0.076691249,0
"20035","Cowley",20,35,"Kansas",0,0
"20053","Ellsworth",20,53,"Kansas",0.186232044,0
"20067","Grant",20,67,"Kansas",0,0
"20019","Chautauqua",20,19,"Kansas",0,0.10529785
"20083","Hodgman",20,83,"Kansas",0,0.669950919
"20129","Morton",20,129,"Kansas",0.803920742,0.080119452
"20139","Osage",20,139,"Kansas",0.658666616,0.325154802
"20059","Franklin",20,59,"Kansas",0.453006036,0.299506797
"20111","Lyon",20,111,"Kansas",0.194267895,0
"20029","Cloud",20,29,"Kansas",0,0
"20013","Brown",20,13,"Kansas",0.17306086,0.507659967
"20023","Cheyenne",20,23,"Kansas",0.338182949,0
"20091","Johnson",20,91,"Kansas",0,0
"20121","Miami",20,121,"Kansas",0.402875436,0.435199423
"20153","Rawlins",20,153,"Kansas",0,0
"20193","Thomas",20,193,"Kansas",0,0
"20005","Atchison",20,5,"Kansas",0,0.120164576
"20141","Osborne",20,141,"Kansas",0,0
"20085","Jackson",20,85,"Kansas",0,0
"20065","Graham",20,65,"Kansas",0,0.570006044
"20089","Jewell",20,89,"Kansas",0,0.474126632
"20123","Mitchell",20,123,"Kansas",0.566895832,0.252170791
"20143","Ottawa",20,143,"Kansas",0,0
"20179","Sheridan",20,179,"Kansas",0.511037876,0.813563605
"20081","Haskell",20,81,"Kansas",0,0.430223493
"20017","Chase",20,17,"Kansas",0,0
"20149","Pottawatomie",20,149,"Kansas",0,0
"20199","Wallace",20,199,"Kansas",0,0
"20001","Allen",20,1,"Kansas",0,0.01178755
"20031","Coffey",20,31,"Kansas",0,0
"20101","Lane",20,101,"Kansas",0,0
"20187","Stanton",20,187,"Kansas",0,0
"20033","Comanche",20,33,"Kansas",0.598546132,0
"20203","Wichita",20,203,"Kansas",0.604651169,0.102190071
"20157","Republic",20,157,"Kansas",0,0
"20147","Phillips",20,147,"Kansas",0,0
"20015","Butler",20,15,"Kansas",0.504412045,0
"20165","Rush",20,165,"Kansas",0,0
"20167","Russell",20,167,"Kansas",0.588039977,0
"20063","Gove",20,63,"Kansas",0,0.552270007
"20011","Bourbon",20,11,"Kansas",0.108125904,0
"20173","Sedgwick",20,173,"Kansas",0.457966629,0.240388695
"20195","Trego",20,195,"Kansas",0.780881312,0
"20077","Harper",20,77,"Kansas",0.207550635,0
"20159","Rice",20,159,"Kansas",0,0.365858552
"20105","Lincoln",20,105,"Kansas",0.517600579,0.249036492
"20039","Decatur",20,39,"Kansas",0,0.155657317
"20099","Labette",20,99,"Kansas",0,0
"20175","Seward",20,175,"Kansas",0,0.237674334
"20197","Wabaunsee",20,197,"Kansas",0,0.610438842
"20025","Clark",20,25,"Kansas",0.00305908600000004,0
"20189","Stevens",20,189,"Kansas",0.288293927,0
"20003","Anderson",20,3,"Kansas",0,0
"20045","Douglas",20,45,"Kansas",0.50930754,0.482794037
"20109","Logan",20,109,"Kansas",0.667239683,0.823346073
"20107","Linn",20,107,"Kansas",0.830770039,0.534147261
"20097","Kiowa",20,97,"Kansas",0.420779683,0.482983722
"20133","Neosho",20,133,"Kansas",0.120357274,0
"20155","Reno",20,155,"Kansas",0.305845629,0.083825715
"20209","Wyandotte",20,209,"Kansas",0.185999087,0
"20119","Meade",20,119,"Kansas",0.656848131,0
"20201","Washington",20,201,"Kansas",0,0.077002083
"20057","Ford",20,57,"Kansas",0,0
"20151","Pratt",20,151,"Kansas",0,0
"20145","Pawnee",20,145,"Kansas",0.718879874,0
"20047","Edwards",20,47,"Kansas",0.659643051,0.856194313
"20171","Scott",20,171,"Kansas",0,0.31941784
"20041","Dickinson",20,41,"Kansas",0,0
"20115","Marion",20,115,"Kansas",0,0.333955593
"20055","Finney",20,55,"Kansas",0.185984334,0.379732022
"20113","McPherson",20,113,"Kansas",0,0
"20183","Smith",20,183,"Kansas",0,0
"20135","Ness",20,135,"Kansas",0.212212162,0.577799926
"20043","Doniphan",20,43,"Kansas",0.420214166,0.096119547
"20163","Rooks",20,163,"Kansas",0,0.571635658
"20009","Barton",20,9,"Kansas",0.456285233,0.357373943
"20087","Jefferson",20,87,"Kansas",0,0
"20095","Kingman",20,95,"Kansas",0.437907264,0.523194289
"20161","Riley",20,161,"Kansas",0.464578464,0.332020903
"20027","Clay",20,27,"Kansas",0,0.169203884
"20177","Shawnee",20,177,"Kansas",0.110176719,0
"20061","Geary",20,61,"Kansas",0,0
"20205","Wilson",20,205,"Kansas",0.707318349,0.4050482
"20207","Woodson",20,207,"Kansas",0.816024332,0.830104983
"20051","Ellis",20,51,"Kansas",0,0
"20021","Cherokee",20,21,"Kansas",0.408820312,0
"20169","Saline",20,169,"Kansas",0,0.139906902
"20007","Barber",20,7,"Kansas",0.83374332,0.377931504
"20137","Norton",20,137,"Kansas",0,0
"20181","Sherman",20,181,"Kansas",0,0
"20071","Greeley",20,71,"Kansas",0.312447359,0
"20073","Greenwood",20,73,"Kansas",0.214604502,0.500289331
"20093","Kearny",20,93,"Kansas",0,0.858912372
"20103","Leavenworth",20,103,"Kansas",0.487646696,0.236964997
"20037","Crawford",20,37,"Kansas",0.499861414,0
"20069","Gray",20,69,"Kansas",0.080753485,0.050541138
"20049","Elk",20,49,"Kansas",0.524760666,0.564621882
"20125","Montgomery",20,125,"Kansas",0.151282353,0.224756938
