"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"21095","Harlan",21,95,"Kentucky",0.710750733,0.405920587
"21167","Mercer",21,167,"Kentucky",0,0
"21197","Powell",21,197,"Kentucky",0,0
"21023","Bracken",21,23,"Kentucky",0.046879631,0.438638221
"21057","Cumberland",21,57,"Kentucky",0.79854524,0.383206571
"21211","Shelby",21,211,"Kentucky",0.542652701,0.218658994
"21041","Carroll",21,41,"Kentucky",0,0
"21009","Barren",21,9,"Kentucky",0.262216677,0
"21083","Graves",21,83,"Kentucky",0.148551188,0.448699834
"21137","Lincoln",21,137,"Kentucky",0.234156359,0.443622798
"21181","Nicholas",21,181,"Kentucky",0,0
"21065","Estill",21,65,"Kentucky",0.537779609,0.578453604
"21029","Bullitt",21,29,"Kentucky",0.517993398,0.326085838
"21127","Lawrence",21,127,"Kentucky",0,0.101703511
"21165","Menifee",21,165,"Kentucky",0.372871078,0.423457965
"21173","Montgomery",21,173,"Kentucky",0.478086667,0.363425232
"21201","Robertson",21,201,"Kentucky",0.923177962,0
"21237","Wolfe",21,237,"Kentucky",0.765424553,0.820791625
"21007","Ballard",21,7,"Kentucky",0.070994451,0
"21079","Garrard",21,79,"Kentucky",0.550869031,0.329940103
"21071","Floyd",21,71,"Kentucky",0.458062234,0.144325977
"21101","Henderson",21,101,"Kentucky",0.477575999,0.39993417
"21141","Logan",21,141,"Kentucky",0,0.03777956
"21015","Boone",21,15,"Kentucky",0,0
"21003","Allen",21,3,"Kentucky",0,0
"21157","Marshall",21,157,"Kentucky",0,0
"21221","Trigg",21,221,"Kentucky",0.865535103,0.653508825
"21033","Caldwell",21,33,"Kentucky",0,0.083698488
"21133","Letcher",21,133,"Kentucky",0.382689614,0.223845422
"21109","Jackson",21,109,"Kentucky",0,0
"21233","Webster",21,233,"Kentucky",0.177338918,0.05931041
"21017","Bourbon",21,17,"Kentucky",0,0.559972167
"21077","Gallatin",21,77,"Kentucky",0.278010647,0
"21199","Pulaski",21,199,"Kentucky",0.368873638,0.047959784
"21191","Pendleton",21,191,"Kentucky",0,0.208115805
"21177","Muhlenberg",21,177,"Kentucky",0,0.209242161
"21097","Harrison",21,97,"Kentucky",0.080530944,0.198122259
"21235","Whitley",21,235,"Kentucky",0.447740327,0.0186225370000001
"21131","Leslie",21,131,"Kentucky",0,0.188348755
"21183","Ohio",21,183,"Kentucky",0,0.356797889
"21231","Wayne",21,231,"Kentucky",0.582669928,0.516017275
"21229","Washington",21,229,"Kentucky",0,0
"21099","Hart",21,99,"Kentucky",0.056307403,0
"21219","Todd",21,219,"Kentucky",0,0.486872249
"21115","Johnson",21,115,"Kentucky",0.424108398,0.325416168
"21239","Woodford",21,239,"Kentucky",0.661821317,0
"21105","Hickman",21,105,"Kentucky",0.654269519,0
"21087","Green",21,87,"Kentucky",0,0
"21075","Fulton",21,75,"Kentucky",0.260056189,0.238074169
"21051","Clay",21,51,"Kentucky",0,0.547364485
"21111","Jefferson",21,111,"Kentucky",0.385225225,0.196716759
"21217","Taylor",21,217,"Kentucky",0.349347037,0.433641594
"21169","Metcalfe",21,169,"Kentucky",0.551092621,0
"21061","Edmonson",21,61,"Kentucky",0,0
"21027","Breckinridge",21,27,"Kentucky",0.675012486,0.585465871
"21049","Clark",21,49,"Kentucky",0.443432268,0.600444874
"21103","Henry",21,103,"Kentucky",0.198267037,0.155250735
"21093","Hardin",21,93,"Kentucky",0.521665867,0.392325448
"21189","Owsley",21,189,"Kentucky",0.649513766,0.52912286
"21151","Madison",21,151,"Kentucky",0.493795274,0.228310492
"21067","Fayette",21,67,"Kentucky",0.635991685,0.14195898
"21045","Casey",21,45,"Kentucky",0.409876051,0
"21037","Campbell",21,37,"Kentucky",0.206620528,0
"21223","Trimble",21,223,"Kentucky",0.119750371,0.401741914
"21215","Spencer",21,215,"Kentucky",0,0.135535861
"21119","Knott",21,119,"Kentucky",0.623101471,0.467972507
"21117","Kenton",21,117,"Kentucky",0,0
"21035","Calloway",21,35,"Kentucky",0.475186384,0.623648403
"21055","Crittenden",21,55,"Kentucky",0,0.030238505
"21085","Grayson",21,85,"Kentucky",0,0.390731333
"21053","Clinton",21,53,"Kentucky",0.501396843,0.345657512
"21187","Owen",21,187,"Kentucky",0.616365935,0.429927147
"21143","Lyon",21,143,"Kentucky",0,0
"21063","Elliott",21,63,"Kentucky",0,0.547567365
"21025","Breathitt",21,25,"Kentucky",0.075453094,0.238876135
"21209","Scott",21,209,"Kentucky",0,0.432344763
"21195","Pike",21,195,"Kentucky",0.530653577,0.367767125
"21145","McCracken",21,145,"Kentucky",0.184230675,0.276576979
"21193","Perry",21,193,"Kentucky",0,0.137881338
"21021","Boyle",21,21,"Kentucky",0,0.214944856
"21163","Meade",21,163,"Kentucky",0,0.083492988
"21155","Marion",21,155,"Kentucky",0.391923414,0
"21171","Monroe",21,171,"Kentucky",0,0
"21107","Hopkins",21,107,"Kentucky",0.138286103,0.307558894
"21147","McCreary",21,147,"Kentucky",0,0.062630181
"21123","Larue",21,123,"Kentucky",0,0
"21059","Daviess",21,59,"Kentucky",0,0
"21113","Jessamine",21,113,"Kentucky",0,0.399584147
"21203","Rockcastle",21,203,"Kentucky",0.482092809,0.652993885
"21159","Martin",21,159,"Kentucky",0.404918237,0
"21175","Morgan",21,175,"Kentucky",0.022188247,0.046971312
"21213","Simpson",21,213,"Kentucky",0.13382318,0
"21225","Union",21,225,"Kentucky",0,0.439366552
"21011","Bath",21,11,"Kentucky",0,0.53474261
"21019","Boyd",21,19,"Kentucky",0.310751267,0.202663442
"21031","Butler",21,31,"Kentucky",0.230268709,0
"21043","Carter",21,43,"Kentucky",0,0.296894332
"21039","Carlisle",21,39,"Kentucky",0.462007668,0.677332132
"21227","Warren",21,227,"Kentucky",0.406066713,0.161685983
"21139","Livingston",21,139,"Kentucky",0.358350271,0
"21149","McLean",21,149,"Kentucky",0.435378471,0.0741714530000001
"21153","Magoffin",21,153,"Kentucky",0.097072862,0.475203746
"21179","Nelson",21,179,"Kentucky",0.334932995,0.372900774
"21185","Oldham",21,185,"Kentucky",0,0
"21013","Bell",21,13,"Kentucky",0.117944748,0.503996402
"21001","Adair",21,1,"Kentucky",0.532407548,0.292201578
"21069","Fleming",21,69,"Kentucky",0,0
"21205","Rowan",21,205,"Kentucky",0.662899052,0.471518362
"21005","Anderson",21,5,"Kentucky",0.622284454,0
"21207","Russell",21,207,"Kentucky",0.400915393,0.187512176
"21161","Mason",21,161,"Kentucky",0,0
"21047","Christian",21,47,"Kentucky",0.464794895,0.42142941
"21089","Greenup",21,89,"Kentucky",0.498008202,0
"21091","Hancock",21,91,"Kentucky",0.846972994,0.606082429
"21073","Franklin",21,73,"Kentucky",0.046800394,0.517779995
"21081","Grant",21,81,"Kentucky",0.346603976,0.467354756
"21125","Laurel",21,125,"Kentucky",0.736810169,0.359465738
"21121","Knox",21,121,"Kentucky",0.598630871,0.298218546
"21129","Lee",21,129,"Kentucky",0.475641149,0.352018702
"21135","Lewis",21,135,"Kentucky",0,0.065007943
