"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"22089","St. Charles",22,89,"Louisiana",0.467741935483871,0.488636363636364
"22111","Union",22,111,"Louisiana",0.581560283687943,0.669902912621359
"22125","West Feliciana",22,125,"Louisiana",0.147058823529412,0.0
"22081","Red River",22,81,"Louisiana",0.567901234567901,0.434782608695652
"22013","Bienville",22,13,"Louisiana",0.416666666666667,0.524590163934426
"22119","Webster",22,119,"Louisiana",0.454081632653061,0.605714285714286
"22093","St. James",22,93,"Louisiana",0.348484848484849,0.441176470588235
"22019","Calcasieu",22,19,"Louisiana",0.19047619047619,0.0
"22031","De Soto",22,31,"Louisiana",0.0547945205479452,0.0
"22091","St. Helena",22,91,"Louisiana",0.577464788732394,0.454545454545455
"22061","Lincoln",22,61,"Louisiana",0.315789473684211,0.538461538461538
"22105","Tangipahoa",22,105,"Louisiana",0.333333333333333,0.398843930635838
"22021","Caldwell",22,21,"Louisiana",0.0,0.459459459459459
"22083","Richland",22,83,"Louisiana",0.22972972972973,0.371428571428571
"22049","Jackson",22,49,"Louisiana",0.557692307692308,0.666666666666667
"22067","Morehouse",22,67,"Louisiana",0.502183406113537,0.560606060606061
"22101","St. Mary",22,101,"Louisiana",0.309210526315789,0.352601156069364
"22123","West Carroll",22,123,"Louisiana",0.333333333333333,0.315789473684211
"22017","Caddo",22,17,"Louisiana",0.381193124368049,0.41471048513302
"22033","East Baton Rouge",22,33,"Louisiana",0.358823529411765,0.485626283367556
"22073","Ouachita",22,73,"Louisiana",0.161702127659574,0.226993865030675
"22003","Allen",22,3,"Louisiana",0.519083969465649,0.543478260869565
"22045","Iberia",22,45,"Louisiana",0.478260869565217,0.599137931034483
"22099","St. Martin",22,99,"Louisiana",0.523364485981308,0.542635658914729
"22001","Acadia",22,1,"Louisiana",0.493421052631579,0.633858267716535
"22079","Rapides",22,79,"Louisiana",0.420289855072464,0.469565217391304
"22053","Jefferson Davis",22,53,"Louisiana",0.0,0.318181818181818
"22009","Avoyelles",22,9,"Louisiana",0.422077922077922,0.385245901639344
"22047","Iberville",22,47,"Louisiana",0.542483660130719,0.526315789473684
"22095","St. John the Baptist",22,95,"Louisiana",0.0648148148148148,0.3
"22041","Franklin",22,41,"Louisiana",0.0,0.180555555555556
"22051","Jefferson",22,51,"Louisiana",0.2841796875,0.498595505617977
"22103","St. Tammany",22,103,"Louisiana",0.305019305019305,0.448484848484848
"22069","Natchitoches",22,69,"Louisiana",0.321428571428571,0.554744525547445
"22113","Vermilion",22,113,"Louisiana",0.575268817204301,0.594339622641509
"22059","La Salle",22,59,"Louisiana",0.227272727272727,0.470588235294118
"22055","Lafayette",22,55,"Louisiana",0.637931034482759,0.708838821490468
"22109","Terrebonne",22,109,"Louisiana",0.368852459016393,0.511695906432749
"22039","Evangeline",22,39,"Louisiana",0.41726618705036,0.304347826086957
"22063","Livingston",22,63,"Louisiana",0.372693726937269,0.378571428571429
"22115","Vernon",22,115,"Louisiana",0.404411764705882,0.129411764705882
"22015","Bossier",22,15,"Louisiana",0.136,0.494545454545455
"22037","East Feliciana",22,37,"Louisiana",0.0,0.025
"22025","Catahoula",22,25,"Louisiana",0.389830508474576,0.375
"22027","Claiborne",22,27,"Louisiana",0.126050420168067,0.15
"22029","Concordia",22,29,"Louisiana",0.3125,0.482142857142857
"22085","Sabine",22,85,"Louisiana",0.592857142857143,0.520361990950226
"22065","Madison",22,65,"Louisiana",0.0857142857142857,0.0
"22035","East Carroll",22,35,"Louisiana",0.0714285714285714,0.535714285714286
"22071","Orleans",22,71,"Louisiana",0.446444644464446,0.701840490797546
"22075","Plaquemines",22,75,"Louisiana",0.555555555555556,0.275862068965517
"22077","Pointe Coupee",22,77,"Louisiana",0.404255319148936,0.761904761904762
"22023","Cameron",22,23,"Louisiana",0.476190476190476,0.755328939
"22107","Tensas",22,107,"Louisiana",0.765957446808511,0.809995833
"22097","St. Landry",22,97,"Louisiana",0.324503311258278,0.475206611570248
"22057","Lafourche",22,57,"Louisiana",0.295154185022026,0.519108280254777
"22043","Grant",22,43,"Louisiana",0.366197183098592,0.389830508474576
"22117","Washington",22,117,"Louisiana",0.273333333333333,0.414634146341463
"22011","Beauregard",22,11,"Louisiana",0.412844036697248,0.0
"22087","St. Bernard",22,87,"Louisiana",0.494736842105263,0.555555555555556
"22005","Ascension",22,5,"Louisiana",0.401709401709402,0.529880478087649
"22007","Assumption",22,7,"Louisiana",0.6,0.603960396039604
"22127","Winn",22,127,"Louisiana",0.573170731707317,0.321428571428571
"22121","West Baton Rouge",22,121,"Louisiana",0.366197183098592,0.297297297297297
