"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"23001","Androscoggin",23,1,"Maine",0,0.246544994
"23029","Washington",23,29,"Maine",0.970445837,0.572808416
"23023","Sagadahoc",23,23,"Maine",0,0.55683728
"23017","Oxford",23,17,"Maine",0,0.292033341
"23011","Kennebec",23,11,"Maine",0.174245681,0.413913174
"23013","Knox",23,13,"Maine",0,0
"23015","Lincoln",23,15,"Maine",0.898476196,0
"23019","Penobscot",23,19,"Maine",0.649012731,0.100365628
"23009","Hancock",23,9,"Maine",0.355202134,0.532494423
"23005","Cumberland",23,5,"Maine",0,0
"23007","Franklin",23,7,"Maine",0,0.151280261
"23003","Aroostook",23,3,"Maine",0.671754654,0.564970524
"23021","Piscataquis",23,21,"Maine",0,0.165450592
"23031","York",23,31,"Maine",0,0
"23027","Waldo",23,27,"Maine",0.368715651,0.644500232
"23025","Somerset",23,25,"Maine",0.488150477,0.519258138
