"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"24019","Dorchester",24,19,"Maryland",0,0.047660119
"24001","Allegany",24,1,"Maryland",0.36839842,0.100714326
"24013","Carroll",24,13,"Maryland",0,0.069970928
"24025","Harford",24,25,"Maryland",0.369881026,0.016505053
"24037","St. Mary's",24,37,"Maryland",0.35633219,0.435622006
"24017","Charles",24,17,"Maryland",0.341402235,0.312268416
"24005","Baltimore (county)",24,5,"Maryland",0.17048608,0
"24011","Caroline",24,11,"Maryland",0.73023833,0.242118825
"24033","Prince George's",24,33,"Maryland",0.2910024,0.096361097
"24039","Somerset",24,39,"Maryland",0.789787324,0.294652671
"24041","Talbot",24,41,"Maryland",0.985301198,0.313984412
"24015","Cecil",24,15,"Maryland",0.462534563,0.189373352
"24021","Frederick",24,21,"Maryland",0,0
"24023","Garrett",24,23,"Maryland",0.473905079,0
"24009","Calvert",24,9,"Maryland",0.470317165,0.361439714
"24035","Queen Anne's",24,35,"Maryland",0,0
"24003","Anne Arundel",24,3,"Maryland",0.00436562399999996,0
"24027","Howard",24,27,"Maryland",0.162949429,0
"24029","Kent",24,29,"Maryland",0.477773004,0.481359071
"24031","Montgomery",24,31,"Maryland",0.058283252,0
"24043","Washington",24,43,"Maryland",0.438176343,0.064695495
"24047","Worcester",24,47,"Maryland",0.180618766,0
"24510","Baltimore (city)",24,510,"Maryland",0.499410908,0.395096523
"24045","Wicomico",24,45,"Maryland",0.518256496,0.214051288
