"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"27039","Dodge",27,39,"Minnesota",0.0,0.0
"27099","Mower",27,99,"Minnesota",0.0,0.0857142857142857
"27127","Redwood",27,127,"Minnesota",0.0,0.0
"27161","Waseca",27,161,"Minnesota",0.0,0.0
"27103","Nicollet",27,103,"Minnesota",0.0,0.604651162790698
"27117","Pipestone",27,117,"Minnesota",0.0,0.0
"27083","Lyon",27,83,"Minnesota",0.024390243902439,0.0
"27019","Carver",27,19,"Minnesota",0.196078431372549,0.289340101522843
"27121","Pope",27,121,"Minnesota",0.0,0.083776041
"27047","Freeborn",27,47,"Minnesota",0.0833333333333334,0.0
"27013","Blue Earth",27,13,"Minnesota",0.0,0.317460317460317
"27081","Lincoln",27,81,"Minnesota",0.0,0.69288723
"27091","Martin",27,91,"Minnesota",0.0,0.193548387096774
"27107","Norman",27,107,"Minnesota",0.0,0.0
"27089","Marshall",27,89,"Minnesota",0.0,0.0769230769230769
"27059","Isanti",27,59,"Minnesota",0.0,0.328947368421053
"27149","Stevens",27,149,"Minnesota",0.0,0.0
"27109","Olmsted",27,109,"Minnesota",0.237113402061856,0.564885496183206
"27171","Wright",27,171,"Minnesota",0.0,0.148351648351648
"27145","Stearns",27,145,"Minnesota",0.286713286713287,0.392694063926941
"27017","Carlton",27,17,"Minnesota",0.0,0.48
"27057","Hubbard",27,57,"Minnesota",0.0,0.0909090909090909
"27169","Winona",27,169,"Minnesota",0.0,0.0
"27023","Chippewa",27,23,"Minnesota",0.0,0.0434782608695652
"27025","Chisago",27,25,"Minnesota",0.0,0.144736842105263
"27153","Todd",27,153,"Minnesota",0.0,0.210526315789474
"27131","Rice",27,131,"Minnesota",0.141414141414141,0.176470588235294
"27035","Crow Wing",27,35,"Minnesota",0.0,0.202247191011236
"27155","Traverse",27,155,"Minnesota",0.0,0.0
"27123","Ramsey",27,123,"Minnesota",0.0889453621346887,0.410104011887073
"27041","Douglas",27,41,"Minnesota",0.0,0.0
"27143","Sibley",27,143,"Minnesota",0.0,0.285714285714286
"27065","Kanabec",27,65,"Minnesota",0.60377358490566,0.125
"27085","McLeod",27,85,"Minnesota",0.328571428571429,0.402597402597403
"27087","Mahnomen",27,87,"Minnesota",0.78037331,0.666666666666667
"27105","Nobles",27,105,"Minnesota",0.0,0.0
"27063","Jackson",27,63,"Minnesota",0.0,0.0
"27027","Clay",27,27,"Minnesota",0.0,0.355932203389831
"27007","Beltrami",27,7,"Minnesota",0.610619469026549,0.479338842975207
"27159","Wadena",27,159,"Minnesota",0.0,0.0
"27093","Meeker",27,93,"Minnesota",0.0,0.0
"27151","Swift",27,151,"Minnesota",0.0,0.0
"27101","Murray",27,101,"Minnesota",0.0,0.895555782
"27001","Aitkin",27,1,"Minnesota",0.2,0.0
"27053","Hennepin",27,53,"Minnesota",0.0,0.289325842696629
"27135","Roseau",27,135,"Minnesota",0.540540540540541,0.0
"27051","Grant",27,51,"Minnesota",0.574407023,0.768444398
"27115","Pine",27,115,"Minnesota",0.574074074074074,0.580357142857143
"27137","St. Louis",27,137,"Minnesota",0.227405247813411,0.193415637860082
"27029","Clearwater",27,29,"Minnesota",0.0,0.392857142857143
"27005","Becker",27,5,"Minnesota",0.238095238095238,0.0
"27079","Le Sueur",27,79,"Minnesota",0.0,0.307692307692308
"27133","Rock",27,133,"Minnesota",0.142857142857143,0.0
"27165","Watonwan",27,165,"Minnesota",0.56,0.0
"27049","Goodhue",27,49,"Minnesota",0.0909090909090909,0.26
"27037","Dakota",27,37,"Minnesota",0.303308823529412,0.254437869822485
"27071","Koochiching",27,71,"Minnesota",0.214285714285714,0.361111111111111
"27009","Benton",27,9,"Minnesota",0.0,0.0
"27077","Lake of the Woods",27,77,"Minnesota",0.038571904,0.0
"27055","Houston",27,55,"Minnesota",0.1875,0.0
"27113","Pennington",27,113,"Minnesota",0.0,0.0
"27111","Otter Tail",27,111,"Minnesota",0.255555555555556,0.131313131313131
"27033","Cottonwood",27,33,"Minnesota",0.269230769230769,0.3
"27139","Scott",27,139,"Minnesota",0.257918552036199,0.211726384364821
"27119","Polk",27,119,"Minnesota",0.0,0.0
"27097","Morrison",27,97,"Minnesota",0.0,0.490445859872611
"27073","Lac Qui Parle",27,73,"Minnesota",0.428571428571429,0.874770339
"27167","Wilkin",27,167,"Minnesota",0.0,0.225806451612903
"27095","Mille Lacs",27,95,"Minnesota",0.0980392156862745,0.196969696969697
"27173","Yellow Medicine",27,173,"Minnesota",0.0,0.0
"27157","Wabasha",27,157,"Minnesota",0.779005379,0.0
"27011","Big Stone",27,11,"Minnesota",0.0,0.0
"27003","Anoka",27,3,"Minnesota",0.226069246435845,0.286919831223629
"27021","Cass",27,21,"Minnesota",0.0,0.417721518987342
"27069","Kittson",27,69,"Minnesota",0.382352941176471,0.0
"27075","Lake",27,75,"Minnesota",0.0,0.702737052
"27067","Kandiyohi",27,67,"Minnesota",0.0,0.0
"27043","Faribault",27,43,"Minnesota",0.0,0.0
"27129","Renville",27,129,"Minnesota",0.0,0.368421052631579
"27031","Cook",27,31,"Minnesota",0.739495605,0.0
"27147","Steele",27,147,"Minnesota",0.615384615384615,0.316666666666667
"27163","Washington",27,163,"Minnesota",0.151736745886655,0.268722466960352
"27125","Red Lake",27,125,"Minnesota",1.0,0.125697054
"27061","Itasca",27,61,"Minnesota",0.0,0.490683229813665
"27015","Brown",27,15,"Minnesota",0.0,0.0540540540540541
"27141","Sherburne",27,141,"Minnesota",0.492307692307692,0.259541984732824
"27045","Fillmore",27,45,"Minnesota",0.0,0.0
