"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"28153","Wayne",28,153,"Mississippi",0.277777777777778,0.518072289156627
"28017","Chickasaw",28,17,"Mississippi",0.0980392156862745,0.426229508196721
"28009","Benton",28,9,"Mississippi",0.454545454545455,0.351351351351351
"28139","Tippah",28,139,"Mississippi",0.205128205128205,0.132075471698113
"28019","Choctaw",28,19,"Mississippi",0.285714285714286,0.0
"28003","Alcorn",28,3,"Mississippi",0.48695652173913,0.0424242424242425
"28137","Tate",28,137,"Mississippi",0.507042253521127,0.360824742268041
"28091","Marion",28,91,"Mississippi",0.464788732394366,0.391891891891892
"28151","Washington",28,151,"Mississippi",0.531645569620253,0.612244897959184
"28117","Prentiss",28,117,"Mississippi",0.337209302325581,0.25
"28155","Webster",28,155,"Mississippi",0.428571428571429,0.558823529411765
"28121","Rankin",28,121,"Mississippi",0.551502145922747,0.398753894080997
"28097","Montgomery",28,97,"Mississippi",0.402777777777778,0.0277777777777778
"28115","Pontotoc",28,115,"Mississippi",0.625766871165644,0.523809523809524
"28161","Yalobusha",28,161,"Mississippi",0.490566037735849,0.0
"28157","Wilkinson",28,157,"Mississippi",0.163636363636364,0.0
"28005","Amite",28,5,"Mississippi",0.0,0.318181818181818
"28013","Calhoun",28,13,"Mississippi",0.634146341463415,0.388888888888889
"28035","Forrest",28,35,"Mississippi",0.0,0.353711790393013
"28101","Newton",28,101,"Mississippi",0.276923076923077,0.229508196721312
"28111","Perry",28,111,"Mississippi",0.605633802816901,0.480769230769231
"28099","Neshoba",28,99,"Mississippi",0.242268041237113,0.0
"28071","Lafayette",28,71,"Mississippi",0.159574468085106,0.535714285714286
"28131","Stone",28,131,"Mississippi",0.676923076923077,0.258064516129032
"28119","Quitman",28,119,"Mississippi",0.701298701298701,0.781818181818182
"28063","Jefferson",28,63,"Mississippi",0.390243902439024,0.0
"28057","Itawamba",28,57,"Mississippi",0.0869565217391305,0.0
"28029","Copiah",28,29,"Mississippi",0.530973451327434,0.0265486725663717
"28145","Union",28,145,"Mississippi",0.0,0.446153846153846
"28159","Winston",28,159,"Mississippi",0.191011235955056,0.490566037735849
"28069","Kemper",28,69,"Mississippi",0.214285714285714,0.153846153846154
"28081","Lee",28,81,"Mississippi",0.369230769230769,0.388646288209607
"28087","Lowndes",28,87,"Mississippi",0.388059701492537,0.0
"28079","Leake",28,79,"Mississippi",0.228426395939086,0.541666666666667
"28103","Noxubee",28,103,"Mississippi",0.481481481481482,0.0
"28031","Covington",28,31,"Mississippi",0.267441860465116,0.390243902439024
"28073","Lamar",28,73,"Mississippi",0.336283185840708,0.148936170212766
"28127","Simpson",28,127,"Mississippi",0.369747899159664,0.282608695652174
"28065","Jefferson Davis",28,65,"Mississippi",0.0,0.290322580645161
"28059","Jackson",28,59,"Mississippi",0.302083333333333,0.464435146443515
"28107","Panola",28,107,"Mississippi",0.121212121212121,0.377358490566038
"28163","Yazoo",28,163,"Mississippi",0.405063291139241,0.448275862068966
"28047","Harrison",28,47,"Mississippi",0.425882352941176,0.44973544973545
"28149","Warren",28,149,"Mississippi",0.364130434782609,0.333333333333333
"28125","Sharkey",28,125,"Mississippi",0.634146341463415,0.684980375
"28135","Tallahatchie",28,135,"Mississippi",0.415384615384615,0.5625
"28025","Clay",28,25,"Mississippi",0.314285714285714,0.372881355932203
"28093","Marshall",28,93,"Mississippi",0.506944444444444,0.595628415300546
"28043","Grenada",28,43,"Mississippi",0.285714285714286,0.0
"28077","Lawrence",28,77,"Mississippi",0.583333333333333,0.333333333333333
"28133","Sunflower",28,133,"Mississippi",0.414814814814815,0.490909090909091
"28051","Holmes",28,51,"Mississippi",0.371428571428571,0.560975609756098
"28095","Monroe",28,95,"Mississippi",0.322368421052632,0.365671641791045
"28015","Carroll",28,15,"Mississippi",0.527272727272727,0.297297297297297
"28061","Jasper",28,61,"Mississippi",0.458333333333333,0.74468085106383
"28041","Greene",28,41,"Mississippi",0.0,0.0
"28075","Lauderdale",28,75,"Mississippi",0.471204188481675,0.424593967517401
"28123","Scott",28,123,"Mississippi",0.0144927536231884,0.541666666666667
"28129","Smith",28,129,"Mississippi",0.325581395348837,0.36734693877551
"28147","Walthall",28,147,"Mississippi",0.215686274509804,0.467741935483871
"28055","Issaquena",28,55,"Mississippi",0.0,0.0
"28141","Tishomingo",28,141,"Mississippi",0.256756756756757,0.639344262295082
"28109","Pearl River",28,109,"Mississippi",0.16875,0.382775119617225
"28023","Clarke",28,23,"Mississippi",0.2625,0.0
"28045","Hancock",28,45,"Mississippi",0.447552447552448,0.409836065573771
"28037","Franklin",28,37,"Mississippi",0.393939393939394,0.688888888888889
"28049","Hinds",28,49,"Mississippi",0.581797235023041,0.521643433602348
"28007","Attala",28,7,"Mississippi",0.241935483870968,0.191489361702128
"28083","Leflore",28,83,"Mississippi",0.454545454545455,0.54320987654321
"28053","Humphreys",28,53,"Mississippi",0.340909090909091,0.685185185185185
"28143","Tunica",28,143,"Mississippi",0.307692307692308,0.529411764705882
"28001","Adams",28,1,"Mississippi",0.146067415730337,0.357894736842105
"28113","Pike",28,113,"Mississippi",0.188118811881188,0.365079365079365
"28011","Bolivar",28,11,"Mississippi",0.27741935483871,0.641666666666667
"28021","Claiborne",28,21,"Mississippi",0.228571428571429,0.0
"28033","De Soto",28,33,"Mississippi",0.394666666666667,0.483757682177349
"28067","Jones",28,67,"Mississippi",0.273775216138329,0.461864406779661
"28085","Lincoln",28,85,"Mississippi",0.263157894736842,0.357142857142857
"28039","George",28,39,"Mississippi",0.0,0.53125
"28027","Coahoma",28,27,"Mississippi",0.472972972972973,0.587939698492462
"28105","Oktibbeha",28,105,"Mississippi",0.225,0.352272727272727
"28089","Madison",28,89,"Mississippi",0.0,0.0
