"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"29039","Cedar",29,39,"Missouri",0.0,0.0
"29161","Phelps",29,161,"Missouri",0.357664233576642,0.0412371134020618
"29137","Monroe",29,137,"Missouri",0.0476190476190477,0.0
"29025","Caldwell",29,25,"Missouri",0.0,0.178571428571429
"29091","Howell",29,91,"Missouri",0.227272727272727,0.188976377952756
"29125","Maries",29,125,"Missouri",0.648648648648649,0.452380952380952
"29063","DeKalb",29,63,"Missouri",0.395348837209302,0.0
"29109","Lawrence",29,109,"Missouri",0.0,0.072463768115942
"29011","Barton",29,11,"Missouri",0.0,0.125
"29181","Ripley",29,181,"Missouri",0.661971830985915,0.518072289156627
"29031","Cape Girardeau",29,31,"Missouri",0.453781512605042,0.125
"29201","Scott",29,201,"Missouri",0.415254237288136,0.527131782945736
"29055","Crawford",29,55,"Missouri",0.365079365079365,0.4375
"29057","Dade",29,57,"Missouri",0.0,0.421052631578947
"29073","Gasconade",29,73,"Missouri",0.28,0.0
"29103","Knox",29,103,"Missouri",0.694115861,0.747284256
"29047","Clay",29,47,"Missouri",0.195965417867435,0.0
"29061","Daviess",29,61,"Missouri",0.0,0.0
"29209","Stone",29,209,"Missouri",0.024390243902439,0.148148148148148
"29219","Warren",29,219,"Missouri",0.483333333333333,0.536912751677852
"29115","Linn",29,115,"Missouri",0.272727272727273,0.0
"29129","Mercer",29,129,"Missouri",0.655172413793103,0.375569237
"29197","Schuyler",29,197,"Missouri",0.379310344827586,0.0
"29019","Boone",29,19,"Missouri",0.454545454545455,0.543859649122807
"29015","Benton",29,15,"Missouri",0.222222222222222,0.0576923076923077
"29013","Bates",29,13,"Missouri",0.0,0.2
"29067","Douglas",29,67,"Missouri",0.25,0.45
"29093","Iron",29,93,"Missouri",0.648648648648649,0.480769230769231
"29223","Wayne",29,223,"Missouri",0.616666666666667,0.7
"29179","Reynolds",29,179,"Missouri",0.239810339,0.5
"29185","St. Clair",29,185,"Missouri",0.0,0.416666666666667
"29169","Pulaski",29,169,"Missouri",0.333333333333333,0.473118279569892
"29111","Lewis",29,111,"Missouri",0.0,0.444444444444444
"29005","Atchison",29,5,"Missouri",0.702702702702703,0.828128717
"29121","Macon",29,121,"Missouri",0.76,0.0
"29205","Shelby",29,205,"Missouri",0.562587381,0.0
"29131","Miller",29,131,"Missouri",0.18,0.50561797752809
"29147","Nodaway",29,147,"Missouri",0.0,0.0
"29083","Henry",29,83,"Missouri",0.176470588235294,0.188679245283019
"29145","Newton",29,145,"Missouri",0.0,0.148648648648649
"29043","Christian",29,43,"Missouri",0.16793893129771,0.421052631578947
"29085","Hickory",29,85,"Missouri",0.38,0.741935483870968
"29175","Randolph",29,175,"Missouri",0.0588235294117647,0.117647058823529
"29215","Texas",29,215,"Missouri",0.80188679245283,0.525179856115108
"29149","Oregon",29,149,"Missouri",0.769230769230769,0.617021276595745
"29167","Polk",29,167,"Missouri",0.0535714285714286,0.157894736842105
"29227","Worth",29,227,"Missouri",0.0,0.0
"29221","Washington",29,221,"Missouri",0.43298969072165,0.44
"29153","Ozark",29,153,"Missouri",0.651515151515151,0.302325581395349
"29049","Clinton",29,49,"Missouri",0.0943396226415094,0.0
"29155","Pemiscot",29,155,"Missouri",0.548387096774194,0.585714285714286
"29101","Johnson",29,101,"Missouri",0.266666666666667,0.464
"29123","Madison",29,123,"Missouri",0.0,0.392156862745098
"29229","Wright",29,229,"Missouri",0.0,0.0
"29071","Franklin",29,71,"Missouri",0.257142857142857,0.340807174887892
"29117","Livingston",29,117,"Missouri",0.0,0.0
"29017","Bollinger",29,17,"Missouri",0.706896551724138,0.608695652173913
"29075","Gentry",29,75,"Missouri",0.558823529411765,0.896941993
"29151","Osage",29,151,"Missouri",0.0,0.0
"29001","Adair",29,1,"Missouri",0.0,0.4
"29003","Andrew",29,3,"Missouri",0.0,0.0
"29225","Webster",29,225,"Missouri",0.0491803278688525,0.407142857142857
"29033","Carroll",29,33,"Missouri",0.0,0.1875
"29053","Cooper",29,53,"Missouri",0.0,0.0
"29035","Carter",29,35,"Missouri",0.666666666666667,0.612903225806452
"29089","Howard",29,89,"Missouri",0.0,0.421052631578947
"29217","Vernon",29,217,"Missouri",0.292307692307692,0.483870967741935
"29087","Holt",29,87,"Missouri",0.40625,0.625
"29107","Lafayette",29,107,"Missouri",0.137931034482759,0.0909090909090909
"29186","Ste. Genevieve",29,186,"Missouri",0.0,0.452380952380952
"29069","Dunklin",29,69,"Missouri",0.423728813559322,0.509803921568627
"29141","Morgan",29,141,"Missouri",0.327272727272727,0.0
"29195","Saline",29,195,"Missouri",0.0,0.432835820895522
"29079","Grundy",29,79,"Missouri",0.0,0.0689655172413793
"29165","Platte",29,165,"Missouri",0.261194029850746,0.198412698412698
"29510","St. Louis (city)",29,510,"Missouri",0.461047254150702,0.345864661654135
"29029","Camden",29,29,"Missouri",0.483333333333333,0.588235294117647
"29177","Ray",29,177,"Missouri",0.493150684931507,0.313253012048193
"29045","Clark",29,45,"Missouri",0.181818181818182,0.392857142857143
"29007","Audrain",29,7,"Missouri",0.26865671641791,0.0
"29213","Taney",29,213,"Missouri",0.0326086956521739,0.41747572815534
"29113","Lincoln",29,113,"Missouri",0.0,0.0
"29207","Stoddard",29,207,"Missouri",0.0,0.0
"29105","Laclede",29,105,"Missouri",0.0,0.15625
"29119","McDonald",29,119,"Missouri",0.407407407407407,0.272727272727273
"29163","Pike",29,163,"Missouri",0.171428571428571,0.0
"29157","Perry",29,157,"Missouri",0.382978723404255,0.180747437
"29135","Moniteau",29,135,"Missouri",0.2,0.0
"29099","Jefferson",29,99,"Missouri",0.206395348837209,0.0872093023255814
"29127","Marion",29,127,"Missouri",0.0,0.0
"29037","Cass",29,37,"Missouri",0.181818181818182,0.240343347639485
"29065","Dent",29,65,"Missouri",0.538461538461538,0.416666666666667
"29203","Shannon",29,203,"Missouri",0.709090909090909,0.5
"29187","St. Francois",29,187,"Missouri",0.360824742268041,0.357303370786517
"29027","Callaway",29,27,"Missouri",0.585185185185185,0.0
"29009","Barry",29,9,"Missouri",0.329608938547486,0.258426966292135
"29173","Ralls",29,173,"Missouri",0.514285714285714,0.36
"29023","Butler",29,23,"Missouri",0.292134831460674,0.381578947368421
"29097","Jasper",29,97,"Missouri",0.173285198555957,0.273972602739726
"29041","Chariton",29,41,"Missouri",0.465116279069767,0.413300176
"29051","Cole",29,51,"Missouri",0.234972677595628,0.114035087719298
"29059","Dallas",29,59,"Missouri",0.67,0.5
"29171","Putnam",29,171,"Missouri",0.3125,0.738095238095238
"29077","Greene",29,77,"Missouri",0.0,0.235059760956175
"29095","Jackson",29,95,"Missouri",0.319826338639653,0.239009974141116
"29133","Mississippi",29,133,"Missouri",0.387755102040816,0.41304347826087
"29139","Montgomery",29,139,"Missouri",0.0,0.0
"29143","New Madrid",29,143,"Missouri",0.632478632478632,0.611111111111111
"29021","Buchanan",29,21,"Missouri",0.416666666666667,0.520408163265306
"29199","Scotland",29,199,"Missouri",0.1875,0.301579091
"29159","Pettis",29,159,"Missouri",0.40625,0.0
"29081","Harrison",29,81,"Missouri",0.0,0.0
"29189","St. Louis (county)",29,189,"Missouri",0.219065077910174,0.0
"29211","Sullivan",29,211,"Missouri",0.111111111111111,0.358015887
"29183","St. Charles",29,183,"Missouri",0.301120448179272,0.41254752851711
