"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"30055","McCone",30,55,"Montana",0,0.445388151
"30051","Liberty",30,51,"Montana",0.140161051,0
"30037","Golden Valley",30,37,"Montana",0,0.042973468
"30107","Wheatland",30,107,"Montana",0.805019099,0.569604855
"30109","Wibaux",30,109,"Montana",0.162335624,0.437596793
"30011","Carter",30,11,"Montana",0,0
"30091","Sheridan",30,91,"Montana",0,0.842659174
"30041","Hill",30,41,"Montana",0,0.142450004
"30065","Musselshell",30,65,"Montana",0.505717032,0.420049895
"30093","Silver Bow",30,93,"Montana",0,0.434993558
"30083","Richland",30,83,"Montana",0.078845034,0.491853372
"30005","Blaine",30,5,"Montana",0.209439714,0
"30021","Dawson",30,21,"Montana",0.462174911,0.509491409
"30031","Gallatin",30,31,"Montana",0,0
"30079","Prairie",30,79,"Montana",0.277221954,0
"30071","Phillips",30,71,"Montana",0,0
"30059","Meagher",30,59,"Montana",0,0
"30003","Big Horn",30,3,"Montana",0.0499404879999999,0
"30095","Stillwater",30,95,"Montana",0.721764953,0.585965274
"30017","Custer",30,17,"Montana",0,0
"30047","Lake",30,47,"Montana",0.504989786,0
"30023","Deer Lodge",30,23,"Montana",0.893656769,0
"30007","Broadwater",30,7,"Montana",0,0
"30035","Glacier",30,35,"Montana",0,0
"30057","Madison",30,57,"Montana",0.686351036,0
"30043","Jefferson",30,43,"Montana",0.853781166,0.728467582
"30105","Valley",30,105,"Montana",0,0
"30103","Treasure",30,103,"Montana",0,0
"30081","Ravalli",30,81,"Montana",0.456172566,0.266045252
"30015","Chouteau",30,15,"Montana",0.93077674,0.623418364
"30039","Granite",30,39,"Montana",0,0.326618634
"30001","Beaverhead",30,1,"Montana",0.797125585,0.392984411
"30045","Judith Basin",30,45,"Montana",0,0.580631396
"30013","Cascade",30,13,"Montana",0,0
"30027","Fergus",30,27,"Montana",0.229939685,0
"30077","Powell",30,77,"Montana",0.862876301,0
"30031","Gallatin",30,31,"Montana",0,0
"30031","Gallatin",30,31,"Montana",0,0
"30025","Fallon",30,25,"Montana",0,0
"30073","Pondera",30,73,"Montana",0.836720576,0
"30069","Petroleum",30,69,"Montana",0,0
"30075","Powder River",30,75,"Montana",0,0.586722977
"30111","Yellowstone",30,111,"Montana",0.157984532,0
"30053","Lincoln",30,53,"Montana",0.596760104,0.283244658
"30089","Sanders",30,89,"Montana",0.215090373,0.233795599
"30029","Flathead",30,29,"Montana",0.511125199,0.331069547
"30063","Missoula",30,63,"Montana",0.140959713,0.309085345
"30009","Carbon",30,9,"Montana",0.566548071,0
"30033","Garfield",30,33,"Montana",0,0
"30061","Mineral",30,61,"Montana",0.085273329,0.392502196
"30097","Sweet Grass",30,97,"Montana",0.746325628,0
"30049","Lewis and Clark",30,49,"Montana",0.076209157,0
"30101","Toole",30,101,"Montana",0.536568291,0.560855575
"30099","Teton",30,99,"Montana",0.795635957,0.412017398
"30019","Daniels",30,19,"Montana",0.296826542,0
"30085","Roosevelt",30,85,"Montana",0,0.489831184
"30087","Rosebud",30,87,"Montana",0.318141703,0.476274545
