"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"32011","Eureka",32,11,"Nevada",0.0,0.926197229
"32029","Storey",32,29,"Nevada",0.0,0.869558056
"32009","Esmeralda",32,9,"Nevada",0.0,0.0
"32033","White Pine",32,33,"Nevada",1.0,0.0
"32027","Pershing",32,27,"Nevada",0.0,0.411764705882353
"32003","Clark",32,3,"Nevada",0.228975853455454,0.21988648307757
"32017","Lincoln",32,17,"Nevada",0.759594142,0.938294683
"32005","Douglas",32,5,"Nevada",0.378947368421053,0.578125
"32021","Mineral",32,21,"Nevada",0.877300233,0.606060606060606
"32019","Lyon",32,19,"Nevada",0.423076923076923,0.365617433414044
"32001","Churchill",32,1,"Nevada",0.418367346938776,0.3
"32013","Humboldt",32,13,"Nevada",0.0,0.214285714285714
"32015","Lander",32,15,"Nevada",0.681524065,0.0714285714285714
"32510","Carson City (city)",32,510,"Nevada",0.043859649122807,0.0
"32023","Nye",32,23,"Nevada",0.0,0.0
"32031","Washoe",32,31,"Nevada",0.0,0.140677966101695
"32007","Elko",32,7,"Nevada",0.311688311688312,0.413105413105413
