"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"34013","Essex",34,13,"New Jersey",0.0541322314049587,0.0
"34001","Atlantic",34,1,"New Jersey",0.24025974025974,0.103448275862069
"34029","Ocean",34,29,"New Jersey",0.0,0.0
"34027","Morris",34,27,"New Jersey",0.0586510263929618,0.0
"34009","Cape May",34,9,"New Jersey",0.0,0.0
"34011","Cumberland",34,11,"New Jersey",0.215789473684211,0.14161220043573
"34021","Mercer",34,21,"New Jersey",0.0607805502239284,0.0943396226415094
"34015","Gloucester",34,15,"New Jersey",0.0741482965931863,0.0
"34039","Union",34,39,"New Jersey",0.111299435028249,0.0
"34007","Camden",34,7,"New Jersey",0.11849710982659,0.0
"34041","Warren",34,41,"New Jersey",0.0252525252525253,0.0
"34037","Sussex",34,37,"New Jersey",0.18380062305296,0.113207547169811
"34035","Somerset",34,35,"New Jersey",0.0,0.0
"34003","Bergen",34,3,"New Jersey",0.0,0.0
"34005","Burlington",34,5,"New Jersey",0.0,0.0
"34023","Middlesex",34,23,"New Jersey",0.0148760330578512,0.0
"34031","Passaic",34,31,"New Jersey",0.0741626794258373,0.0
"34017","Hudson",34,17,"New Jersey",0.113974231912785,0.0
"34033","Salem",34,33,"New Jersey",0.313131313131313,0.0319148936170213
"34025","Monmouth",34,25,"New Jersey",0.064638783269962,0.0
"34019","Hunterdon",34,19,"New Jersey",0.0,0.0
