"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"35059","Union",35,59,"New Mexico",0.683968935,0.182633869
"35045","San Juan",35,45,"New Mexico",0.242389849,0.375760287
"35037","Quay",35,37,"New Mexico",0.727129445,0.182953093
"35028","Los Alamos",35,28,"New Mexico",0,0
"35025","Lea",35,25,"New Mexico",0,0
"35007","Colfax",35,7,"New Mexico",0,0
"35013","Dona Ana",35,13,"New Mexico",0.446060802,0.449155835
"35019","Guadalupe",35,19,"New Mexico",0.642478488,0.503966815
"35029","Luna",35,29,"New Mexico",0.077165404,0.328081213
"35017","Grant",35,17,"New Mexico",0.680451825,0
"35057","Torrance",35,57,"New Mexico",0,0.240051255
"35003","Catron",35,3,"New Mexico",0,0.632215352
"35039","Rio Arriba",35,39,"New Mexico",0.370931721,0.546811902
"35053","Socorro",35,53,"New Mexico",0,0.304446614
"35041","Roosevelt",35,41,"New Mexico",0,0
"35043","Sandoval",35,43,"New Mexico",0.268125927,0.344606277
"35055","Taos",35,55,"New Mexico",0.304820461,0.533788146
"35011","De Baca",35,11,"New Mexico",0.128250657,0.552555374
"35023","Hidalgo",35,23,"New Mexico",0,0.016462379
"35033","Mora",35,33,"New Mexico",0,0
"35035","Otero",35,35,"New Mexico",0.54725627,0.345565291
"35015","Eddy",35,15,"New Mexico",0,0
"35009","Curry",35,9,"New Mexico",0,0.239549098
"35031","McKinley",35,31,"New Mexico",0.233001397,0.463738758
"35049","Santa Fe",35,49,"New Mexico",0.398686454,0.50346895
"35006","Cibola",35,6,"New Mexico",0.323126591,0.32578203
"35027","Lincoln",35,27,"New Mexico",0,0.393170833
"35021","Harding",35,21,"New Mexico",0,0.447769859
"35001","Bernalillo",35,1,"New Mexico",0.482349083,0.404432203
"35061","Valencia",35,61,"New Mexico",0.488454946,0.351909468
"35051","Sierra",35,51,"New Mexico",0.093094759,0
"35005","Chaves",35,5,"New Mexico",0.35939892,0.05850163
"35047","San Miguel",35,47,"New Mexico",0.535346714,0.520576783
