"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"36117","Wayne",36,117,"New York",0.184466019417476,0.183098591549296
"36087","Rockland",36,87,"New York",0.0,0.0
"36037","Genesee",36,37,"New York",0.0,0.0
"36061","New York (county)",36,61,"New York",0.205970867942699,0.221556886227545
"36113","Warren",36,113,"New York",0.202702702702703,0.302083333333333
"36057","Montgomery",36,57,"New York",0.288288288288288,0.0439560439560439
"36001","Albany",36,1,"New York",0.0,0.141463414634146
"36053","Madison",36,53,"New York",0.340277777777778,0.587837837837838
"36099","Seneca",36,99,"New York",0.0,0.0
"36017","Chenango",36,17,"New York",0.0,0.370786516853933
"36059","Nassau",36,59,"New York",0.0,0.0
"36021","Columbia",36,21,"New York",0.0,0.0
"36107","Tioga",36,107,"New York",0.306122448979592,0.330188679245283
"36009","Cattaraugus",36,9,"New York",0.179245283018868,0.447916666666667
"36003","Allegany",36,3,"New York",0.0,0.0
"36073","Orleans",36,73,"New York",0.146341463414634,0.363636363636364
"36013","Chautauqua",36,13,"New York",0.0,0.171232876712329
"36041","Hamilton",36,41,"New York",0.750370704,0.514156852
"36067","Onondaga",36,67,"New York",0.105196451204056,0.0074999999999999
"36035","Fulton",36,35,"New York",0.0412371134020618,0.429347826086957
"36063","Niagara",36,63,"New York",0.223282442748092,0.272506082725061
"36095","Schoharie",36,95,"New York",0.512820512820513,0.491525423728814
"36075","Oswego",36,75,"New York",0.0,0.523404255319149
"36005","Bronx",36,5,"New York",0.244379651653495,0.300429184549356
"36123","Yates",36,123,"New York",0.27027027027027,0.0
"36015","Chemung",36,15,"New York",0.0,0.0
"36083","Rensselaer",36,83,"New York",0.180790960451977,0.433628318584071
"36065","Oneida",36,65,"New York",0.018595041322314,0.0
"36051","Livingston",36,51,"New York",0.0,0.423076923076923
"36081","Queens",36,81,"New York",0.113181344751765,0.0
"36091","Saratoga",36,91,"New York",0.0,0.290441176470588
"36085","Richmond",36,85,"New York",0.0,0.0
"36031","Essex",36,31,"New York",0.75,0.285714285714286
"36069","Ontario",36,69,"New York",0.0,0.0
"36103","Suffolk",36,103,"New York",0.0,0.0
"36077","Otsego",36,77,"New York",0.442105263157895,0.417391304347826
"36105","Sullivan",36,105,"New York",0.254385964912281,0.11214953271028
"36121","Wyoming",36,121,"New York",0.271428571428571,0.0
"36109","Tompkins",36,109,"New York",0.0,0.0
"36019","Clinton",36,19,"New York",0.761061946902655,0.512396694214876
"36119","Westchester",36,119,"New York",0.0060950832994717,0.0
"36023","Cortland",36,23,"New York",0.337662337662338,0.445544554455445
"36101","Steuben",36,101,"New York",0.123209169054441,0.440816326530612
"36093","Schenectady",36,93,"New York",0.0526315789473685,0.15527950310559
"36079","Putnam",36,79,"New York",0.261780104712042,0.161290322580645
"36045","Jefferson",36,45,"New York",0.0,0.37719298245614
"36049","Lewis",36,49,"New York",0.0,0.0
"36027","Dutchess",36,27,"New York",0.213541666666667,0.325925925925926
"36011","Cayuga",36,11,"New York",0.446475195822454,0.455357142857143
"36039","Greene",36,39,"New York",0.046875,0.173913043478261
"36043","Herkimer",36,43,"New York",0.0086956521739129,0.137254901960784
"36025","Delaware",36,25,"New York",0.333333333333333,0.451923076923077
"36071","Orange",36,71,"New York",0.0,0.0
"36033","Franklin",36,33,"New York",0.25,0.598290598290598
"36007","Broome",36,7,"New York",0.0,0.0
"36115","Washington",36,115,"New York",0.508771929824561,0.384615384615385
"36097","Schuyler",36,97,"New York",0.44,0.680851063829787
"36029","Erie",36,29,"New York",0.0,0.0
"36047","Kings",36,47,"New York",0.134277181727685,0.0
"36111","Ulster",36,111,"New York",0.136767317939609,0.0
"36089","St. Lawrence",36,89,"New York",0.348837209302326,0.503731343283582
"36055","Monroe",36,55,"New York",0.0912762520193862,0.165418652144316
