"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"39125","Paulding",39,125,"Ohio",0,0
"39003","Allen",39,3,"Ohio",0.182344419,0
"39063","Hancock",39,63,"Ohio",0.074275992,0
"39007","Ashtabula",39,7,"Ohio",0,0.178279387
"39085","Lake",39,85,"Ohio",0.16283692,0.132973153
"39163","Vinton",39,163,"Ohio",0.623881314,0.404209298
"39127","Perry",39,127,"Ohio",0.413737901,0.392628942
"39135","Preble",39,135,"Ohio",0.043509813,0.261249098
"39065","Hardin",39,65,"Ohio",0.362716575,0.500700852
"39083","Knox",39,83,"Ohio",0.340079567,0.249271571
"39173","Wood",39,173,"Ohio",0.216354394,0
"39097","Madison",39,97,"Ohio",0,0.388352513
"39101","Marion",39,101,"Ohio",0,0.010851945
"39137","Putnam",39,137,"Ohio",0,0
"39143","Sandusky",39,143,"Ohio",0,0.197213316
"39153","Summit",39,153,"Ohio",0.176768729,0.128401948
"39155","Trumbull",39,155,"Ohio",0.166232322,0.194792031
"39169","Wayne",39,169,"Ohio",0,0.176436008
"39027","Clinton",39,27,"Ohio",0.490152185,0.147833684
"39055","Geauga",39,55,"Ohio",0.245130134,0.43279919
"39013","Belmont",39,13,"Ohio",0.295478109,0.241946934
"39041","Delaware",39,41,"Ohio",0.537355195,0.299248083
"39107","Mercer",39,107,"Ohio",0.263406769,0
"39005","Ashland",39,5,"Ohio",0.155972859,0.186736662
"39115","Morgan",39,115,"Ohio",0.595260115,0.582468072
"39165","Warren",39,165,"Ohio",0.24114439,0.111652665
"39069","Henry",39,69,"Ohio",0.173959225,0.21921256
"39037","Darke",39,37,"Ohio",0,0
"39067","Harrison",39,67,"Ohio",0.429262471,0.441114507
"39109","Miami",39,109,"Ohio",0,0
"39103","Medina",39,103,"Ohio",0.289264629,0.303256683
"39157","Tuscarawas",39,157,"Ohio",0.149419938,0
"39029","Columbiana",39,29,"Ohio",0.10758607,0.09830279
"39079","Jackson",39,79,"Ohio",0,0
"39121","Noble",39,121,"Ohio",0,0
"39133","Portage",39,133,"Ohio",0.254939085,0.31246393
"39023","Clark",39,23,"Ohio",0.228607401,0.217233065
"39073","Hocking",39,73,"Ohio",0.255185167,0.310599957
"39145","Scioto",39,145,"Ohio",0.69524559,0.424824064
"39081","Jefferson",39,81,"Ohio",0,0.253948942
"39019","Carroll",39,19,"Ohio",0.529274931,0
"39021","Champaign",39,21,"Ohio",0.564819195,0
"39053","Gallia",39,53,"Ohio",0.48675828,0
"39061","Hamilton",39,61,"Ohio",0.201885577,0
"39167","Washington",39,167,"Ohio",0,0.157469373
"39119","Muskingum",39,119,"Ohio",0.296096829,0
"39025","Clermont",39,25,"Ohio",0.44736007,0.334149369
"39147","Seneca",39,147,"Ohio",0.14284903,0.059279482
"39077","Huron",39,77,"Ohio",0.370679349,0
"39071","Highland",39,71,"Ohio",0.264247354,0.113062887
"39001","Adams",39,1,"Ohio",0.295617237,0.327646764
"39009","Athens",39,9,"Ohio",0.686377337,0.431461761
"39039","Defiance",39,39,"Ohio",0,0
"39035","Cuyahoga",39,35,"Ohio",0.206046132,0
"39161","Van Wert",39,161,"Ohio",0.085205721,0
"39047","Fayette",39,47,"Ohio",0,0
"39045","Fairfield",39,45,"Ohio",0.397327629,0.276981771
"39131","Pike",39,131,"Ohio",0.713333247,0.219466643
"39123","Ottawa",39,123,"Ohio",0.309078584,0.305553485
"39151","Stark",39,151,"Ohio",0.121093592,0.015300514
"39033","Crawford",39,33,"Ohio",0.227269297,0.214740244
"39087","Lawrence",39,87,"Ohio",0.474969612,0.424985386
"39049","Franklin",39,49,"Ohio",0.264468566,0.113243032
"39057","Greene",39,57,"Ohio",0.386829792,0.106171774
"39149","Shelby",39,149,"Ohio",0.561943285,0.092305228
"39093","Lorain",39,93,"Ohio",0.078626716,0.215809796
"39117","Morrow",39,117,"Ohio",0.42122663,0.266163784
"39139","Richland",39,139,"Ohio",0.140317225,0
"39141","Ross",39,141,"Ohio",0.491225195,0.332128915
"39051","Fulton",39,51,"Ohio",0.357691732,0
"39175","Wyandot",39,175,"Ohio",0.404655192,0
"39011","Auglaize",39,11,"Ohio",0.476318044,0.165261525
"39059","Guernsey",39,59,"Ohio",0.266006743,0.537177251
"39017","Butler",39,17,"Ohio",0.380941477,0
"39031","Coshocton",39,31,"Ohio",0.445258336,0.087062463
"39113","Montgomery",39,113,"Ohio",0.255411534,0
"39043","Erie",39,43,"Ohio",0.427291912,0.155523438
"39105","Meigs",39,105,"Ohio",0.547454484,0.344842834
"39111","Monroe",39,111,"Ohio",0,0.363866055
"39095","Lucas",39,95,"Ohio",0.361967231,0.109480466
"39129","Pickaway",39,129,"Ohio",0.149492278,0.050193886
"39015","Brown",39,15,"Ohio",0.660818284,0.032188005
"39171","Williams",39,171,"Ohio",0,0
"39075","Holmes",39,75,"Ohio",0.034856926,0
"39089","Licking",39,89,"Ohio",0,0.294189567
"39159","Union",39,159,"Ohio",0.255634894,0
"39099","Mahoning",39,99,"Ohio",0.339158196,0.094125998
"39091","Logan",39,91,"Ohio",0,0
