"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"41053","Polk",41,53,"Oregon",0.366638289,0
"41067","Washington",41,67,"Oregon",0.443379423,0.495387965
"41029","Jackson",41,29,"Oregon",0.572797518,0.229705578
"41049","Morrow",41,49,"Oregon",0.462145838,0.506441972
"41057","Tillamook",41,57,"Oregon",0.973529869,0.513573217
"41055","Sherman",41,55,"Oregon",0,0.205503284
"41011","Coos",41,11,"Oregon",0,0.476463198
"41035","Klamath",41,35,"Oregon",0.59301614,0.200342837
"41047","Marion",41,47,"Oregon",0.24476752,0.31853098
"41009","Columbia",41,9,"Oregon",0.517518872,0.564858419
"41015","Curry",41,15,"Oregon",0.914353439,0.650520373
"41025","Harney",41,25,"Oregon",0,0.04750599
"41063","Wallowa",41,63,"Oregon",0,0.879400592
"41071","Yamhill",41,71,"Oregon",0.343326055,0.563883297
"41065","Wasco",41,65,"Oregon",0,0.221892512
"41041","Lincoln",41,41,"Oregon",0.743535001,0.525250218
"41013","Crook",41,13,"Oregon",0,0
"41003","Benton",41,3,"Oregon",0,0.752115875
"41045","Malheur",41,45,"Oregon",0.281739845,0.259810332
"41059","Umatilla",41,59,"Oregon",0.486604612,0.338975189
"41031","Jefferson",41,31,"Oregon",0.791421192,0.636915703
"41017","Deschutes",41,17,"Oregon",0,0
"41037","Lake",41,37,"Oregon",0.674677348,0.569009109
"41001","Baker",41,1,"Oregon",0.948503597,0.293618372
"41019","Douglas",41,19,"Oregon",0.708256407,0.467856404
"41069","Wheeler",41,69,"Oregon",0,0.656164223
"41039","Lane",41,39,"Oregon",0.602452032,0.623521381
"41043","Linn",41,43,"Oregon",0.625663826,0.50474991
"41061","Union",41,61,"Oregon",0.124849958,0.370178293
"41005","Clackamas",41,5,"Oregon",0.420785933,0.073926532
"41033","Josephine",41,33,"Oregon",0.441345999,0.197756519
"41023","Grant",41,23,"Oregon",0.414579166,0.335305801
"41051","Multnomah",41,51,"Oregon",0.176332823,0.482889809
"41007","Clatsop",41,7,"Oregon",0,0.73536924
"41021","Gilliam",41,21,"Oregon",0,0.687490349
"41027","Hood River",41,27,"Oregon",0,0
