"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"42011","Berks",42,11,"Pennsylvania",0.0,0.0
"42067","Juniata",42,67,"Pennsylvania",0.30188679245283,0.238938053097345
"42061","Huntingdon",42,61,"Pennsylvania",0.126637554585153,0.24812030075188
"42007","Beaver",42,7,"Pennsylvania",0.0,0.0
"42117","Tioga",42,117,"Pennsylvania",0.0,0.22962962962963
"42057","Fulton",42,57,"Pennsylvania",0.0,0.151515151515151
"42085","Mercer",42,85,"Pennsylvania",0.0543933054393305,0.219430485762144
"42019","Butler",42,19,"Pennsylvania",0.0,0.0
"42123","Warren",42,123,"Pennsylvania",0.495652173913044,0.43859649122807
"42113","Sullivan",42,113,"Pennsylvania",0.694117647058824,0.318181818181818
"42075","Lebanon",42,75,"Pennsylvania",0.229299363057325,0.110655737704918
"42125","Washington",42,125,"Pennsylvania",0.0,0.0
"42027","Centre",42,27,"Pennsylvania",0.380327868852459,0.426605504587156
"42031","Clarion",42,31,"Pennsylvania",0.467105263157895,0.436314363143631
"42039","Crawford",42,39,"Pennsylvania",0.0,0.389513108614232
"42053","Forest",42,53,"Pennsylvania",0.208333333333333,0.2
"42079","Luzerne",42,79,"Pennsylvania",0.0,0.0
"42093","Montour",42,93,"Pennsylvania",0.0,0.0
"42049","Erie",42,49,"Pennsylvania",0.204741379310345,0.189903846153846
"42069","Lackawanna",42,69,"Pennsylvania",0.0,0.0
"42121","Venango",42,121,"Pennsylvania",0.447368421052632,0.400900900900901
"42131","Wyoming",42,131,"Pennsylvania",0.0,0.205479452054795
"42035","Clinton",42,35,"Pennsylvania",0.0,0.326086956521739
"42021","Cambria",42,21,"Pennsylvania",0.0,0.0
"42129","Westmoreland",42,129,"Pennsylvania",0.0,0.0398698128559805
"42005","Armstrong",42,5,"Pennsylvania",0.0,0.161290322580645
"42127","Wayne",42,127,"Pennsylvania",0.375,0.486033519553073
"42043","Dauphin",42,43,"Pennsylvania",0.014145810663765,0.074245939675174
"42097","Northumberland",42,97,"Pennsylvania",0.0,0.0
"42099","Perry",42,99,"Pennsylvania",0.0121951219512195,0.330827067669173
"42119","Union",42,119,"Pennsylvania",0.465648854961832,0.33695652173913
"42047","Elk",42,47,"Pennsylvania",0.0,0.32
"42063","Indiana",42,63,"Pennsylvania",0.266490765171504,0.257510729613734
"42065","Jefferson",42,65,"Pennsylvania",0.0,0.0
"42017","Bucks",42,17,"Pennsylvania",0.0,0.0
"42051","Fayette",42,51,"Pennsylvania",0.191823899371069,0.270793036750484
"42115","Susquehanna",42,115,"Pennsylvania",0.505154639175258,0.432692307692308
"42013","Blair",42,13,"Pennsylvania",0.118181818181818,0.0
"42055","Franklin",42,55,"Pennsylvania",0.195250659630607,0.263888888888889
"42037","Columbia",42,37,"Pennsylvania",0.0,0.269230769230769
"42095","Northampton",42,95,"Pennsylvania",0.0,0.0
"42025","Carbon",42,25,"Pennsylvania",0.137142857142857,0.0
"42081","Lycoming",42,81,"Pennsylvania",0.22463768115942,0.0
"42111","Somerset",42,111,"Pennsylvania",0.0835579514824798,0.0
"42103","Pike",42,103,"Pennsylvania",0.112676056338028,0.0
"42003","Allegheny",42,3,"Pennsylvania",0.0,0.0
"42107","Schuylkill",42,107,"Pennsylvania",0.0,0.0
"42071","Lancaster",42,71,"Pennsylvania",0.0,0.0
"42091","Montgomery",42,91,"Pennsylvania",0.0,0.0
"42001","Adams",42,1,"Pennsylvania",0.0,0.0
"42009","Bedford",42,9,"Pennsylvania",0.246913580246914,0.0
"42015","Bradford",42,15,"Pennsylvania",0.0,0.251572327044025
"42023","Cameron",42,23,"Pennsylvania",0.043816823,0.657894736842105
"42045","Delaware",42,45,"Pennsylvania",0.0,0.0
"42089","Monroe",42,89,"Pennsylvania",0.152380952380952,0.221453287197232
"42059","Greene",42,59,"Pennsylvania",0.106796116504854,0.119047619047619
"42073","Lawrence",42,73,"Pennsylvania",0.323420074349442,0.101769911504425
"42077","Lehigh",42,77,"Pennsylvania",0.0,0.0
"42083","McKean",42,83,"Pennsylvania",0.0,0.142857142857143
"42087","Mifflin",42,87,"Pennsylvania",0.0,0.0
"42033","Clearfield",42,33,"Pennsylvania",0.10655737704918,0.155844155844156
"42029","Chester",42,29,"Pennsylvania",0.0,0.0
"42041","Cumberland",42,41,"Pennsylvania",0.0,0.0
"42105","Potter",42,105,"Pennsylvania",0.0697674418604651,0.0451612903225806
"42101","Philadelphia",42,101,"Pennsylvania",0.244500632111252,0.0721991701244813
"42109","Snyder",42,109,"Pennsylvania",0.109756097560976,0.133757961783439
"42133","York",42,133,"Pennsylvania",0.227734608487747,0.0814917127071824
