"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"45091","York",45,91,"South Carolina",0.20048602673147,0.155555555555556
"45035","Dorchester",45,35,"South Carolina",0.421818181818182,0.332361516034985
"45081","Saluda",45,81,"South Carolina",0.581818181818182,0.585365853658537
"45087","Union",45,87,"South Carolina",0.22680412371134,0.405405405405405
"45001","Abbeville",45,1,"South Carolina",0.315789473684211,0.573033707865169
"45011","Barnwell",45,11,"South Carolina",0.478260869565217,0.292307692307692
"45017","Calhoun",45,17,"South Carolina",0.437037037037037,0.637931034482759
"45025","Chesterfield",45,25,"South Carolina",0.511415525114155,0.461111111111111
"45037","Edgefield",45,37,"South Carolina",0.615384615384615,0.616666666666667
"45089","Williamsburg",45,89,"South Carolina",0.29746835443038,0.357142857142857
"45021","Cherokee",45,21,"South Carolina",0.25668449197861,0.154589371980676
"45067","Marion",45,67,"South Carolina",0.343023255813954,0.294117647058823
"45005","Allendale",45,5,"South Carolina",0.533333333333333,0.725490196078431
"45055","Kershaw",45,55,"South Carolina",0.443877551020408,0.512396694214876
"45061","Lee",45,61,"South Carolina",0.291666666666667,0.0
"45009","Bamberg",45,9,"South Carolina",0.382352941176471,0.615384615384615
"45003","Aiken",45,3,"South Carolina",0.48436018957346,0.413114754098361
"45077","Pickens",45,77,"South Carolina",0.285714285714286,0.12987012987013
"45019","Charleston",45,19,"South Carolina",0.251661918328585,0.0
"45059","Laurens",45,59,"South Carolina",0.197802197802198,0.192708333333333
"45073","Oconee",45,73,"South Carolina",0.0,0.118942731277533
"45027","Clarendon",45,27,"South Carolina",0.549549549549549,0.664864864864865
"45023","Chester",45,23,"South Carolina",0.465116279069767,0.330827067669173
"45053","Jasper",45,53,"South Carolina",0.262295081967213,0.580152671755725
"45085","Sumter",45,85,"South Carolina",0.458100558659218,0.384126984126984
"45083","Spartanburg",45,83,"South Carolina",0.166023166023166,0.0
"45013","Beaufort",45,13,"South Carolina",0.542613636363636,0.613744075829384
"45069","Marlboro",45,69,"South Carolina",0.192307692307692,0.333333333333333
"45043","Georgetown",45,43,"South Carolina",0.454545454545455,0.421686746987952
"45007","Anderson",45,7,"South Carolina",0.274725274725275,0.265651438240271
"45057","Lancaster",45,57,"South Carolina",0.321739130434783,0.447470817120623
"45065","McCormick",45,65,"South Carolina",0.363636363636364,0.2
"45015","Berkeley",45,15,"South Carolina",0.436046511627907,0.281481481481481
"45047","Greenwood",45,47,"South Carolina",0.417355371900826,0.403141361256545
"45031","Darlington",45,31,"South Carolina",0.376576576576577,0.452
"45039","Fairfield",45,39,"South Carolina",0.447154471544715,0.719298245614035
"45049","Hampton",45,49,"South Carolina",0.430769230769231,0.527027027027027
"45051","Horry",45,51,"South Carolina",0.44963144963145,0.49896992171405
"45063","Lexington",45,63,"South Carolina",0.364565587734242,0.403624382207578
"45075","Orangeburg",45,75,"South Carolina",0.456043956043956,0.514588859416446
"45079","Richland",45,79,"South Carolina",0.462224866151101,0.466954022988506
"45071","Newberry",45,71,"South Carolina",0.424050632911392,0.168831168831169
"45033","Dillon",45,33,"South Carolina",0.642487046632124,0.538461538461538
"45045","Greenville",45,45,"South Carolina",0.263312164142648,0.227848101265823
"45029","Colleton",45,29,"South Carolina",0.298969072164949,0.21969696969697
"45041","Florence",45,41,"South Carolina",0.417637271214642,0.48
