"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"47171","Unicoi",47,171,"Tennessee",0.153846153846154,0.645833333333333
"47051","Franklin",47,51,"Tennessee",0.421428571428571,0.281553398058252
"47127","Moore",47,127,"Tennessee",0.0,0.0
"47125","Montgomery",47,125,"Tennessee",0.382252559726962,0.215425531914894
"47047","Fayette",47,47,"Tennessee",0.412280701754386,0.252336448598131
"47067","Hancock",47,67,"Tennessee",0.25,0.486486486486487
"47021","Cheatham",47,21,"Tennessee",0.263157894736842,0.51219512195122
"47041","DeKalb",47,41,"Tennessee",0.28125,0.534883720930233
"47129","Morgan",47,129,"Tennessee",0.24390243902439,0.375
"47015","Cannon",47,15,"Tennessee",0.0,0.216216216216216
"47027","Clay",47,27,"Tennessee",0.431818181818182,0.58695652173913
"47133","Overton",47,133,"Tennessee",0.390804597701149,0.243243243243243
"47149","Rutherford",47,149,"Tennessee",0.329317269076305,0.156308851224105
"47017","Carroll",47,17,"Tennessee",0.224299065420561,0.0
"47043","Dickson",47,43,"Tennessee",0.0,0.0
"47077","Henderson",47,77,"Tennessee",0.151832460732984,0.12987012987013
"47083","Houston",47,83,"Tennessee",0.264705882352941,0.0
"47093","Knox",47,93,"Tennessee",0.340599455040872,0.372247823860727
"47101","Lewis",47,101,"Tennessee",0.230769230769231,0.448979591836735
"47135","Perry",47,135,"Tennessee",0.0,0.0
"47161","Stewart",47,161,"Tennessee",0.0,0.232558139534884
"47107","McMinn",47,107,"Tennessee",0.493975903614458,0.414342629482072
"47045","Dyer",47,45,"Tennessee",0.439189189189189,0.410596026490066
"47061","Grundy",47,61,"Tennessee",0.341463414634146,0.0
"47173","Union",47,173,"Tennessee",0.588235294117647,0.518518518518519
"47183","Weakley",47,183,"Tennessee",0.180327868852459,0.31304347826087
"47141","Putnam",47,141,"Tennessee",0.389010989010989,0.309859154929577
"47087","Jackson",47,87,"Tennessee",0.135135135135135,0.0
"47177","Warren",47,177,"Tennessee",0.0897435897435898,0.115384615384615
"47163","Sullivan",47,163,"Tennessee",0.412037037037037,0.306280193236715
"47075","Haywood",47,75,"Tennessee",0.154929577464789,0.431034482758621
"47153","Sequatchie",47,153,"Tennessee",0.183673469387755,0.0
"47031","Coffee",47,31,"Tennessee",0.0,0.32972972972973
"47007","Bledsoe",47,7,"Tennessee",0.0,0.0
"47113","Madison",47,113,"Tennessee",0.182879377431907,0.376518218623482
"47187","Williamson",47,187,"Tennessee",0.0837209302325581,0.0
"47115","Marion",47,115,"Tennessee",0.169491525423729,0.136363636363636
"47063","Hamblen",47,63,"Tennessee",0.514388489208633,0.480891719745223
"47049","Fentress",47,49,"Tennessee",0.408450704225352,0.281553398058252
"47119","Maury",47,119,"Tennessee",0.0,0.0
"47011","Bradley",47,11,"Tennessee",0.608540925266904,0.475268817204301
"47013","Campbell",47,13,"Tennessee",0.183098591549296,0.402877697841727
"47005","Benton",47,5,"Tennessee",0.169811320754717,0.223021582733813
"47167","Tipton",47,167,"Tennessee",0.0614035087719298,0.405797101449275
"47121","Meigs",47,121,"Tennessee",0.0,0.0
"47181","Wayne",47,181,"Tennessee",0.276595744680851,0.341463414634146
"47109","McNairy",47,109,"Tennessee",0.392857142857143,0.279069767441861
"47033","Crockett",47,33,"Tennessee",0.297872340425532,0.0
"47179","Washington",47,179,"Tennessee",0.411242603550296,0.313935681470138
"47189","Wilson",47,189,"Tennessee",0.366666666666667,0.0175438596491229
"47157","Shelby",47,157,"Tennessee",0.479135053110774,0.487107524995615
"47073","Hawkins",47,73,"Tennessee",0.558510638297872,0.411371237458194
"47081","Hickman",47,81,"Tennessee",0.494505494505495,0.157894736842105
"47023","Chester",47,23,"Tennessee",0.321428571428571,0.290909090909091
"47057","Grainger",47,57,"Tennessee",0.5625,0.315789473684211
"47159","Smith",47,159,"Tennessee",0.326086956521739,0.327586206896552
"47103","Lincoln",47,103,"Tennessee",0.398230088495575,0.0392156862745098
"47025","Claiborne",47,25,"Tennessee",0.0,0.321678321678322
"47175","Van Buren",47,175,"Tennessee",0.105263157894737,0.48
"47065","Hamilton",47,65,"Tennessee",0.351395730706076,0.186081694402421
"47097","Lauderdale",47,97,"Tennessee",0.130434782608696,0.253333333333333
"47037","Davidson",47,37,"Tennessee",0.244809270883631,0.0
