"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"48063","Camp",48,63,"Texas",0.472972972972973,0.456140350877193
"48087","Collingsworth",48,87,"Texas",0.716122634,0.0
"48259","Kendall",48,259,"Texas",0.0895522388059702,0.0816326530612245
"48123","DeWitt",48,123,"Texas",0.0,0.0
"48413","Schleicher",48,413,"Texas",0.0,0.771351667
"48033","Borden",48,33,"Texas",0.0,0.0
"48447","Throckmorton",48,447,"Texas",0.0,0.0
"48297","Live Oak",48,297,"Texas",0.34375,0.0
"48049","Brown",48,49,"Texas",0.43,0.174242424242424
"48441","Taylor",48,441,"Texas",0.0,0.0
"48115","Dawson",48,115,"Texas",0.0273972602739726,0.351351351351351
"48475","Ward",48,475,"Texas",0.0,0.0
"48009","Archer",48,9,"Texas",0.0,0.1
"48359","Oldham",48,359,"Texas",0.661347777,0.830338679
"48003","Andrews",48,3,"Texas",0.0,0.0
"48369","Parmer",48,369,"Texas",0.0,0.4
"48139","Ellis",48,139,"Texas",0.0950819672131148,0.0
"48155","Foard",48,155,"Texas",0.637861868,0.451017596
"48075","Childress",48,75,"Texas",0.0,0.3
"48095","Concho",48,95,"Texas",0.0,0.0
"48109","Culberson",48,109,"Texas",0.808224996,0.508204554
"48117","Deaf Smith",48,117,"Texas",0.0,0.0425531914893617
"48127","Dimmit",48,127,"Texas",0.27027027027027,0.56140350877193
"48131","Duval",48,131,"Texas",0.0,0.527272727272727
"48153","Floyd",48,153,"Texas",0.454545454545455,0.679245283018868
"48255","Karnes",48,255,"Texas",0.0857142857142857,0.0
"48161","Freestone",48,161,"Texas",0.333333333333333,0.0
"48111","Dallam",48,111,"Texas",0.0,0.461538461538462
"48141","El Paso",48,141,"Texas",0.167357770774589,0.214878777814679
"48281","Lampasas",48,281,"Texas",0.659090909090909,0.375
"48021","Bastrop",48,21,"Texas",0.0,0.0
"48193","Hamilton",48,193,"Texas",0.0,0.658760663
"48197","Hardeman",48,197,"Texas",0.707317073170732,0.0
"48205","Hartley",48,205,"Texas",0.0,0.0
"48217","Hill",48,217,"Texas",0.230188679245283,0.433962264150943
