"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"49053","Washington",49,53,"Utah",0.434616431,0
"49021","Iron",49,21,"Utah",0.482827621,0
"49001","Beaver",49,1,"Utah",0,0.420942188
"49055","Wayne",49,55,"Utah",0.851008658,0.882315019
"49007","Carbon",49,7,"Utah",0.802900852,0.504096156
"49031","Piute",49,31,"Utah",0,0.581836715
"49005","Cache",49,5,"Utah",0,0
"49039","Sanpete",49,39,"Utah",0.705578813,0.60844239
"49011","Davis",49,11,"Utah",0.551491516,0.237815477
"49015","Emery",49,15,"Utah",0.452565785,0.154295511
"49041","Sevier",49,41,"Utah",0.884342512,0
"49017","Garfield",49,17,"Utah",0.564494113,0.660837058
"49037","San Juan",49,37,"Utah",0.130040717,0.330796252
"49047","Uintah",49,47,"Utah",0.642167577,0.421061929
"49027","Millard",49,27,"Utah",0.686413362,0.300240216
"49045","Tooele",49,45,"Utah",0,0.157847458
"49049","Utah (county)",49,49,"Utah",0.086760952,0
"49025","Kane",49,25,"Utah",0,0.4770067
"49033","Rich",49,33,"Utah",0,0.004524588
"49035","Salt Lake",49,35,"Utah",0.203901705,0
"49009","Daggett",49,9,"Utah",0,0
"49051","Wasatch",49,51,"Utah",0.446415538,0
"49029","Morgan",49,29,"Utah",0.442089756,0
"49003","Box Elder",49,3,"Utah",0.524046152,0
"49013","Duchesne",49,13,"Utah",0.615016184,0.408127868
"49019","Grand",49,19,"Utah",0,0
"49023","Juab",49,23,"Utah",0,0
"49057","Weber",49,57,"Utah",0.395528715,0
"49043","Summit",49,43,"Utah",0.068111832,0.513977594
