"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"50019","Orleans",50,19,"Vermont",0.0,0.718446601941748
"50023","Washington",50,23,"Vermont",0.835820895522388,0.489795918367347
"50017","Orange",50,17,"Vermont",0.0,0.0
"50001","Addison",50,1,"Vermont",0.814416479,0.809836143
"50021","Rutland",50,21,"Vermont",0.74468085106383,0.0526315789473685
"50015","Lamoille",50,15,"Vermont",0.852975801,0.583333333333333
"50013","Grand Isle",50,13,"Vermont",0.161994241,0.831783578
"50005","Caledonia",50,5,"Vermont",0.0,0.711864406779661
"50011","Franklin",50,11,"Vermont",0.0,0.206896551724138
"50027","Windsor",50,27,"Vermont",0.375,0.361702127659574
"50009","Essex",50,9,"Vermont",0.363354459,0.545980366
"50025","Windham",50,25,"Vermont",0.0,0.0
"50003","Bennington",50,3,"Vermont",0.0,0.456140350877193
"50007","Chittenden",50,7,"Vermont",0.0,0.472222222222222
