"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"51103","Lancaster",51,103,"Virginia",0.351544719,0
"51690","Martinsville (city)",51,690,"Virginia",0,0
"51109","Louisa",51,109,"Virginia",0.506227562,0.584255654
"51083","Halifax",51,83,"Virginia",0.304732667,0.425424183
"51183","Sussex",51,183,"Virginia",0,0.100898988
"51033","Caroline",51,33,"Virginia",0.214246356,0.436083567
"51011","Appomattox",51,11,"Virginia",0,0
"51049","Cumberland",51,49,"Virginia",0.596084123,0.549003197
"51105","Lee",51,105,"Virginia",0.541791771,0.545537221
"51111","Lunenburg",51,111,"Virginia",0.279602412,0
"51133","Northumberland",51,133,"Virginia",0.490258107,0.489949296
"51141","Patrick",51,141,"Virginia",0.393385954,0.493656066
"51191","Washington",51,191,"Virginia",0.561660477,0.533036132
"51197","Wythe",51,197,"Virginia",0.289291169,0.135402633
"51510","Alexandria (city)",51,510,"Virginia",0,0
"51590","Danville (city)",51,590,"Virginia",0,0.238318856
"51790","Staunton (city)",51,790,"Virginia",0,0
"51051","Dickenson",51,51,"Virginia",0.082212586,0
"51073","Gloucester",51,73,"Virginia",0.769808715,0
"51021","Bland",51,21,"Virginia",0.483550221,0.527813184
"51101","King William",51,101,"Virginia",0,0.53901547
"51023","Botetourt",51,23,"Virginia",0,0.464603899
"51580","Covington (city)",51,580,"Virginia",0,0
"51810","Virginia Beach (city)",51,810,"Virginia",0.449843196,0.368754845
"51830","Williamsburg (city)",51,830,"Virginia",0.74413833,0
"51740","Portsmouth (city)",51,740,"Virginia",0.441479288,0.342998856
"51800","Suffolk (city)",51,800,"Virginia",0.462096172,0.327007577
"51113","Madison",51,113,"Virginia",0,0
"51187","Warren",51,187,"Virginia",0,0.322501058
"51065","Fluvanna",51,65,"Virginia",0.0675790550000001,0.343127617
"51067","Franklin (county)",51,67,"Virginia",0.645475332,0.50834158
"51775","Salem (city)",51,775,"Virginia",0.473779976,0
"51630","Fredericksburg (city)",51,630,"Virginia",0.964962959,0.731955045
"51061","Fauquier",51,61,"Virginia",0.253387969,0.381103747
"51029","Buckingham",51,29,"Virginia",0.200309287,0.508480698
"51013","Arlington",51,13,"Virginia",0.268445999,0
"51167","Russell",51,167,"Virginia",0.501450625,0.435098647
"51600","Fairfax (city)",51,600,"Virginia",0,0
"51678","Lexington (city)",51,678,"Virginia",0,0
"51685","Manassas Park (city)",51,685,"Virginia",0,0
"51165","Rockingham",51,165,"Virginia",0.486598102,0.360987153
"51770","Roanoke (city)",51,770,"Virginia",0.558901221,0.41610013
"51137","Orange",51,137,"Virginia",0.577615263,0
"51157","Rappahannock",51,157,"Virginia",0,0.958938306
"51047","Culpeper",51,47,"Virginia",0,0.238460599
"51043","Clarke",51,43,"Virginia",0,0
"51159","Richmond (county)",51,159,"Virginia",0,0
"51660","Harrisonburg (city)",51,660,"Virginia",0,0.15389644
"51840","Winchester (city)",51,840,"Virginia",0.485782094,0.217860376
"51139","Page",51,139,"Virginia",0.4714163,0
"51171","Shenandoah",51,171,"Virginia",0.454472332,0.0278926229999999
"51131","Northampton",51,131,"Virginia",0.302429362,0
"51037","Charlotte",51,37,"Virginia",0.25804403,0.477393386
"51115","Mathews",51,115,"Virginia",0,0.507662317
"51820","Waynesboro (city)",51,820,"Virginia",0,0.050014243
"51683","Manassas (city)",51,683,"Virginia",0,0
"51720","Norton (city)",51,720,"Virginia",0.812221812,0.704176765
"51169","Scott",51,169,"Virginia",0,0.00568263000000002
"51005","Alleghany",51,5,"Virginia",0.179108045,0.502704729
"51680","Lynchburg (city)",51,680,"Virginia",0.469862006,0.220710337
"51079","Greene",51,79,"Virginia",0.181717521,0.261193425
"51173","Smyth",51,173,"Virginia",0.306706043,0.484839595
"51099","King George",51,99,"Virginia",0.415997125,0
"51125","Nelson",51,125,"Virginia",0.81249841,0
"51085","Hanover",51,85,"Virginia",0.343594998,0.496784742
"51041","Chesterfield",51,41,"Virginia",0.379399021,0.251502526
"51089","Henry",51,89,"Virginia",0.518206653,0.476453043
"51003","Albemarle",51,3,"Virginia",0.570970255,0.263766847
"51019","Bedford (county)",51,19,"Virginia",0.632306481,0.368121313
"51035","Carroll",51,35,"Virginia",0.469523793,0.566852022
"51143","Pittsylvania",51,143,"Virginia",0.312190932,0.260895514
"51177","Spotsylvania",51,177,"Virginia",0.471586885,0.271837397
"51121","Montgomery",51,121,"Virginia",0,0.366699023
"51163","Rockbridge",51,163,"Virginia",0.597680373,0.225477277
"51119","Middlesex",51,119,"Virginia",0.815655303,0.382054787
"51620","Franklin (city)",51,620,"Virginia",0,0.48418959
"51091","Highland",51,91,"Virginia",0,0
"51540","Charlottesville (city)",51,540,"Virginia",0,0.334813164
"51009","Amherst",51,9,"Virginia",0.425904041,0.587729362
"51153","Prince William",51,153,"Virginia",0.391877487,0.320738485
"51069","Frederick",51,69,"Virginia",0.480643706,0.328448987
"51155","Pulaski",51,155,"Virginia",0.309577812,0.453287315
"51185","Tazewell",51,185,"Virginia",0.687767143,0.452172415
"51750","Radford (city)",51,750,"Virginia",0,0
"51199","York",51,199,"Virginia",0.606054005,0.49645081
"51595","Emporia (city)",51,595,"Virginia",0.650432007,0.789022
"51570","Colonial Heights (city)",51,570,"Virginia",0,0.070035187
"51015","Augusta",51,15,"Virginia",0.562544121,0.587078221
"51735","Poquoson (city)",51,735,"Virginia",0.085207041,0
"51007","Amelia",51,7,"Virginia",0.772191344,0.394809475
"51077","Grayson",51,77,"Virginia",0.339063592,0.439979852
"51149","Prince George",51,149,"Virginia",0.05191325,0.366022673
"51107","Loudoun",51,107,"Virginia",0.264851042,0
"51053","Dinwiddie",51,53,"Virginia",0.631238773,0.526465136
"51031","Campbell",51,31,"Virginia",0.590652678,0.367391
"51530","Buena Vista (city)",51,530,"Virginia",0.532230106,0.414290072
"51117","Mecklenburg",51,117,"Virginia",0.00470708900000005,0.374329634
"51027","Buchanan",51,27,"Virginia",0.635567941,0.291302202
"51036","Charles City",51,36,"Virginia",0.894875892,0.540263016
"51147","Prince Edward",51,147,"Virginia",0.277912418,0.117017052
"51145","Powhatan",51,145,"Virginia",0.803421702,0.579827189
"51059","Fairfax (county)",51,59,"Virginia",0.137244117,0
"51181","Surry",51,181,"Virginia",0.030689382,0.826467112
"51161","Roanoke (county)",51,161,"Virginia",0.209389564,0.576269427
"51640","Galax (city)",51,640,"Virginia",0,0
"51195","Wise",51,195,"Virginia",0.443821991,0.540448146
"51175","Southampton",51,175,"Virginia",0.084584332,0.545413185
"51760","Richmond (city)",51,760,"Virginia",0.126675586,0.375684553
"51135","Nottoway",51,135,"Virginia",0,0.312806604
"51710","Norfolk (city)",51,710,"Virginia",0.474356369,0.486446178
"51670","Hopewell (city)",51,670,"Virginia",0,0.357759592
"51063","Floyd",51,63,"Virginia",0.771057274,0.559243025
"51081","Greensville",51,81,"Virginia",0,0
"51095","James City",51,95,"Virginia",0.566543041,0.494699311
"51650","Hampton (city)",51,650,"Virginia",0.498456745,0.318326383
"51700","Newport News (city)",51,700,"Virginia",0.579456409,0.295516283
"51075","Goochland",51,75,"Virginia",0.307372384,0.131073869
"51087","Henrico",51,87,"Virginia",0.42314146,0.358789139
"51057","Essex",51,57,"Virginia",0.769314403,0.624504264
