"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"53023","Garfield",53,23,"Washington",0,0
"53063","Spokane",53,63,"Washington",0.106034127,0.074746256
"53073","Whatcom",53,73,"Washington",0.314192918,0.459044169
"53001","Adams",53,1,"Washington",0,0.114948154
"53049","Pacific",53,49,"Washington",0,0.321244225
"53043","Lincoln",53,43,"Washington",0,0
"53061","Snohomish",53,61,"Washington",0.089591027,0.109890432
"53015","Cowlitz",53,15,"Washington",0.163750987,0.207675508
"53059","Skamania",53,59,"Washington",0,0.461705503
"53057","Skagit",53,57,"Washington",0.346348732,0.584706354
"53005","Benton",53,5,"Washington",0.329854677,0.209641719
"53075","Whitman",53,75,"Washington",0.392338252,0.606133751
"53071","Walla Walla",53,71,"Washington",0,0.285898279
"53017","Douglas",53,17,"Washington",0.228591275,0.23057427
"53027","Grays Harbor",53,27,"Washington",0.384210355,0.418134812
"53047","Okanogan",53,47,"Washington",0,0.152581979
"53035","Kitsap",53,35,"Washington",0,0.155010738
"53019","Ferry",53,19,"Washington",0.679019675,0.766780137
"53037","Kittitas",53,37,"Washington",0.161514431,0.396971575
"53031","Jefferson",53,31,"Washington",0.203515755,0
"53029","Island",53,29,"Washington",0,0.278280809
"53039","Klickitat",53,39,"Washington",0,0.623959375
"53013","Columbia",53,13,"Washington",0.441113719,0.937343616
"53011","Clark",53,11,"Washington",0.612267362,0.334217265
"53003","Asotin",53,3,"Washington",0.55585558,0
"53021","Franklin",53,21,"Washington",0.226170632,0
"53025","Grant",53,25,"Washington",0.152996782,0.197871212
"53033","King",53,33,"Washington",0,0.031279838
"53053","Pierce",53,53,"Washington",0,0.188679937
"53009","Clallam",53,9,"Washington",0.742174163,0.502944554
"53045","Mason",53,45,"Washington",0.336402612,0.400961275
"53007","Chelan",53,7,"Washington",0,0
"53051","Pend Oreille",53,51,"Washington",0,0.630521217
"53065","Stevens",53,65,"Washington",0.160470084,0.200726196
"53067","Thurston",53,67,"Washington",0,0.427386015
"53041","Lewis",53,41,"Washington",0.351055907,0
"53055","San Juan",53,55,"Washington",0,0
"53077","Yakima",53,77,"Washington",0.165877527,0.14990746
"53069","Wahkiakum",53,69,"Washington",0,0.86094381
