"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"54005","Boone",54,5,"West Virginia",0.46564473,0.470411608
"54087","Roane",54,87,"West Virginia",0,0
"54089","Summers",54,89,"West Virginia",0.604505742,0.603000163
"54069","Ohio",54,69,"West Virginia",0.539979465,0.342439752
"54011","Cabell",54,11,"West Virginia",0,0.296790461
"54043","Lincoln",54,43,"West Virginia",0.632754599,0.451102609
"54013","Calhoun",54,13,"West Virginia",0.822241399,0.88039831
"54059","Mingo",54,59,"West Virginia",0.426741231,0.332164718
"54103","Wetzel",54,103,"West Virginia",0.221994386,0.526610965
"54049","Marion",54,49,"West Virginia",0,0.126039346
"54101","Webster",54,101,"West Virginia",0,0
"54019","Fayette",54,19,"West Virginia",0.317394797,0.489501072
"54055","Mercer",54,55,"West Virginia",0.617788065,0.358278337
"54063","Monroe",54,63,"West Virginia",0.559257772,0.625242843
"54067","Nicholas",54,67,"West Virginia",0.490230962,0.136809242
"54109","Wyoming",54,109,"West Virginia",0.536089574,0.286461308
"54051","Marshall",54,51,"West Virginia",0.144260588,0.240805045
"54029","Hancock",54,29,"West Virginia",0.307906192,0.019359243
"54003","Berkeley",54,3,"West Virginia",0.677010632,0.404006818
"54001","Barbour",54,1,"West Virginia",0.788230564,0.549509165
"54065","Morgan",54,65,"West Virginia",0.772051512,0.102066984
"54071","Pendleton",54,71,"West Virginia",1,0.621157206
"54053","Mason",54,53,"West Virginia",0.386620413,0.558883456
"54031","Hardy",54,31,"West Virginia",0.582296099,0
"54083","Randolph",54,83,"West Virginia",0.831456764,0.487557625
"54009","Brooke",54,9,"West Virginia",0.510966457,0.401632916
"54085","Ritchie",54,85,"West Virginia",0.790992994,0.590410154
"54099","Wayne",54,99,"West Virginia",0.678220583,0.48667618
"54047","McDowell",54,47,"West Virginia",0.79854765,0.238259078
"54093","Tucker",54,93,"West Virginia",0.844371633,0
"54033","Harrison",54,33,"West Virginia",0,0.318000466
"54027","Hampshire",54,27,"West Virginia",0.269405823,0.183397619
"54007","Braxton",54,7,"West Virginia",0.753858883,0.513650488
"54025","Greenbrier",54,25,"West Virginia",0.367740876,0.469166181
"54045","Logan",54,45,"West Virginia",0,0.434072618
"54097","Upshur",54,97,"West Virginia",0.7527234,0.167112491
"54041","Lewis",54,41,"West Virginia",0.11042653,0.345467336
"54079","Putnam",54,79,"West Virginia",0.201059711,0.275290986
"54107","Wood",54,107,"West Virginia",0.039968852,0.19488749
"54057","Mineral",54,57,"West Virginia",0,0.115084168
"54061","Monongalia",54,61,"West Virginia",0.499401884,0
"54073","Pleasants",54,73,"West Virginia",0,0.131114284
"54015","Clay",54,15,"West Virginia",0.656657098,0.511323706
"54039","Kanawha",54,39,"West Virginia",0.459556871,0.399249198
"54035","Jackson",54,35,"West Virginia",0.344960919,0.208737632
"54095","Tyler",54,95,"West Virginia",0,0.342113584
"54017","Doddridge",54,17,"West Virginia",0.866907344,0.318878461
"54091","Taylor",54,91,"West Virginia",0.735646604,0.294194735
"54105","Wirt",54,105,"West Virginia",0,0.561925827
"54021","Gilmer",54,21,"West Virginia",0.916641943,0
"54077","Preston",54,77,"West Virginia",0,0.128702187
"54023","Grant",54,23,"West Virginia",0,0
"54037","Jefferson",54,37,"West Virginia",0.525803202,0.06570994
"54075","Pocahontas",54,75,"West Virginia",0.813548979,0.595036313
"54081","Raleigh",54,81,"West Virginia",0.766427644,0.459827997
