"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"55077","Marquette",55,77,"Wisconsin",0.317073170731707,0.232558139534884
"55139","Winnebago",55,139,"Wisconsin",0.146608315098468,0.160220994475138
"55141","Wood",55,141,"Wisconsin",0.405594405594406,0.27710843373494
"55069","Lincoln",55,69,"Wisconsin",0.0967741935483871,0.478723404255319
"55019","Clark",55,19,"Wisconsin",0.0,0.0
"55087","Outagamie",55,87,"Wisconsin",0.091304347826087,0.0
"55113","Sawyer",55,113,"Wisconsin",0.310344827586207,0.0
"55047","Green Lake",55,47,"Wisconsin",0.0,0.081081081081081
"55135","Waupaca",55,135,"Wisconsin",0.0,0.0
"55049","Iowa",55,49,"Wisconsin",0.0,0.454545454545455
"55055","Jefferson",55,55,"Wisconsin",0.248275862068966,0.431372549019608
"55105","Rock",55,105,"Wisconsin",0.362101313320826,0.336206896551724
"55107","Rusk",55,107,"Wisconsin",0.0,0.4375
"55081","Monroe",55,81,"Wisconsin",0.375,0.634920634920635
"55125","Vilas",55,125,"Wisconsin",0.0,0.0
"55129","Washburn",55,129,"Wisconsin",0.4,0.583333333333333
"55041","Forest",55,41,"Wisconsin",0.0,0.0
"55071","Manitowoc",55,71,"Wisconsin",0.0,0.0
"55039","Fond du Lac",55,39,"Wisconsin",0.364532019704433,0.366492146596859
"55051","Iron",55,51,"Wisconsin",0.405405405405405,0.552660594
"55005","Barron",55,5,"Wisconsin",0.0,0.103448275862069
"55121","Trempealeau",55,121,"Wisconsin",0.0,0.0
"55101","Racine",55,101,"Wisconsin",0.170854271356784,0.1671388101983
"55067","Langlade",55,67,"Wisconsin",0.471428571428571,0.544117647058824
"55037","Florence",55,37,"Wisconsin",0.416666666666667,0.0
"55085","Oneida",55,85,"Wisconsin",0.344444444444444,0.0
"55119","Taylor",55,119,"Wisconsin",0.0,0.166666666666667
"55091","Pepin",55,91,"Wisconsin",0.0,0.0
"55099","Price",55,99,"Wisconsin",0.66583601,0.08
"55133","Waukesha",55,133,"Wisconsin",0.312247644683715,0.267702936096718
"55035","Eau Claire",55,35,"Wisconsin",0.0,0.0
"55001","Adams",55,1,"Wisconsin",0.0,0.511627906976744
"55123","Vernon",55,123,"Wisconsin",0.621621621621622,0.0
"55137","Waushara",55,137,"Wisconsin",0.467741935483871,0.0
"55057","Juneau",55,57,"Wisconsin",0.0,0.620689655172414
"55097","Portage",55,97,"Wisconsin",0.362162162162162,0.529069767441861
"55053","Jackson",55,53,"Wisconsin",0.576923076923077,0.0
"55073","Marathon",55,73,"Wisconsin",0.0,0.0
"55029","Door",55,29,"Wisconsin",0.0,0.0
"55033","Dunn",55,33,"Wisconsin",0.0,0.0769230769230769
"55045","Green",55,45,"Wisconsin",0.5,0.370786516853933
"55109","St. Croix",55,109,"Wisconsin",0.307692307692308,0.406896551724138
"55009","Brown",55,9,"Wisconsin",0.0935779816513761,0.0698602794411177
"55103","Richland",55,103,"Wisconsin",0.517241379310345,0.0
"55111","Sauk",55,111,"Wisconsin",0.0,0.0759493670886076
"55043","Grant",55,43,"Wisconsin",0.0357142857142857,0.487179487179487
"55089","Ozaukee",55,89,"Wisconsin",0.0,0.0375
"55017","Chippewa",55,17,"Wisconsin",0.0,0.0
"55021","Columbia",55,21,"Wisconsin",0.0,0.160714285714286
"55013","Burnett",55,13,"Wisconsin",0.0,0.333333333333333
"55063","La Crosse",55,63,"Wisconsin",0.273504273504274,0.33
"55083","Oconto",55,83,"Wisconsin",0.0,0.0
"55065","Lafayette",55,65,"Wisconsin",0.860764856,0.0
"55007","Bayfield",55,7,"Wisconsin",0.0,0.0
"55095","Polk",55,95,"Wisconsin",0.0,0.152941176470588
"55059","Kenosha",55,59,"Wisconsin",0.0108695652173914,0.1438127090301
"55003","Ashland",55,3,"Wisconsin",0.0,0.0
"55025","Dane",55,25,"Wisconsin",0.339108910891089,0.275862068965517
"55075","Marinette",55,75,"Wisconsin",0.0,0.0
"55011","Buffalo",55,11,"Wisconsin",0.0,0.0
"55061","Kewaunee",55,61,"Wisconsin",0.0666666666666667,0.0
"55031","Douglas",55,31,"Wisconsin",0.420168067226891,0.567567567567568
"55117","Sheboygan",55,117,"Wisconsin",0.0,0.0
"55023","Crawford",55,23,"Wisconsin",0.2,0.0
"55093","Pierce",55,93,"Wisconsin",0.306122448979592,0.5
"55131","Washington",55,131,"Wisconsin",0.310756972111554,0.147766323024055
"55027","Dodge",55,27,"Wisconsin",0.315914489311164,0.0
"55078","Menominee",55,78,"Wisconsin",0.391304347826087,0.674805746
"55079","Milwaukee",55,79,"Wisconsin",0.469326683291771,0.372251705837756
"55127","Walworth",55,127,"Wisconsin",0.227513227513228,0.0047846889952153
"55015","Calumet",55,15,"Wisconsin",0.0,0.0
"55115","Shawano",55,115,"Wisconsin",0.0857142857142857,0.0
