"FIPSCode","countyName","stateFIPS","countyFIPS","state","pounderrep2020","pounderrep2021"
"56025","Natrona",56,25,"Wyoming",0.297619047619048,0.29608938547486
"56033","Sheridan",56,33,"Wyoming",0.0,0.0
"56031","Platte",56,31,"Wyoming",0.53064143,0.662337662337662
"56015","Goshen",56,15,"Wyoming",0.5,0.515625
"56027","Niobrara",56,27,"Wyoming",0.415067353,0.0
"56011","Crook",56,11,"Wyoming",0.816666666666667,0.419354838709677
"56041","Uinta",56,41,"Wyoming",0.583333333333333,0.172413793103448
"56037","Sweetwater",56,37,"Wyoming",0.735537190082645,0.302521008403361
"56005","Campbell",56,5,"Wyoming",0.236111111111111,0.3828125
"56039","Teton",56,39,"Wyoming",0.0,0.0
"56029","Park",56,29,"Wyoming",0.619718309859155,0.146341463414634
"56023","Lincoln",56,23,"Wyoming",0.487179487179487,0.0
"56045","Weston",56,45,"Wyoming",0.503723905,0.775510204081633
"56021","Laramie",56,21,"Wyoming",0.307958477508651,0.522388059701492
"56007","Carbon",56,7,"Wyoming",0.241379310344828,0.0
"56001","Albany",56,1,"Wyoming",0.72972972972973,0.463768115942029
"56017","Hot Springs",56,17,"Wyoming",0.886826542,0.760869565217391
"56043","Washakie",56,43,"Wyoming",0.333333333333333,0.564102564102564
"56035","Sublette",56,35,"Wyoming",0.806333046,0.0
"56003","Big Horn",56,3,"Wyoming",0.0869565217391305,0.404761904761905
"56009","Converse",56,9,"Wyoming",0.517241379310345,0.1
"56019","Johnson",56,19,"Wyoming",0.0,1.0
"56013","Fremont",56,13,"Wyoming",0.422764227642276,0.479381443298969
